seed,variant,pair_mode,n_diag_channels,n_pair_channels,hidden_dim,dropout,lr,weight_decay,residual_scale,use_gate,best_epoch,best_monitor,best_metric,val_loss,val_rmse,val_mae,val_spearman,test_loss,test_rmse,test_mae,test_spearman
42,DiagBranchOnly,none,15,0,64,0.15,0.001,0.0001,0.0,False,18,val_rmse,1.2337489128112793,9.107407490412394,1.2337489128112793,1.0051428079605103,0.3889491549743262,7.824877182642619,1.1271275281906128,0.8864169120788574,0.43725723490613516
42,DiagCorePairResidualGate,core,15,9,64,0.2,0.001,0.0002,0.5,True,29,val_rmse,1.2390282154083252,9.096428394317627,1.2390282154083252,0.9954206347465515,0.38055079265369296,7.758318662643433,1.130733609199524,0.8751216530799866,0.4449032439355451
42,DiagCorePairResidualSmallGate,core,15,9,64,0.2,0.001,0.0002,0.25,True,29,val_rmse,1.2358921766281128,9.06469202041626,1.2358921766281128,0.9927282929420471,0.3874794415682154,7.75679479042689,1.1279300451278687,0.8736600875854492,0.4445008224076814
42,DiagAllPairResidualGate,all,15,18,64,0.25,0.0008,0.0003,0.3,True,13,val_rmse,1.2395883798599243,9.140969514846802,1.2395883798599243,1.0045335292816162,0.40915771430834985,7.3640817403793335,1.1056281328201294,0.847852349281311,0.46306470245391446
52,DiagBranchOnly,none,15,0,64,0.15,0.001,0.0001,0.0,False,14,val_rmse,1.11532723903656,7.854722062746684,1.11532723903656,0.8913447856903076,0.4009133139276315,8.042690952618917,1.1488789319992065,0.9016412496566772,0.5324433326127102
52,DiagCorePairResidualGate,core,15,9,64,0.2,0.001,0.0002,0.5,True,20,val_rmse,1.1140235662460327,7.739491164684296,1.1140235662460327,0.8815639019012451,0.43252937215697734,7.600239356358846,1.1067811250686646,0.8650922775268555,0.5709186665950093
52,DiagCorePairResidualSmallGate,core,15,9,64,0.2,0.001,0.0002,0.25,True,17,val_rmse,1.1164982318878174,7.710721294085185,1.1164982318878174,0.8826053738594055,0.42904758157167594,8.035998860994974,1.1538491249084473,0.9019548296928406,0.5422065142234981
52,DiagAllPairResidualGate,all,15,18,64,0.25,0.0008,0.0003,0.3,True,6,val_rmse,1.129191517829895,8.420753916104635,1.129191517829895,0.941102147102356,0.32923041931466546,8.832895994186401,1.211604118347168,0.976730227470398,0.4304373311953364
62,DiagBranchOnly,none,15,0,64,0.15,0.001,0.0001,0.0,False,11,val_rmse,0.9785193204879761,6.157993157704671,0.9785193204879761,0.7423118948936462,0.3635409285497219,6.920437773068746,1.0466868877410889,0.8084249496459961,0.4695600446034406
62,DiagCorePairResidualGate,core,15,9,64,0.2,0.001,0.0002,0.5,True,7,val_rmse,0.9731266498565674,6.0526658693949384,0.9731266498565674,0.729142427444458,0.3671451941807376,7.446327884991963,1.090728521347046,0.8626866936683655,0.3687963118139629
62,DiagCorePairResidualSmallGate,core,15,9,64,0.2,0.001,0.0002,0.25,True,8,val_rmse,0.9730324745178223,6.052747805913289,0.9730324745178223,0.7333109974861145,0.3776255588068461,6.889612873395284,1.0518875122070312,0.8028045296669006,0.44838898770549507
62,DiagAllPairResidualGate,all,15,18,64,0.25,0.0008,0.0003,0.3,True,15,val_rmse,1.0132031440734863,6.465256770451863,1.0132031440734863,0.7669218182563782,0.2852093885979891,7.068112134933472,1.0602635145187378,0.8273280262947083,0.44046296392469403
