channel_index,channel_name
0,diag_hydrophobicity
1,diag_polarity
2,diag_charge
3,diag_aromaticity
4,diag_volume
5,diag_hbond_donor
6,diag_hbond_acceptor
7,diag_pro_flag
8,diag_gly_flag
9,diag_branched_chain_flag
10,diag_aromatic_residue_flag
11,diag_is_n_terminal
12,diag_is_c_terminal
13,diag_is_internal
14,diag_valid_flag
15,pair_hydrophobicity_sum
16,pair_hydrophobicity_abs_diff
17,pair_hydrophobicity_signed_diff
18,pair_charge_product
19,pair_charge_signed_diff
20,pair_polarity_abs_diff
21,pair_volume_abs_diff
22,pair_both_hydrophobic_flag
23,pair_both_bulky_flag
24,pair_aromatic_pair_flag
25,pair_donor_acceptor_compatibility
26,pair_terminal_interaction_flag
27,pair_end_to_end_flag
28,pair_end_to_internal_flag
29,pair_forward_order_flag
30,pair_reverse_order_flag
31,pair_substitution_similarity_proxy
32,pair_residue_class_compatibility
33,heur_c_terminal_favorable_flag
34,heur_n_terminal_favorable_flag
35,heur_terminal_hydrophobic_pattern_flag
