lite_mode,description,channel_index,channel_name
diag_lite,Only keep diagonal residue-level physicochemical and terminal channels.,0,diag_hydrophobicity
diag_lite,Only keep diagonal residue-level physicochemical and terminal channels.,1,diag_polarity
diag_lite,Only keep diagonal residue-level physicochemical and terminal channels.,2,diag_charge
diag_lite,Only keep diagonal residue-level physicochemical and terminal channels.,3,diag_aromaticity
diag_lite,Only keep diagonal residue-level physicochemical and terminal channels.,4,diag_volume
diag_lite,Only keep diagonal residue-level physicochemical and terminal channels.,5,diag_hbond_donor
diag_lite,Only keep diagonal residue-level physicochemical and terminal channels.,6,diag_hbond_acceptor
diag_lite,Only keep diagonal residue-level physicochemical and terminal channels.,7,diag_pro_flag
diag_lite,Only keep diagonal residue-level physicochemical and terminal channels.,8,diag_gly_flag
diag_lite,Only keep diagonal residue-level physicochemical and terminal channels.,9,diag_branched_chain_flag
diag_lite,Only keep diagonal residue-level physicochemical and terminal channels.,10,diag_aromatic_residue_flag
diag_lite,Only keep diagonal residue-level physicochemical and terminal channels.,11,diag_is_n_terminal
diag_lite,Only keep diagonal residue-level physicochemical and terminal channels.,12,diag_is_c_terminal
diag_lite,Only keep diagonal residue-level physicochemical and terminal channels.,13,diag_is_internal
diag_lite,Only keep diagonal residue-level physicochemical and terminal channels.,14,diag_valid_flag
diag_terminal_pair_lite,Keep diagonal channels plus terminal/order pairwise structural channels.,0,diag_hydrophobicity
diag_terminal_pair_lite,Keep diagonal channels plus terminal/order pairwise structural channels.,1,diag_polarity
diag_terminal_pair_lite,Keep diagonal channels plus terminal/order pairwise structural channels.,2,diag_charge
diag_terminal_pair_lite,Keep diagonal channels plus terminal/order pairwise structural channels.,3,diag_aromaticity
diag_terminal_pair_lite,Keep diagonal channels plus terminal/order pairwise structural channels.,4,diag_volume
diag_terminal_pair_lite,Keep diagonal channels plus terminal/order pairwise structural channels.,5,diag_hbond_donor
diag_terminal_pair_lite,Keep diagonal channels plus terminal/order pairwise structural channels.,6,diag_hbond_acceptor
diag_terminal_pair_lite,Keep diagonal channels plus terminal/order pairwise structural channels.,7,diag_pro_flag
diag_terminal_pair_lite,Keep diagonal channels plus terminal/order pairwise structural channels.,8,diag_gly_flag
diag_terminal_pair_lite,Keep diagonal channels plus terminal/order pairwise structural channels.,9,diag_branched_chain_flag
diag_terminal_pair_lite,Keep diagonal channels plus terminal/order pairwise structural channels.,10,diag_aromatic_residue_flag
diag_terminal_pair_lite,Keep diagonal channels plus terminal/order pairwise structural channels.,11,diag_is_n_terminal
diag_terminal_pair_lite,Keep diagonal channels plus terminal/order pairwise structural channels.,12,diag_is_c_terminal
diag_terminal_pair_lite,Keep diagonal channels plus terminal/order pairwise structural channels.,13,diag_is_internal
diag_terminal_pair_lite,Keep diagonal channels plus terminal/order pairwise structural channels.,14,diag_valid_flag
diag_terminal_pair_lite,Keep diagonal channels plus terminal/order pairwise structural channels.,26,pair_terminal_interaction_flag
