model,n_runs,seeds,n_features_min,n_features_max,test_rmse_mean,test_rmse_std,test_mae_mean,test_mae_std,test_spearman_mean,test_spearman_std,test_top5_hit_rate_mean,test_top10_hit_rate_mean,test_top20_hit_rate_mean,test_strong_mae_mean,test_strong_bias_mean,val_rmse_mean
A1FlatDiagCorePair-TunedSVR,3,"42,52,62",700,700,1.0623499238251062,0.07812111589089649,0.8160184364547196,0.07517677256561789,0.504663061639511,0.07281859019702709,0.3333333333333333,0.3333333333333333,0.6,1.7042858605976174,-1.7042858605976174,1.0921479771224727
A1FlatFull-GroupWeightedSVR-equal_weight,3,"42,52,62",906,906,1.0675574978868847,0.07522402738600983,0.8207650277851606,0.07733538992401985,0.48605246305195243,0.08301700823936393,0.3333333333333333,0.3333333333333333,0.6,1.761570106402317,-1.761570106402317,1.0983708294075691
A1FlatFull-TunedSVR,3,"42,52,62",906,906,1.0675574978868847,0.07522402738600983,0.8207650277851606,0.07733538992401985,0.48605246305195243,0.08301700823936393,0.3333333333333333,0.3333333333333333,0.6,1.761570106402317,-1.761570106402317,1.0983708294075691
A1FlatDiagCoreTerminalPair-TunedSVR,3,"42,52,62",775,775,1.0707681167660426,0.06915785677197674,0.8197519109383445,0.07082844067832472,0.4889218313134922,0.07518558120041732,0.3333333333333333,0.3333333333333333,0.5499999999999999,1.7007440411638262,-1.7007440411638262,1.0921490814224903
A1FlatSelectedK400-GroupWeightedSVR-equal_weight,3,"42,52,62",400,400,1.071314242710341,0.06391082538216646,0.8173327437832952,0.07574755943572949,0.48093757006676324,0.08403988941798063,0.3333333333333333,0.4000000000000001,0.6,1.8257244020874859,-1.8257244020874859,1.0993255114347464
A1FlatNoHeur-TunedSVR,3,"42,52,62",831,831,1.072639539823265,0.07039608986675498,0.8186016884880981,0.07356799109054195,0.4686024094861927,0.08749653690468469,0.3333333333333333,0.3333333333333333,0.6,1.7237694237342245,-1.7237694237342245,1.0901131542864901
A1FlatNoPairwise-TunedSVR,3,"42,52,62",456,456,1.0732378469137496,0.08641983124404852,0.8162022046698008,0.07829486697104851,0.4804479019891407,0.16547423473063366,0.26666666666666666,0.43333333333333335,0.5499999999999999,1.7544338846802672,-1.7544338846802672,1.0977361001606363
A1FlatSelectedK200-GroupWeightedSVR-diag3_pair_light,3,"42,52,62",200,200,1.0760994524167693,0.07444999857092251,0.8110894153233689,0.05796164396591288,0.5008663488464736,0.13144141089455139,0.4666666666666666,0.4000000000000001,0.5666666666666667,1.9951842581796797,-1.9951842581796797,1.0732650330754525
A1FlatSelectedK200-GroupWeightedSVR-diag3_pair_noheur,3,"42,52,62",200,200,1.076183165321807,0.07423939695238159,0.8113939578363035,0.057755818407612076,0.4996940727960957,0.12954384826170112,0.4666666666666666,0.4000000000000001,0.5833333333333334,1.994632492076655,-1.994632492076655,1.0734331551049334
A1FlatDiagOnly-TunedSVR,3,"42,52,62",375,375,1.0771073731258418,0.0918512446539876,0.8163416767411099,0.07700897159528439,0.48948774806650214,0.12835261628311084,0.4000000000000001,0.4000000000000001,0.5666666666666667,1.783248092223155,-1.783248092223155,1.0873832767447589
A1FlatFull-GroupWeightedSVR-diag2_corepair_only,3,"42,52,62",906,906,1.0781907629998144,0.08412470187130777,0.8158445247334861,0.0809756948601248,0.48795971361825136,0.11434316818717154,0.4000000000000001,0.39999999999999997,0.5833333333333334,1.7440789563150092,-1.7440789563150092,1.085686003864393
A1FlatSelected-TunedSVR,3,"42,52,62",200,400,1.0792313247841123,0.04891763000442713,0.8162269507213883,0.07303746791070682,0.46404155027796207,0.0921473596210956,0.3333333333333333,0.43333333333333335,0.5833333333333334,1.9089990462770565,-1.9089990462770565,1.0547231128708636
A1FlatFull-GroupWeightedSVR-diag1p5_pair_aux,3,"42,52,62",906,906,1.0793944010041752,0.09428838382088323,0.8211558754383393,0.08375284682915196,0.4806402196547821,0.0980571457304355,0.4000000000000001,0.3666666666666667,0.5666666666666667,1.767432574123787,-1.767432574123787,1.0858989763099283
A1FlatFull-GroupWeightedSVR-diag2_pair_noheur,3,"42,52,62",906,906,1.0796796245132627,0.08408199564533679,0.8154135779457922,0.08014124009221822,0.4830023312554701,0.11655686558153969,0.4000000000000001,0.39999999999999997,0.5833333333333334,1.7348941470241446,-1.7348941470241446,1.0844459733895049
A1FlatFull-GroupWeightedSVR-diag2_pair_aux,3,"42,52,62",906,906,1.0800933030237416,0.08195886404019925,0.8163737742145541,0.0782913666265622,0.48403463623325066,0.11524171341766093,0.4000000000000001,0.39999999999999997,0.5666666666666667,1.7401731260301583,-1.7401731260301583,1.085574713300389
A1FlatSelectedK400-GroupWeightedSVR-diag1p5_pair_aux,3,"42,52,62",400,400,1.0804248288836045,0.0984524468524377,0.8204684103095286,0.08820628762230177,0.46852677365200424,0.12686477423274575,0.3333333333333333,0.3666666666666667,0.5666666666666667,1.7713852263078105,-1.7713852263078105,1.0842965969669545
A1FlatSelectedK400-GroupWeightedSVR-diag2_corepair_only,3,"42,52,62",400,400,1.08236569324029,0.08857272444859954,0.825060277569308,0.08252743875365431,0.49678385058909996,0.11105698687462845,0.3333333333333333,0.3666666666666667,0.5833333333333334,1.7677252343900955,-1.7677252343900955,1.08737482148851
A1FlatSelectedK200-GroupWeightedSVR-equal_weight,3,"42,52,62",200,200,1.0858814137269877,0.059644336445717414,0.81113912665442,0.06437393639443956,0.45105324966126054,0.10581646743887782,0.3333333333333333,0.43333333333333335,0.5499999999999999,1.9140862737824325,-1.9140862737824325,1.0594349306183968
A1FlatSelectedK400-GroupWeightedSVR-diag3_pair_noheur,3,"42,52,62",400,400,1.086665421280203,0.0864751977498796,0.8253187017698823,0.07780198644983681,0.4887586317175114,0.09918934133469565,0.3333333333333333,0.4000000000000001,0.6,1.8013686212866886,-1.8013686212866886,1.0751643927708499
A1FlatSelectedK400-GroupWeightedSVR-diag3_pair_light,3,"42,52,62",400,400,1.0868171675482767,0.08654626580722632,0.8252651663537036,0.07829135986528278,0.4882687270447145,0.0993111028198814,0.3333333333333333,0.4000000000000001,0.6,1.8010809913240509,-1.8010809913240509,1.0754239317862038
A1FlatSelectedK200-GroupWeightedSVR-diag1p5_pair_aux,3,"42,52,62",200,200,1.0906712348414618,0.06631303019539712,0.8183423312128403,0.0587223008709328,0.4539343702281075,0.10856925754088978,0.4000000000000001,0.4000000000000001,0.5166666666666667,1.9342660291938196,-1.9342660291938196,1.0610032820355626
A1FlatSelectedK400-GroupWeightedSVR-diag4_pair_verylight,3,"42,52,62",400,400,1.091895674074362,0.0869972299531042,0.8317119069705984,0.0738337461366109,0.48254731148750607,0.09579633786511263,0.3333333333333333,0.4000000000000001,0.5666666666666667,1.8079254448725017,-1.8079254448725017,1.082508819281432
A1FlatPairOnly-TunedSVR,3,"42,52,62",450,450,1.096518920393937,0.03283483052322419,0.8557251585198841,0.03909801187753494,0.4584657248139405,0.06279882284776339,0.3333333333333333,0.39999999999999997,0.5666666666666668,1.6389430956915672,-1.6389430956915672,1.1241403877535456
