model,step,feature_set,n_features,test_rmse_mean,test_rmse_std,test_mae_mean,test_mae_std,test_spearman_mean,test_spearman_std,test_top5_hit_rate_mean,test_top10_hit_rate_mean,test_top20_hit_rate_mean,test_strong_mae_mean,test_strong_bias_mean,val_rmse_mean,val_rmse_std
A1FlatSelected-TunedSVR,03_selected_svr,A1FlatSelected_k200,200,1.0533709865535759,0.02780874844565124,0.7746857510385845,0.01774586743711234,0.4922708147303276,0.11045779076710494,0.4,0.45,0.625,1.9207615025368137,-1.9207615025368137,0.9887625129477527,0.03171299607502339
A1FlatFull-TunedSVR,01_tuned_full_svr,A1FlatFull,906,1.0675574978868847,0.07522402738600983,0.8207650277851607,0.07733538992401987,0.48605246305195243,0.08301700823936393,0.3333333333333333,0.3333333333333333,0.6,1.761570106402317,-1.761570106402317,1.0983708294075691,0.08373835130020085
A1FlatNoPairPhyschem-TunedSVR,02_feature_group_ablation,A1FlatNoPairPhyschem,631,1.067938762573856,0.0809486851377318,0.8187180908044517,0.08440112823858001,0.4861109512465167,0.1554942286625045,0.3333333333333333,0.4000000000000001,0.5666666666666667,1.7719432333173293,-1.7719432333173293,1.0875021965702056,0.07380998778689479
A1FlatNoHeur-TunedSVR,02_feature_group_ablation,A1FlatNoHeur,831,1.072639539823265,0.07039608986675505,0.8186016884880981,0.07356799109054195,0.4686024094861927,0.08749653690468469,0.3333333333333333,0.3333333333333333,0.6,1.7237694237342245,-1.7237694237342245,1.0901131542864901,0.09332902907073538
A1FlatNoPairwise-TunedSVR,02_feature_group_ablation,A1FlatNoPairwise,456,1.0732378469137496,0.08641983124404842,0.8162022046698008,0.07829486697104841,0.4804479019891407,0.1654742347306336,0.26666666666666666,0.43333333333333335,0.5499999999999999,1.7544338846802672,-1.7544338846802672,1.097736100160636,0.08453372582756018
A1FlatDiagOnly-TunedSVR,02_feature_group_ablation,A1FlatDiagOnly,375,1.0771073731258418,0.0918512446539876,0.8163416767411099,0.07700897159528436,0.48948774806650214,0.12835261628311084,0.4000000000000001,0.4000000000000001,0.5666666666666667,1.783248092223155,-1.783248092223155,1.0873832767447589,0.09322562975584191
A1FlatMultiKernel-TunedSVR,04_multi_kernel_svr,A1FlatMultiKernel,906,1.0832411639172648,0.0878824096533297,0.8290883417577052,0.06710438356577046,0.4782606724388038,0.12295213290527825,0.3333333333333333,0.3666666666666667,0.5666666666666667,1.7932185095755264,-1.7932185095755264,1.087528860220248,0.09380848312754687
A1FlatDiagCorePair-TunedSVR,02_feature_group_ablation,A1FlatDiagCorePair,600,1.095101628215617,0.08608226300805119,0.8304809935286794,0.08479869957249957,0.4289666993182886,0.10528686817218436,0.3333333333333333,0.4000000000000001,0.5833333333333334,1.731561215154975,-1.731561215154975,1.0925363265109842,0.10910628605968531
A1FlatPairOnly-TunedSVR,02_feature_group_ablation,A1FlatPairOnly,450,1.096518920393937,0.03283483052322419,0.8557251585198841,0.03909801187753494,0.4584657248139405,0.06279882284776339,0.3333333333333333,0.39999999999999997,0.5666666666666668,1.6389430956915672,-1.6389430956915672,1.1241403877535456,0.06860521820463554
A1FlatFull-StrongWeightedSVR,05_strong_activity_weighted_svr,A1FlatFull,906,1.1009388688609318,0.09086474408886865,0.8397605348585464,0.07524130234719473,0.4643449240193878,0.0818097659724156,0.3333333333333333,0.3333333333333333,0.5833333333333334,1.5500229770161915,-1.4544248201662657,1.093469109262709,0.076153690025376
A1FlatSelected-TunedSVR,03_selected_svr,A1FlatSelected_k400,400,1.1309520012451861,,0.899309350086996,,0.4075830213732312,,0.2,0.4,0.5,1.8854741337575422,-1.8854741337575422,1.1866443127170858,
