feature_set,model,n_seeds,n_features_mean,test_threshold_mean,test_threshold_std,test_acc_mean,test_acc_std,test_bacc_mean,test_bacc_std,test_auc_mean,test_auc_std,test_auprc_mean,test_auprc_std,test_f1_mean,test_f1_std,test_mcc_mean,test_mcc_std,test_precision_mean,test_precision_std,test_sensitivity_mean,test_sensitivity_std,test_specificity_mean,test_specificity_std
Descriptor_A1FlatFull,Descriptor_A1FlatFull-RF,5,988.0,0.4159999999999999,0.09914635646356348,0.6787234042553191,0.03937607558153562,0.6762218045112782,0.02681249485658072,0.7521616541353383,0.027214286752937022,0.6945423063658236,0.0164368539171761,0.6201450787644738,0.04977606567500422,0.36158660695731903,0.05166967044468424,0.6144837943235658,0.09138681158405594,0.6631578947368422,0.14816513958167632,0.6892857142857143,0.14972338440181845
A1FlatFull,A1FlatFull-SVC,5,906.0,0.30399999999999994,0.10358571330062845,0.6553191489361703,0.043604045812594056,0.675187969924812,0.02480027917229106,0.7547932330827067,0.03345290406494183,0.6762258493360312,0.05246425274100101,0.6447043241859562,0.02736735209681592,0.3609357217621193,0.039371336719450395,0.5604411718149553,0.04477990950600182,0.7789473684210526,0.13366763262316098,0.5714285714285714,0.15361295119718976
Descriptor,Descriptor-RF,5,82.0,0.47599999999999987,0.10737783756436893,0.6680851063829787,0.02753655128839315,0.6588345864661654,0.0517877611046996,0.7456766917293234,0.030158411052204622,0.6285645850465084,0.051657243593190495,0.5689364912590009,0.15292549399360572,0.3425343876152487,0.06985963126029988,0.6362860445883759,0.13787252893298352,0.6105263157894736,0.26011397459266455,0.7071428571428571,0.1729471430400464
PhysChemOnly,PhysChemOnly-RF,5,22.0,0.32999999999999996,0.03162277660168378,0.6340425531914894,0.040229085959976665,0.6590225563909774,0.048295606645843724,0.700610902255639,0.037901628329494425,0.5807161005837477,0.05522099669571986,0.6337089035966101,0.055029560906926366,0.3218286740136024,0.10123125965083687,0.5309363093515154,0.035098643283612466,0.7894736842105263,0.10526315789473685,0.5285714285714286,0.04482107285003973
A1FlatFull,A1FlatFull-RF,5,906.0,0.45199999999999996,0.21004761364985794,0.6468085106382979,0.027536551288393163,0.6384398496240602,0.027863807255341967,0.7496240601503759,0.026596249858381982,0.6919635198687335,0.022879245863870763,0.5413715116995441,0.13470233418864508,0.32109118078732796,0.027950288073730695,0.6420197044334975,0.1701000668696191,0.5947368421052632,0.3049680969645923,0.6821428571428572,0.2513991460054009
SeqOnly,SeqOnly-RF,5,130.0,0.43199999999999983,0.0779102047231298,0.6468085106382979,0.06129727783356567,0.6553571428571427,0.04301750354020545,0.7296992481203007,0.036680333321328217,0.6475561264933003,0.0533357876461389,0.6167426163950098,0.031820064263276965,0.31100491655612733,0.07903302741809903,0.5599942704354468,0.06411492805211663,0.7,0.08648250907976306,0.6107142857142858,0.1496168576118101
Descriptor,Descriptor-SVC,5,82.0,0.43599999999999994,0.16349311912126452,0.6574468085106384,0.04898240184349503,0.6422932330827068,0.02885238848667771,0.7296052631578948,0.023133000515981605,0.6606247782220752,0.006707414997337045,0.5594419164839888,0.06763338823905639,0.3102866636611749,0.06455081272236587,0.6169531957419988,0.10309074293523544,0.5631578947368421,0.20264866640187848,0.7214285714285713,0.20461823586616026
Descriptor_A1FlatFull,Descriptor_A1FlatFull-SVC,5,988.0,0.356,0.14638989036132244,0.6361702127659574,0.09790702438164713,0.6455827067669173,0.06264240518089319,0.7437030075187969,0.029947523331844122,0.6700756269804705,0.04789506704562572,0.606165337127129,0.045043411467804585,0.30925674258970715,0.11530094331772238,0.5757883316210579,0.12034843973412461,0.6947368421052632,0.18098683014788838,0.5964285714285715,0.27040455330666974
Descriptor_A1FlatFull,Descriptor_A1FlatFull-CatBoost,5,988.0,0.5399999999999999,0.2401041440708594,0.6638297872340425,0.030648638916782846,0.6400375939849624,0.041287915967245285,0.7289473684210526,0.04123894795212795,0.6622677053743153,0.036202755335299805,0.5329334288584605,0.11152579020391916,0.3071683312493933,0.05788000238747171,0.6294484900406939,0.07927370240393855,0.5157894736842106,0.22530373466319994,0.7642857142857143,0.1681797811138729
Descriptor,Descriptor-CatBoost,5,82.0,0.5799999999999998,0.14352700094407325,0.6638297872340425,0.04851810319570801,0.6400375939849624,0.05047919994301381,0.7451127819548871,0.04655411134611925,0.6507112742087713,0.04461210123391205,0.545124506157812,0.08947177509149393,0.2983697543173297,0.10622643284756283,0.6144275362318841,0.10030969818145381,0.5157894736842106,0.16072033141686815,0.7642857142857142,0.1290170847727746
