dataset,seed,feature_set,model,base_model,split,n_features,threshold,acc,bacc,auc,auprc,f1,mcc,precision,sensitivity,specificity,params
plm4ace_cleaned_2_3,82,SeqOnly,SeqOnly-LR,LR,valid,130,0.4599999999999999,0.7692307692307693,0.79375,0.8374999999999999,0.7817888245362672,0.75,0.5733412928572633,0.6428571428571429,0.9,0.6875,"{""C"": 1.0, ""class_weight"": ""balanced""}"
plm4ace_cleaned_2_3,82,SeqOnly,SeqOnly-LR,LR,test,130,0.4599999999999999,0.803030303030303,0.786829268292683,0.8946341463414634,0.8559753243558668,0.7346938775510204,0.5784757093789362,0.75,0.72,0.8536585365853658,"{""C"": 1.0, ""class_weight"": ""balanced""}"
plm4ace_cleaned_2_3,82,SeqOnly,SeqOnly-SVC,SVC,valid,130,0.33999999999999997,0.8269230769230769,0.83125,0.8656250000000001,0.814052052627231,0.7906976744186046,0.6489525639712487,0.7391304347826086,0.85,0.8125,"{""C"": 2.0, ""kernel"": ""rbf"", ""gamma"": ""scale"", ""class_weight"": ""balanced""}"
plm4ace_cleaned_2_3,82,SeqOnly,SeqOnly-SVC,SVC,test,130,0.33999999999999997,0.8333333333333334,0.826829268292683,0.8926829268292683,0.871319710361506,0.7843137254901961,0.648927532039325,0.7692307692307693,0.8,0.8536585365853658,"{""C"": 2.0, ""kernel"": ""rbf"", ""gamma"": ""scale"", ""class_weight"": ""balanced""}"
plm4ace_cleaned_2_3,82,SeqOnly,SeqOnly-RF,RF,valid,130,0.4699999999999999,0.8269230769230769,0.85,0.8796875,0.7925298971654471,0.8085106382978723,0.6816102937842067,0.7037037037037037,0.95,0.75,"{""n_estimators"": 500, ""min_samples_leaf"": 2, ""class_weight"": ""balanced_subsample""}"
plm4ace_cleaned_2_3,82,SeqOnly,SeqOnly-RF,RF,test,130,0.4699999999999999,0.7575757575757576,0.7736585365853659,0.8702439024390245,0.845372285448116,0.7241379310344828,0.5309907904212606,0.6363636363636364,0.84,0.7073170731707317,"{""n_estimators"": 500, ""min_samples_leaf"": 2, ""class_weight"": ""balanced_subsample""}"
plm4ace_cleaned_2_3,82,SeqOnly,SeqOnly-MLP,MLP,valid,130,0.5299999999999999,0.8076923076923077,0.75,0.8953125,0.8644565195227336,0.6666666666666666,0.6172133998483676,1.0,0.5,1.0,"{""hidden_layer_sizes"": [64, 32], ""alpha"": 0.001, ""early_stopping"": true}"
plm4ace_cleaned_2_3,82,SeqOnly,SeqOnly-MLP,MLP,test,130,0.5299999999999999,0.7424242424242424,0.7068292682926829,0.8126829268292683,0.7652393623868066,0.6222222222222222,0.4366264191555064,0.7,0.56,0.8536585365853658,"{""hidden_layer_sizes"": [64, 32], ""alpha"": 0.001, ""early_stopping"": true}"
plm4ace_cleaned_2_3,82,SeqOnly,SeqOnly-CatBoost,CatBoost,valid,130,0.6499999999999999,0.8461538461538461,0.828125,0.878125,0.8078319132638394,0.7894736842105263,0.6710943652414492,0.8333333333333334,0.75,0.90625,"{""depth"": 4, ""learning_rate"": 0.03, ""iterations"": 500, ""auto_class_weights"": ""Balanced""}"
plm4ace_cleaned_2_3,82,SeqOnly,SeqOnly-CatBoost,CatBoost,test,130,0.6499999999999999,0.8333333333333334,0.811219512195122,0.9151219512195122,0.8858075438193839,0.7659574468085106,0.64050285123411,0.8181818181818182,0.72,0.9024390243902439,"{""depth"": 4, ""learning_rate"": 0.03, ""iterations"": 500, ""auto_class_weights"": ""Balanced""}"
plm4ace_cleaned_2_3,82,PhysChemOnly,PhysChemOnly-LR,LR,valid,22,0.31999999999999995,0.6730769230769231,0.734375,0.7796875,0.6821214627694278,0.7017543859649122,0.5033670414105182,0.5405405405405406,1.0,0.46875,"{""C"": 1.0, ""class_weight"": ""balanced""}"
plm4ace_cleaned_2_3,82,PhysChemOnly,PhysChemOnly-LR,LR,test,22,0.31999999999999995,0.6818181818181818,0.7439024390243902,0.853658536585366,0.7465495660253584,0.704225352112676,0.5148896452305499,0.5434782608695652,1.0,0.4878048780487805,"{""C"": 1.0, ""class_weight"": ""balanced""}"
plm4ace_cleaned_2_3,82,PhysChemOnly,PhysChemOnly-SVC,SVC,valid,22,0.30999999999999994,0.8461538461538461,0.865625,0.8734375000000001,0.7289268525592054,0.8260869565217391,0.7115124735378854,0.7307692307692307,0.95,0.78125,"{""C"": 2.0, ""kernel"": ""rbf"", ""gamma"": ""scale"", ""class_weight"": ""balanced""}"
plm4ace_cleaned_2_3,82,PhysChemOnly,PhysChemOnly-SVC,SVC,test,22,0.30999999999999994,0.7878787878787878,0.8058536585365854,0.8653658536585366,0.7930769092532457,0.7586206896551724,0.5934602951767031,0.6666666666666666,0.88,0.7317073170731707,"{""C"": 2.0, ""kernel"": ""rbf"", ""gamma"": ""scale"", ""class_weight"": ""balanced""}"
