feature_set,model,n_seeds,n_features_mean,test_threshold_mean,test_threshold_std,test_acc_mean,test_acc_std,test_bacc_mean,test_bacc_std,test_auc_mean,test_auc_std,test_auprc_mean,test_auprc_std,test_f1_mean,test_f1_std,test_mcc_mean,test_mcc_std,test_precision_mean,test_precision_std,test_sensitivity_mean,test_sensitivity_std,test_specificity_mean,test_specificity_std
Descriptor_A1FlatFull,Descriptor_A1FlatFull-RF,5,988.0,0.44399999999999995,0.057706152185014015,0.8512000000000001,0.01841738309315416,0.8306039488966318,0.01555575325880236,0.9071428571428571,0.023180117386855787,0.8699270423158689,0.0352093198487827,0.7727676352316546,0.01971578795753995,0.6657571965358542,0.033882797651355,0.7819660904995158,0.06649472177761939,0.7707317073170732,0.05615055821083577,0.8904761904761905,0.04564354645876381
Descriptor_A1FlatFull,Descriptor_A1FlatFull-CatBoost,5,988.0,0.454,0.14859340496805368,0.8400000000000001,0.04345112196480086,0.8397502903600464,0.033186006659409684,0.9112659698025551,0.0240872866339159,0.8730096937819853,0.043573233357056526,0.7769435022441498,0.05005559838455744,0.6619340421376154,0.07965135010892449,0.7300914808461977,0.09398204481837462,0.8390243902439025,0.050576686227628585,0.8404761904761905,0.07221786137191952
A1FlatFull,A1FlatFull-CatBoost,5,906.0,0.574,0.10644247272588139,0.8496,0.026168683574073825,0.8219221835075494,0.02836915726725077,0.904006968641115,0.024952894361614308,0.8659097637312723,0.04193379409297456,0.7636483395195243,0.04008080139132941,0.6574592170455821,0.056599698051853775,0.7939145429039046,0.06679027889159748,0.7414634146341463,0.0658988101761283,0.9023809523809524,0.04486058019384943
A1FlatFull,A1FlatFull-RF,5,906.0,0.4379999999999999,0.0920326029187483,0.8256,0.06283947803729756,0.8090592334494774,0.03879410164055851,0.8956445993031359,0.024499403147258576,0.8544635614370721,0.03224178896373071,0.7461271209912496,0.054213341823151864,0.6284069493620474,0.10476045171264599,0.7597257285335827,0.16112289093550472,0.7609756097560976,0.08342747012920518,0.8571428571428571,0.12140522651411394
Descriptor_A1FlatFull,Descriptor_A1FlatFull-LR,5,988.0,0.5919999999999999,0.1669431040804022,0.8128,0.009121403400793059,0.7982868757259001,0.012730640791235325,0.8796167247386759,0.017061710502628516,0.803911121109374,0.038831051553086283,0.7257714708829514,0.01470057128659729,0.5859185125946451,0.020428267220837702,0.6992354962336461,0.021667356177508316,0.7560975609756098,0.03856436170937051,0.8404761904761905,0.021626073957839234
SeqOnly,SeqOnly-MLP,5,130.0,0.3959999999999999,0.062289646009589736,0.808,0.04931531202375181,0.7909698025551684,0.036876497518150905,0.8635307781649244,0.05564657681930484,0.7859729833896252,0.07228507214794762,0.7198223539222639,0.04981531713029863,0.5781124325982745,0.08884803438089377,0.7058464415661067,0.09724276643934131,0.7414634146341463,0.027809156709735095,0.8404761904761905,0.07557414403858992
Descriptor,Descriptor-CatBoost,5,82.0,0.6399999999999999,0.17421251390184342,0.8096,0.03811561359862908,0.7784262485481998,0.046311221353339135,0.8825203252032521,0.020869192794525968,0.809014211710147,0.04520824545440192,0.7004976146677244,0.05824612804634218,0.5752819980460647,0.08296536968579352,0.7434496386630534,0.11882946243093255,0.6878048780487804,0.1340354308686252,0.869047619047619,0.0829070730784769
SeqOnly,SeqOnly-CatBoost,5,130.0,0.566,0.12739701723352867,0.8096,0.024265201420964923,0.7859175377468061,0.033202547525119586,0.9005807200929151,0.01910714721441835,0.824874402411651,0.02462340268589689,0.7102117866631035,0.0412736554543559,0.5742266642935248,0.05393721393680022,0.7143134278002699,0.05949792211347645,0.7170731707317073,0.0984713621374944,0.8547619047619047,0.05545626047072435
Descriptor,Descriptor-SVC,5,82.0,0.476,0.20983326714322492,0.792,0.06764613810115103,0.7740708478513356,0.041519506868649796,0.8955284552845528,0.01766119607090139,0.8444262652463413,0.03353036695873052,0.6958260515017793,0.05218404900193016,0.5662556058730055,0.07931256059738383,0.7249103277674707,0.16366370919709922,0.7219512195121951,0.15290173676739005,0.8261904761904763,0.15694431902549522
Descriptor,Descriptor-LR,5,82.0,0.6279999999999999,0.1715225932639779,0.7952,0.016589153082662192,0.7789488966318234,0.039678340452774796,0.8923344947735192,0.01437267565241533,0.8456335180131755,0.02814893846409287,0.6939356359788929,0.05558690909663414,0.5634912023075058,0.02996358168728888,0.7077622143889188,0.1359298565893371,0.7317073170731707,0.1663192889876324,0.8261904761904761,0.09320751967173042
A1FlatFull,A1FlatFull-LR,5,906.0,0.6499999999999998,0.21954498400100148,0.8032,0.020079840636817774,0.7824041811846689,0.030023565776734363,0.8591173054587689,0.019449138682275546,0.7536994914526051,0.06550594231020512,0.7051456295678239,0.037742365859455625,0.5608712784881871,0.04909355979262385,0.6942969727875388,0.03626165320719718,0.7219512195121951,0.0819889576291298,0.8428571428571429,0.03984095364447978
SeqOnly,SeqOnly-LR,5,130.0,0.48200000000000004,0.3199531215662694,0.7968,0.04616492174801121,0.782636469221835,0.0573627748905572,0.8808943089430894,0.02077079181459778,0.8126834747600362,0.03830745532305298,0.702014652014652,0.07685654719338676,0.5587163626230289,0.0993559220711774,0.6820337311727745,0.07662523989356661,0.7414634146341463,0.13968605915391563,0.8238095238095238,0.07869758990970672
Descriptor,Descriptor-RF,5,82.0,0.4999999999999999,0.11575836902790225,0.7952,0.03902819493648148,0.7752032520325203,0.03433723931372484,0.8773519163763066,0.02040035054503342,0.7861070529399702,0.05309774104565085,0.6960929868146364,0.046127765659745336,0.5543813271646713,0.07259762561668975,0.6986042692939244,0.1092592941528831,0.7170731707317073,0.11773188669411876,0.8333333333333333,0.09411540655263033
SeqOnly,SeqOnly-RF,5,130.0,0.45199999999999996,0.07949842765740717,0.7824,0.04432606456702423,0.7856562137049943,0.028029446545935578,0.897212543554007,0.01875128004729684,0.8327033737423811,0.03161737381416973,0.7065847054868236,0.03399000123186728,0.5540493396378101,0.05304958754617599,0.6478783436500708,0.07589018359906338,0.7951219512195122,0.09694930202122824,0.7761904761904762,0.10045249099870947
A1FlatFull,A1FlatFull-MLP,5,906.0,0.5119999999999999,0.07190271204899024,0.808,0.04308131845707601,0.7597560975609757,0.06889150835916233,0.8231126596980255,0.05584334071497357,0.751228305267823,0.09286108961296934,0.671419548212797,0.10740394941297407,0.547866125996246,0.11356546868971294,0.7483280170122276,0.04242438649097013,0.6195121951219512,0.14694995445260553,0.9,0.021626073957839234
Descriptor_A1FlatFull,Descriptor_A1FlatFull-MLP,5,988.0,0.48999999999999994,0.212367605815953,0.7904,0.08567846870713783,0.7578977932636469,0.06679800551776632,0.8570847851335657,0.049599496572891505,0.7878378892728187,0.07902517454517,0.676895746214032,0.0904161446192565,0.5469177951899049,0.13553248745185265,0.7417624496022664,0.16267346495979917,0.6634146341463415,0.15270708139022954,0.8523809523809524,0.16161563820519245
Descriptor_A1FlatFull,Descriptor_A1FlatFull-SVC,5,988.0,0.36599999999999994,0.16009372255026114,0.7664,0.05496180491941655,0.7637630662020907,0.028618772034326948,0.8781068524970964,0.03243037065212721,0.8325468893953228,0.025319627172590967,0.6810350186060214,0.03782900631293196,0.5253097260828545,0.07227822866817467,0.6520525308836238,0.13227296670748567,0.7560975609756098,0.13688990439416857,0.7714285714285714,0.13816705849956337
SeqOnly,SeqOnly-SVC,5,130.0,0.43600000000000005,0.18889150324988152,0.7792,0.050151769659703936,0.752061556329849,0.041021051666252695,0.881184668989547,0.02533247885208509,0.802083859242566,0.03577389607037911,0.664370710599585,0.06483597172957126,0.5225131061059167,0.09073819695197792,0.6986342986342986,0.14326398811432012,0.673170731707317,0.16049447684255708,0.830952380952381,0.1305187626063404
Descriptor,Descriptor-MLP,5,82.0,0.4939999999999999,0.13371611720357424,0.7807999999999999,0.025674890457409963,0.7295296167247387,0.033429729812123214,0.8606271777003485,0.010499236197308066,0.7829362246324001,0.021539360398691535,0.6246350573605445,0.052428365437836195,0.5149921339464092,0.017409486065729222,0.7665884854739344,0.15468877316494226,0.5804878048780487,0.1991952876984919,0.8785714285714287,0.13400130300243057
