rank_by_mcc,dataset,experiment_group,feature_set,model,n_seeds,n_features_mean,extra_dim_mean,test_acc_mean,test_acc_std,test_bacc_mean,test_bacc_std,test_auc_mean,test_auc_std,test_auprc_mean,test_auprc_std,test_f1_mean,test_f1_std,test_mcc_mean,test_mcc_std,test_precision_mean,test_precision_std,test_sensitivity_mean,test_sensitivity_std,test_specificity_mean,test_specificity_std,method_family
1,acepair_cls_2_3,FeatureModelGrid,Descriptor_A1FlatFull,Descriptor_A1FlatFull-RF,5,988.0,,0.6787234042553191,0.0393760755815356,0.6762218045112782,0.0268124948565807,0.7521616541353383,0.027214286752937,0.6945423063658236,0.0164368539171761,0.6201450787644738,0.0497760656750042,0.361586606957319,0.0516696704446842,0.6144837943235658,0.0913868115840559,0.6631578947368422,0.1481651395816763,0.6892857142857143,0.1497233844018184,Ours: A1 pairwise representation
2,acepair_cls_2_3,FeatureModelGrid,A1FlatFull,A1FlatFull-SVC,5,906.0,,0.6553191489361703,0.043604045812594,0.675187969924812,0.024800279172291,0.7547932330827067,0.0334529040649418,0.6762258493360312,0.052464252741001,0.6447043241859562,0.0273673520968159,0.3609357217621193,0.0393713367194503,0.5604411718149553,0.0447799095060018,0.7789473684210526,0.1336676326231609,0.5714285714285714,0.1536129511971897,Ours: A1 pairwise representation
3,acepair_cls_2_3,FeatureModelGrid,Descriptor,Descriptor-RF,5,82.0,,0.6680851063829787,0.0275365512883931,0.6588345864661654,0.0517877611046996,0.7456766917293234,0.0301584110522046,0.6285645850465084,0.0516572435931904,0.5689364912590009,0.1529254939936057,0.3425343876152487,0.0698596312602998,0.6362860445883759,0.1378725289329835,0.6105263157894736,0.2601139745926645,0.7071428571428571,0.1729471430400464,Descriptor baseline
4,acepair_cls_2_3,FeatureModelGrid,PhysChemOnly,PhysChemOnly-RF,5,22.0,,0.6340425531914894,0.0402290859599766,0.6590225563909774,0.0482956066458437,0.700610902255639,0.0379016283294944,0.5807161005837477,0.0552209966957198,0.6337089035966101,0.0550295609069263,0.3218286740136024,0.1012312596508368,0.5309363093515154,0.0350986432836124,0.7894736842105263,0.1052631578947368,0.5285714285714286,0.0448210728500397,Descriptor baseline
5,acepair_cls_2_3,FeatureModelGrid,A1FlatFull,A1FlatFull-RF,5,906.0,,0.6468085106382979,0.0275365512883931,0.6384398496240602,0.0278638072553419,0.7496240601503759,0.0265962498583819,0.6919635198687335,0.0228792458638707,0.5413715116995441,0.134702334188645,0.3210911807873279,0.0279502880737306,0.6420197044334975,0.1701000668696191,0.5947368421052632,0.3049680969645923,0.6821428571428572,0.2513991460054009,Ours: A1 pairwise representation
6,acepair_cls_2_3,FeatureModelGrid,SeqOnly,SeqOnly-RF,5,130.0,,0.6468085106382979,0.0612972778335656,0.6553571428571427,0.0430175035402054,0.7296992481203007,0.0366803333213282,0.6475561264933003,0.0533357876461389,0.6167426163950098,0.0318200642632769,0.3110049165561273,0.079033027418099,0.5599942704354468,0.0641149280521166,0.7,0.086482509079763,0.6107142857142858,0.1496168576118101,Sequence baseline
7,acepair_cls_2_3,FeatureModelGrid,Descriptor,Descriptor-SVC,5,82.0,,0.6574468085106384,0.048982401843495,0.6422932330827068,0.0288523884866777,0.7296052631578948,0.0231330005159816,0.6606247782220752,0.006707414997337,0.5594419164839888,0.0676333882390563,0.3102866636611749,0.0645508127223658,0.6169531957419988,0.1030907429352354,0.5631578947368421,0.2026486664018784,0.7214285714285713,0.2046182358661602,Descriptor baseline
8,acepair_cls_2_3,FeatureModelGrid,Descriptor_A1FlatFull,Descriptor_A1FlatFull-SVC,5,988.0,,0.6361702127659574,0.0979070243816471,0.6455827067669173,0.0626424051808931,0.7437030075187969,0.0299475233318441,0.6700756269804705,0.0478950670456257,0.606165337127129,0.0450434114678045,0.3092567425897071,0.1153009433177223,0.5757883316210579,0.1203484397341246,0.6947368421052632,0.1809868301478883,0.5964285714285715,0.2704045533066697,Ours: A1 pairwise representation
9,acepair_cls_2_3,FeatureModelGrid,Descriptor_A1FlatFull,Descriptor_A1FlatFull-CatBoost,5,988.0,,0.6638297872340425,0.0306486389167828,0.6400375939849624,0.0412879159672452,0.7289473684210526,0.0412389479521279,0.6622677053743153,0.0362027553352998,0.5329334288584605,0.1115257902039191,0.3071683312493933,0.0578800023874717,0.6294484900406939,0.0792737024039385,0.5157894736842106,0.2253037346631999,0.7642857142857143,0.1681797811138729,Ours: A1 pairwise representation
10,acepair_cls_2_3,FeatureModelGrid,Descriptor,Descriptor-CatBoost,5,82.0,,0.6638297872340425,0.048518103195708,0.6400375939849624,0.0504791999430138,0.7451127819548871,0.0465541113461192,0.6507112742087713,0.044612101233912,0.545124506157812,0.0894717750914939,0.2983697543173297,0.1062264328475628,0.6144275362318841,0.1003096981814538,0.5157894736842106,0.1607203314168681,0.7642857142857142,0.1290170847727746,Descriptor baseline
