feature_set,model,n_seeds,n_features_mean,test_threshold_mean,test_threshold_std,test_acc_mean,test_acc_std,test_bacc_mean,test_bacc_std,test_auc_mean,test_auc_std,test_auprc_mean,test_auprc_std,test_f1_mean,test_f1_std,test_mcc_mean,test_mcc_std,test_precision_mean,test_precision_std,test_sensitivity_mean,test_sensitivity_std,test_specificity_mean,test_specificity_std
A1FlatFull_ESM2,A1FlatFull_ESM2-MLP,5,1226.0,0.348,0.19892209530366403,0.6074074074074074,0.050451399362228526,0.6228219696969697,0.04167554356198448,0.6386679292929293,0.06454574753978252,0.5417136705730093,0.08250696786315125,0.5835543635228989,0.0862813585926228,0.25651459800134246,0.07232386657621578,0.5250693794145864,0.05321114201780822,0.706060606060606,0.2028832574699454,0.5395833333333333,0.19028601462301717
Descriptor_A1FlatFull_ESM2,Descriptor_A1FlatFull_ESM2-LR,5,1308.0,0.368,0.14060583202698246,0.6160493827160494,0.025225699681114253,0.6196969696969697,0.028423686276017143,0.6559343434343434,0.04054036886475678,0.5493754814248106,0.05987790998835026,0.571415343064616,0.05188962630554969,0.2398712086711597,0.05668635963402609,0.5266455679878681,0.0326598047195374,0.6393939393939394,0.12649473614995033,0.6,0.0984361221243954
Descriptor_A1FlatFull_ESM2,Descriptor_A1FlatFull_ESM2-RF,5,1308.0,0.422,0.1347961423780369,0.5987654320987655,0.06859910731757059,0.6022727272727273,0.033850027560066526,0.6753472222222222,0.03275935028001234,0.5955507069151451,0.044996841849922586,0.533933769885801,0.10216632620861475,0.2366878339497791,0.05770063949201758,0.542596485639964,0.07806315565155822,0.6212121212121212,0.29960181717098777,0.5833333333333333,0.3074240534036189
Descriptor_A1FlatFull_ESM2,Descriptor_A1FlatFull_ESM2-SVC,5,1308.0,0.392,0.17512852423291872,0.5765432098765432,0.0645349631540006,0.5877840909090909,0.010333474614136827,0.6800978535353536,0.034715693256688995,0.5960215267261344,0.037328239797433584,0.517651534255772,0.1313182877939231,0.22503801061443646,0.019034881255914095,0.5428388946819604,0.11394624243225805,0.6484848484848486,0.3506847558417645,0.5270833333333333,0.34865502988069896
A1FlatFull_ESM2,A1FlatFull_ESM2-LR,5,1226.0,0.26799999999999996,0.1822635454499884,0.5913580246913581,0.043517424029665595,0.6097537878787879,0.03251465651452549,0.6398674242424243,0.038311397451359745,0.537556389772059,0.06768001372079425,0.5828574931490613,0.0441729891199272,0.22434756817747661,0.06141331601105737,0.5034597230526481,0.03702894072283686,0.709090909090909,0.13007379412930153,0.5104166666666666,0.1399482171098375
A1FlatFull_ESM2,A1FlatFull_ESM2-SVC,5,1226.0,0.39399999999999996,0.1645600194457937,0.5802469135802469,0.05741072604240207,0.5899621212121213,0.01639516069430001,0.6696654040404042,0.032426559138365084,0.5753662519183294,0.03575700195323748,0.5244230533528405,0.11356416942224626,0.21916313688289274,0.05163855272405852,0.5321125174728155,0.09803167840446271,0.6424242424242423,0.3229441581650445,0.5375,0.315231121119445
Descriptor_A1FlatFull_ESM2,Descriptor_A1FlatFull_ESM2-MLP,5,1308.0,0.26199999999999996,0.08438009243891594,0.5518518518518518,0.06950957165560123,0.5929924242424243,0.038184725681446326,0.6660669191919192,0.05951145570195356,0.5767617671125485,0.07031126505185062,0.5966824577073275,0.011631261350276095,0.21130111887135866,0.05356283646879517,0.4813973249318166,0.052600383525827084,0.8151515151515152,0.1377871823562383,0.37083333333333335,0.21035477637658823
A1FlatFull_ESM2,A1FlatFull_ESM2-RF,5,1226.0,0.4379999999999999,0.12153188881935473,0.5950617283950617,0.06556008912272468,0.5901515151515152,0.02547726892587756,0.6739267676767676,0.033346991051480666,0.5950872759965398,0.042075144545964976,0.5029520536477218,0.11537903485079402,0.21087504385655903,0.04533149078220127,0.5551612903225805,0.10389400666153607,0.5636363636363637,0.29014261399433167,0.6166666666666667,0.30220902557483104
A1FlatFull_ESM2,A1FlatFull_ESM2-CatBoost,5,1226.0,0.434,0.20464603587658373,0.5876543209876544,0.06270827209481626,0.5910037878787879,0.022292539599550316,0.6647095959595959,0.03374603427973754,0.5963625022818659,0.036136591942724144,0.5255548529273815,0.0908904577299451,0.20572311334023313,0.04236401993925301,0.5323526417101233,0.08698335612501944,0.6090909090909091,0.2657784795344701,0.5729166666666667,0.28288490862500565
Descriptor_ESM2,Descriptor_ESM2-SVC,5,402.0,0.3959999999999999,0.09989994994993741,0.5851851851851851,0.07057043252853236,0.5884469696969697,0.053168996460629135,0.6565814393939394,0.03926089172213991,0.572166950419162,0.03497338802703073,0.5265382927364495,0.11137642852895141,0.18837862009334413,0.09721880876384062,0.5143601102466351,0.07459509159300759,0.6060606060606061,0.23053218264701422,0.5708333333333333,0.23883488165350644
