dataset,seed,feature_set,model,base_model,split,n_features,threshold,acc,bacc,auc,auprc,f1,mcc,precision,sensitivity,specificity,params
acepair_cls_2_5,82,Descriptor_ESM2,Descriptor_ESM2-LR,LR,valid,402,0.24,0.5846153846153846,0.6023033570203381,0.6086743445234012,0.4774417195738873,0.578125,0.20351255264626186,0.49333333333333335,0.6981132075471698,0.5064935064935064,"{""C"": 1.0, ""class_weight"": ""balanced""}"
acepair_cls_2_5,82,Descriptor_ESM2,Descriptor_ESM2-LR,LR,test,402,0.24,0.5432098765432098,0.5672348484848485,0.5656565656565656,0.44427826841563534,0.5542168674698795,0.13593652563947833,0.46,0.696969696969697,0.4375,"{""C"": 1.0, ""class_weight"": ""balanced""}"
acepair_cls_2_5,82,Descriptor_ESM2,Descriptor_ESM2-SVC,SVC,valid,402,0.4099999999999999,0.6538461538461539,0.6489830923793187,0.6831658907130606,0.5857883338172618,0.5945945945945946,0.29455746430274266,0.5689655172413793,0.6226415094339622,0.6753246753246753,"{""C"": 2.0, ""kernel"": ""rbf"", ""gamma"": ""scale"", ""class_weight"": ""balanced""}"
acepair_cls_2_5,82,Descriptor_ESM2,Descriptor_ESM2-SVC,SVC,test,402,0.4099999999999999,0.5493827160493827,0.5511363636363635,0.59375,0.5213152165893734,0.5034013605442177,0.10050378152592121,0.4567901234567901,0.5606060606060606,0.5416666666666666,"{""C"": 2.0, ""kernel"": ""rbf"", ""gamma"": ""scale"", ""class_weight"": ""balanced""}"
acepair_cls_2_5,82,Descriptor_ESM2,Descriptor_ESM2-RF,RF,valid,402,0.31999999999999995,0.5923076923076923,0.6264395981377113,0.6469002695417789,0.5408223422559933,0.6187050359712231,0.26261579070889995,0.5,0.8113207547169812,0.44155844155844154,"{""n_estimators"": 500, ""min_samples_leaf"": 2, ""class_weight"": ""balanced_subsample""}"
acepair_cls_2_5,82,Descriptor_ESM2,Descriptor_ESM2-RF,RF,test,402,0.31999999999999995,0.5370370370370371,0.5833333333333334,0.5959595959595959,0.5409378058808973,0.5945945945945946,0.18545930391921914,0.46218487394957986,0.8333333333333334,0.3333333333333333,"{""n_estimators"": 500, ""min_samples_leaf"": 2, ""class_weight"": ""balanced_subsample""}"
acepair_cls_2_5,82,Descriptor_ESM2,Descriptor_ESM2-MLP,MLP,valid,402,0.14999999999999997,0.5769230769230769,0.631095319774565,0.6508208772359716,0.5339134886099788,0.6405228758169934,0.30580167010529835,0.49,0.9245283018867925,0.33766233766233766,"{""hidden_layer_sizes"": [64, 32], ""alpha"": 0.001, ""early_stopping"": true}"
acepair_cls_2_5,82,Descriptor_ESM2,Descriptor_ESM2-MLP,MLP,test,402,0.14999999999999997,0.47530864197530864,0.5430871212121212,0.6036931818181818,0.5474931093544386,0.5853658536585366,0.1213147870679833,0.4316546762589928,0.9090909090909091,0.17708333333333334,"{""hidden_layer_sizes"": [64, 32], ""alpha"": 0.001, ""early_stopping"": true}"
acepair_cls_2_5,82,Descriptor_ESM2,Descriptor_ESM2-CatBoost,CatBoost,valid,402,0.58,0.6538461538461539,0.6107571673609409,0.6312178387650086,0.5372594651931358,0.47058823529411764,0.25269526609953324,0.625,0.37735849056603776,0.8441558441558441,"{""depth"": 4, ""learning_rate"": 0.03, ""iterations"": 500, ""auto_class_weights"": ""Balanced""}"
acepair_cls_2_5,82,Descriptor_ESM2,Descriptor_ESM2-CatBoost,CatBoost,test,402,0.58,0.6234567901234568,0.5899621212121212,0.6365214646464646,0.5893925695088063,0.46956521739130436,0.19246865228840346,0.5510204081632653,0.4090909090909091,0.7708333333333334,"{""depth"": 4, ""learning_rate"": 0.03, ""iterations"": 500, ""auto_class_weights"": ""Balanced""}"
