dataset,seed,feature_set,model,base_model,split,n_features,threshold,acc,bacc,auc,auprc,f1,mcc,precision,sensitivity,specificity,params
plm4ace_cleaned_2_5,42,Descriptor_ESM2,Descriptor_ESM2-LR,LR,valid,402,0.6799999999999999,0.94,0.9145220588235294,0.9517463235294118,0.9430223735232297,0.9,0.8613146294994235,0.9642857142857143,0.84375,0.9852941176470589,"{""C"": 1.0, ""class_weight"": ""balanced""}"
plm4ace_cleaned_2_5,42,Descriptor_ESM2,Descriptor_ESM2-LR,LR,test,402,0.6799999999999999,0.856,0.8429152148664344,0.9096980255516841,0.8535748201425875,0.7857142857142857,0.6778087452446937,0.7674418604651163,0.8048780487804879,0.8809523809523809,"{""C"": 1.0, ""class_weight"": ""balanced""}"
plm4ace_cleaned_2_5,42,Descriptor_ESM2,Descriptor_ESM2-SVC,SVC,valid,402,0.5099999999999999,0.92,0.8915441176470589,0.9287683823529412,0.893923728780561,0.8666666666666667,0.8135699161125375,0.9285714285714286,0.8125,0.9705882352941176,"{""C"": 2.0, ""kernel"": ""rbf"", ""gamma"": ""scale"", ""class_weight"": ""balanced""}"
plm4ace_cleaned_2_5,42,Descriptor_ESM2,Descriptor_ESM2-SVC,SVC,test,402,0.5099999999999999,0.848,0.8244773519163764,0.8922764227642276,0.7926069481512021,0.7654320987654321,0.6531403243214778,0.775,0.7560975609756098,0.8928571428571429,"{""C"": 2.0, ""kernel"": ""rbf"", ""gamma"": ""scale"", ""class_weight"": ""balanced""}"
plm4ace_cleaned_2_5,42,Descriptor_ESM2,Descriptor_ESM2-RF,RF,valid,402,0.49999999999999994,0.86,0.8060661764705883,0.8841911764705882,0.831115004372608,0.75,0.668593826705242,0.875,0.65625,0.9558823529411765,"{""n_estimators"": 500, ""min_samples_leaf"": 2, ""class_weight"": ""balanced_subsample""}"
plm4ace_cleaned_2_5,42,Descriptor_ESM2,Descriptor_ESM2-RF,RF,test,402,0.49999999999999994,0.784,0.7331591173054588,0.8812427409988386,0.7097844925132114,0.64,0.49198721242504384,0.7058823529411765,0.5853658536585366,0.8809523809523809,"{""n_estimators"": 500, ""min_samples_leaf"": 2, ""class_weight"": ""balanced_subsample""}"
plm4ace_cleaned_2_5,42,Descriptor_ESM2,Descriptor_ESM2-MLP,MLP,valid,402,0.36999999999999994,0.85,0.8318014705882353,0.9016544117647058,0.8454151511774829,0.7692307692307693,0.6583295909501483,0.7575757575757576,0.78125,0.8823529411764706,"{""hidden_layer_sizes"": [64, 32], ""alpha"": 0.001, ""early_stopping"": true}"
plm4ace_cleaned_2_5,42,Descriptor_ESM2,Descriptor_ESM2-MLP,MLP,test,402,0.36999999999999994,0.816,0.7944250871080138,0.896341463414634,0.7848258736248279,0.7228915662650602,0.5852921345469358,0.7142857142857143,0.7317073170731707,0.8571428571428571,"{""hidden_layer_sizes"": [64, 32], ""alpha"": 0.001, ""early_stopping"": true}"
plm4ace_cleaned_2_5,42,Descriptor_ESM2,Descriptor_ESM2-CatBoost,CatBoost,valid,402,0.7599999999999999,0.85,0.7821691176470589,0.9002757352941176,0.836593111789679,0.7169811320754716,0.6463172217572031,0.9047619047619048,0.59375,0.9705882352941176,"{""depth"": 4, ""learning_rate"": 0.03, ""iterations"": 500, ""auto_class_weights"": ""Balanced""}"
plm4ace_cleaned_2_5,42,Descriptor_ESM2,Descriptor_ESM2-CatBoost,CatBoost,test,402,0.7599999999999999,0.784,0.7269163763066202,0.8818234610917537,0.7434683934355126,0.6301369863013698,0.4882148027874458,0.71875,0.5609756097560976,0.8928571428571429,"{""depth"": 4, ""learning_rate"": 0.03, ""iterations"": 500, ""auto_class_weights"": ""Balanced""}"
