feature_set,model,n_seeds,n_features_mean,test_threshold_mean,test_threshold_std,test_acc_mean,test_acc_std,test_bacc_mean,test_bacc_std,test_auc_mean,test_auc_std,test_auprc_mean,test_auprc_std,test_f1_mean,test_f1_std,test_mcc_mean,test_mcc_std,test_precision_mean,test_precision_std,test_sensitivity_mean,test_sensitivity_std,test_specificity_mean,test_specificity_std
Descriptor_ESM2,Descriptor_ESM2-LR,5,402.0,0.492,0.2899482712485108,0.8528,0.05203076013282911,0.8605110336817654,0.03512687590489968,0.9329268292682927,0.021046597298978082,0.889797264757951,0.03389157437191816,0.8007729232621073,0.054347535587546125,0.7018209867912983,0.08199685654752015,0.7443052516903906,0.10857781241829245,0.8829268292682928,0.07596298293852405,0.8380952380952381,0.09910312089651148
A1FlatFull_ESM2,A1FlatFull_ESM2-RF,5,1226.0,0.41999999999999993,0.025495097567963927,0.8608,0.021614809737770094,0.8527293844367014,0.013676466771134762,0.9155052264808361,0.020532582335707504,0.847510765195756,0.05016842753756683,0.7970186775250065,0.023648129735412537,0.6944453671662376,0.040321987631503534,0.7703988882286235,0.059939664577776226,0.8292682926829269,0.029871826131502154,0.8761904761904763,0.041751614087500416
Descriptor_A1FlatFull_ESM2,Descriptor_A1FlatFull_ESM2-LR,5,1308.0,0.512,0.31924911902775865,0.8368,0.0364856136031724,0.8298780487804878,0.026578533142416986,0.9263646922183508,0.013780024053047747,0.8781549167097881,0.014972253938649684,0.7663455149501661,0.03620721407964062,0.6480440537081779,0.05925036320049139,0.7343611776694483,0.0760222484805392,0.8097560975609757,0.058230909201528396,0.85,0.06869780022025478
Descriptor_A1FlatFull_ESM2,Descriptor_A1FlatFull_ESM2-RF,5,1308.0,0.4259999999999999,0.04929503017546494,0.8336,0.04172289539329695,0.8237514518002322,0.03213549238015398,0.9145760743321718,0.02325909030206461,0.845336453257089,0.04997721216676596,0.7599118694532863,0.04718348124864182,0.6398799291883334,0.07607712563669099,0.7366614185035238,0.09385296854584611,0.7951219512195122,0.06589881017612828,0.8523809523809524,0.07557414403858992
A1FlatFull_ESM2,A1FlatFull_ESM2-CatBoost,5,1226.0,0.6519999999999999,0.17123083834403197,0.8432000000000001,0.04102682049586585,0.8046747967479675,0.06142964633875641,0.9179442508710801,0.024068903866614817,0.8577175927631782,0.05677866388790728,0.7390287933733627,0.08360002569684807,0.6393010932403128,0.10679311259178881,0.8101112347052281,0.09055912753068877,0.6926829268292682,0.1386172901305641,0.9166666666666667,0.04761904761904765
A1FlatFull_ESM2,A1FlatFull_ESM2-LR,5,1226.0,0.5499999999999999,0.3294692701907114,0.8320000000000001,0.029393876913398117,0.8250580720092916,0.024332275840436183,0.9273519163763065,0.007864952729795188,0.8759021247934156,0.014412376180892089,0.7590228459184513,0.028955230282412685,0.6392024433931746,0.04880227635674642,0.7278049143838617,0.07330318393240697,0.8048780487804879,0.08271134125762523,0.8452380952380952,0.06941609398625356
Descriptor_A1FlatFull_ESM2,Descriptor_A1FlatFull_ESM2-CatBoost,5,1308.0,0.592,0.1933132173442882,0.8416,0.038115613598629104,0.8147212543554009,0.06212478644708158,0.9221835075493612,0.029134559801651427,0.8664750376642487,0.06485869279530626,0.747938853895423,0.08087589132280762,0.638873242740997,0.0979298762208927,0.7721774193548386,0.04519707843376446,0.7365853658536585,0.14053522235012617,0.8928571428571429,0.03470804699312679
Descriptor_A1FlatFull_ESM2,Descriptor_A1FlatFull_ESM2-MLP,5,1308.0,0.59,0.1079351657246145,0.8304,0.027942798714516763,0.7764227642276423,0.050613720697928605,0.8994773519163763,0.026328788479205337,0.8440690027803839,0.04131798051538694,0.6998897051891915,0.07464852602650193,0.6053237989882225,0.06853480825706595,0.831101055806938,0.07591419480246865,0.6195121951219512,0.12626516200531496,0.9333333333333333,0.037267799624996496
A1FlatFull_ESM2,A1FlatFull_ESM2-MLP,5,1226.0,0.63,0.1007472083980494,0.8272,0.03943602414037194,0.7877758420441348,0.05237140697088988,0.887862950058072,0.0412829294570378,0.8381168461955409,0.053323162261509176,0.7163176299937692,0.07009982847850102,0.6007190519711278,0.09339263100754334,0.7774482257152346,0.08035267244617958,0.673170731707317,0.1071506470072624,0.9023809523809524,0.043252147915678454
Descriptor_ESM2,Descriptor_ESM2-SVC,5,402.0,0.4899999999999999,0.20603397778036514,0.8176,0.03595552808679075,0.7893728222996517,0.02632574625277003,0.917828106852497,0.0249058858109683,0.8478908348149291,0.04967492724759584,0.717153412070352,0.03417516694221264,0.6003137827845151,0.05261472813881149,0.7611966148197462,0.12217564197079356,0.7073170731707317,0.1302082713662355,0.8714285714285713,0.1059456926727952
