dataset,seed,model,split,extra_dim,threshold,acc,bacc,auc,auprc,f1,mcc,precision,sensitivity,specificity,params
acepair_cls_2_3,42,GRUOnly,valid,0,0.31999999999999995,0.6533333333333333,0.6888888888888889,0.7155555555555555,0.587625922372865,0.6666666666666666,0.3855678298825373,0.5416666666666666,0.8666666666666667,0.5111111111111111,"{""best_epoch"": 24, ""best_valid_auc"": 0.7155555555555555}"
acepair_cls_2_3,42,GRUOnly,test,0,0.31999999999999995,0.5851063829787234,0.6306390977443609,0.7030075187969924,0.6306790497360545,0.6285714285714286,0.2833803265016193,0.4925373134328358,0.868421052631579,0.39285714285714285,"{""best_epoch"": 24, ""best_valid_auc"": 0.7155555555555555}"
acepair_cls_2_3,42,GRU_Descriptor,valid,82,0.30999999999999994,0.72,0.7444444444444445,0.7785185185185185,0.6743474441467688,0.7123287671232876,0.48424799847909306,0.6046511627906976,0.8666666666666667,0.6222222222222222,"{""best_epoch"": 27, ""best_valid_auc"": 0.7785185185185185}"
acepair_cls_2_3,42,GRU_Descriptor,test,82,0.30999999999999994,0.6276595744680851,0.6494360902255639,0.7199248120300753,0.6417724793159495,0.6236559139784946,0.2976854825338034,0.5272727272727272,0.7631578947368421,0.5357142857142857,"{""best_epoch"": 27, ""best_valid_auc"": 0.7785185185185185}"
acepair_cls_2_3,42,GRU_A1PCA,valid,64,0.38999999999999996,0.7733333333333333,0.788888888888889,0.7896296296296297,0.6685804442158787,0.7536231884057971,0.5665577237325317,0.6666666666666666,0.8666666666666667,0.7111111111111111,"{""best_epoch"": 34, ""best_valid_auc"": 0.7896296296296297}"
acepair_cls_2_3,42,GRU_A1PCA,test,64,0.38999999999999996,0.6914893617021277,0.6903195488721805,0.7297932330827068,0.6711509602932164,0.6419753086419753,0.37495564058832065,0.6046511627906976,0.6842105263157895,0.6964285714285714,"{""best_epoch"": 34, ""best_valid_auc"": 0.7896296296296297}"
acepair_cls_2_3,42,GRU_Descriptor_A1PCA,valid,146,0.21999999999999997,0.7333333333333333,0.7666666666666666,0.8007407407407408,0.7039180663781041,0.7368421052631579,0.5365222008118751,0.6086956521739131,0.9333333333333333,0.6,"{""best_epoch"": 24, ""best_valid_auc"": 0.8007407407407408}"
acepair_cls_2_3,42,GRU_Descriptor_A1PCA,test,146,0.21999999999999997,0.6170212765957447,0.6362781954887218,0.712406015037594,0.6469325375295263,0.6086956521739131,0.2705299212989522,0.5185185185185185,0.7368421052631579,0.5357142857142857,"{""best_epoch"": 24, ""best_valid_auc"": 0.8007407407407408}"
acepair_cls_2_3,52,GRUOnly,valid,0,0.7899999999999999,0.6933333333333334,0.6722222222222223,0.6585185185185185,0.5713687476465023,0.5964912280701754,0.35154713901054874,0.6296296296296297,0.5666666666666667,0.7777777777777778,"{""best_epoch"": 84, ""best_valid_auc"": 0.6585185185185185}"
acepair_cls_2_3,52,GRUOnly,test,0,0.7899999999999999,0.6702127659574468,0.6555451127819549,0.6898496240601504,0.6110550708637582,0.5866666666666667,0.31248839092580527,0.5945945945945946,0.5789473684210527,0.7321428571428571,"{""best_epoch"": 84, ""best_valid_auc"": 0.6585185185185185}"
