dataset,seed,feature_set,model,base_model,n_features,raw_n_features,selected_k,params,split,threshold,acc,bacc,auc,auprc,f1,mcc,precision,sensitivity,specificity
plm4ace_cleaned_2_3,42,ESM2,ESM2-LR,LR,320,320,,"{""C"": 0.1, ""class_weight"": ""balanced"", ""selector"": ""none"", ""k"": null}",valid,0.6,1.0,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,1.0,1.0
plm4ace_cleaned_2_3,42,ESM2,ESM2-LR,LR,320,320,,"{""C"": 0.1, ""class_weight"": ""balanced"", ""selector"": ""none"", ""k"": null}",test,0.6,0.8333333333333334,0.8034146341463415,0.944390243902439,0.892608055364396,0.7555555555555555,0.6405227186668041,0.85,0.68,0.926829268292683
plm4ace_cleaned_2_3,42,A1FlatFull,A1FlatFull-LR,LR,906,906,,"{""C"": 10.0, ""class_weight"": ""balanced"", ""selector"": ""none"", ""k"": null}",valid,0.05,0.9423076923076923,0.953125,0.984375,0.9755120217423354,0.9302325581395349,0.8877181299606703,0.8695652173913043,1.0,0.90625
plm4ace_cleaned_2_3,42,A1FlatFull,A1FlatFull-LR,LR,906,906,,"{""C"": 10.0, ""class_weight"": ""balanced"", ""selector"": ""none"", ""k"": null}",test,0.05,0.803030303030303,0.802439024390244,0.8819512195121951,0.8365559894848495,0.7547169811320755,0.5936889186974259,0.7142857142857143,0.8,0.8048780487804879
plm4ace_cleaned_2_3,42,A1FlatSelected,A1FlatSelected-LR,LR,200,906,200.0,"{""C"": 10.0, ""class_weight"": ""balanced"", ""selector"": ""VarianceThreshold + SelectKBest(f_classif)"", ""k"": 200}",valid,0.05,0.9423076923076923,0.953125,0.984375,0.9755120217423354,0.9302325581395349,0.8877181299606703,0.8695652173913043,1.0,0.90625
plm4ace_cleaned_2_3,42,A1FlatSelected,A1FlatSelected-LR,LR,200,906,200.0,"{""C"": 10.0, ""class_weight"": ""balanced"", ""selector"": ""VarianceThreshold + SelectKBest(f_classif)"", ""k"": 200}",test,0.05,0.803030303030303,0.802439024390244,0.8819512195121951,0.8365559894848495,0.7547169811320755,0.5936889186974259,0.7142857142857143,0.8,0.8048780487804879
plm4ace_cleaned_2_3,52,ESM2,ESM2-LR,LR,320,320,,"{""C"": 1.0, ""class_weight"": ""balanced"", ""selector"": ""none"", ""k"": null}",valid,0.10999999999999999,0.8653846153846154,0.88125,0.91875,0.8360358528366336,0.8444444444444444,0.7424683557292252,0.76,0.95,0.8125
plm4ace_cleaned_2_3,52,ESM2,ESM2-LR,LR,320,320,,"{""C"": 1.0, ""class_weight"": ""balanced"", ""selector"": ""none"", ""k"": null}",test,0.10999999999999999,0.8333333333333334,0.8580487804878049,0.9385365853658537,0.9129686646494506,0.8135593220338984,0.6950558125045881,0.7058823529411765,0.96,0.7560975609756098
plm4ace_cleaned_2_3,52,A1FlatFull,A1FlatFull-LR,LR,906,906,,"{""C"": 10.0, ""class_weight"": ""balanced"", ""selector"": ""none"", ""k"": null}",valid,0.8799999999999999,0.9230769230769231,0.91875,0.934375,0.872859454350204,0.9,0.8375,0.9,0.9,0.9375
plm4ace_cleaned_2_3,52,A1FlatFull,A1FlatFull-LR,LR,906,906,,"{""C"": 10.0, ""class_weight"": ""balanced"", ""selector"": ""none"", ""k"": null}",test,0.8799999999999999,0.8787878787878788,0.855609756097561,0.9024390243902439,0.8881343224797926,0.8260869565217391,0.7407125301119243,0.9047619047619048,0.76,0.9512195121951219
plm4ace_cleaned_2_3,52,A1FlatSelected,A1FlatSelected-LR,LR,200,906,200.0,"{""C"": 10.0, ""class_weight"": ""balanced"", ""selector"": ""VarianceThreshold + SelectKBest(f_classif)"", ""k"": 200}",valid,0.8799999999999999,0.9230769230769231,0.91875,0.934375,0.872859454350204,0.9,0.8375,0.9,0.9,0.9375
plm4ace_cleaned_2_3,52,A1FlatSelected,A1FlatSelected-LR,LR,200,906,200.0,"{""C"": 10.0, ""class_weight"": ""balanced"", ""selector"": ""VarianceThreshold + SelectKBest(f_classif)"", ""k"": 200}",test,0.8799999999999999,0.8787878787878788,0.855609756097561,0.9024390243902439,0.8881343224797926,0.8260869565217391,0.7407125301119243,0.9047619047619048,0.76,0.9512195121951219
plm4ace_cleaned_2_3,62,ESM2,ESM2-LR,LR,320,320,,"{""C"": 0.1, ""class_weight"": ""balanced"", ""selector"": ""none"", ""k"": null}",valid,0.4799999999999999,0.9423076923076923,0.953125,0.984375,0.9763969211566466,0.9302325581395349,0.8877181299606703,0.8695652173913043,1.0,0.90625
