feature,score,pvalue,selected
pair_both_hydrophobic_flag__r0__c2,92.0923597678918,2.9186182382137467e-18,True
pair_both_hydrophobic_flag__r2__c0,92.0923597678918,2.9186182382137467e-18,True
pair_hydrophobicity_sum__r0__c2,59.56006223882494,5.031485125102049e-13,True
pair_hydrophobicity_sum__r2__c0,59.56006223882494,5.031485125102049e-13,True
diag_aromaticity__r2__c2,48.440127970749614,4.458679232017316e-11,True
diag_aromatic_residue_flag__r2__c2,48.440127970749614,4.458679232017316e-11,True
diag_hydrophobicity__r0__c0,48.31536413187104,4.6943834657060875e-11,True
heur_terminal_hydrophobic_pattern_flag__r1__c2,47.029459327515674,7.995938980274283e-11,True
heur_terminal_hydrophobic_pattern_flag__r2__c1,47.029459327515674,7.995938980274283e-11,True
diag_polarity__r0__c0,44.99241185256695,1.8704016067376919e-10,True
diag_branched_chain_flag__r0__c0,41.804969879517955,7.180704890330923e-10,True
heur_c_terminal_favorable_flag__r0__c2,41.600913022585345,7.831693515822353e-10,True
heur_c_terminal_favorable_flag__r1__c2,41.600913022585345,7.831693515822353e-10,True
heur_c_terminal_favorable_flag__r2__c0,41.600913022585345,7.831693515822353e-10,True
heur_c_terminal_favorable_flag__r2__c1,41.600913022585345,7.831693515822353e-10,True
heur_terminal_hydrophobic_pattern_flag__r0__c2,41.37097115559061,8.637084091697273e-10,True
heur_terminal_hydrophobic_pattern_flag__r2__c0,41.37097115559061,8.637084091697273e-10,True
pair_residue_class_compatibility__r0__c2,35.55709755471276,1.0628005481220554e-08,True
pair_residue_class_compatibility__r2__c0,35.55709755471276,1.0628005481220554e-08,True
heur_n_terminal_favorable_flag__r0__c2,33.9142896324739,2.1876835062748854e-08,True
heur_n_terminal_favorable_flag__r2__c0,33.9142896324739,2.1876835062748854e-08,True
pair_hydrophobicity_signed_diff__r0__c2,33.15697136613604,3.057550559444505e-08,True
pair_hydrophobicity_signed_diff__r2__c0,33.15697136613604,3.057550559444505e-08,True
pair_both_hydrophobic_flag__r1__c2,31.793263532200722,5.6048620299986326e-08,True
pair_both_hydrophobic_flag__r2__c1,31.793263532200722,5.6048620299986326e-08,True
diag_volume__r2__c2,31.643395342616728,5.99238013125745e-08,True
seq_length,30.810764300973243,8.695834989071082e-08,True
diag_is_c_terminal__r2__c2,30.810764300973233,8.695834989071082e-08,True
diag_is_internal__r1__c1,30.810764300973233,8.695834989071082e-08,True
diag_valid_flag__r2__c2,30.810764300973233,8.695834989071082e-08,True
pair_terminal_interaction_flag__r0__c2,30.810764300973233,8.695834989071082e-08,True
pair_terminal_interaction_flag__r1__c2,30.810764300973233,8.695834989071082e-08,True
pair_terminal_interaction_flag__r2__c0,30.810764300973233,8.695834989071082e-08,True
pair_terminal_interaction_flag__r2__c1,30.810764300973233,8.695834989071082e-08,True
pair_end_to_end_flag__r0__c2,30.810764300973233,8.695834989071082e-08,True
pair_end_to_end_flag__r2__c0,30.810764300973233,8.695834989071082e-08,True
pair_end_to_internal_flag__r0__c1,30.810764300973233,8.695834989071082e-08,True
pair_end_to_internal_flag__r1__c0,30.810764300973233,8.695834989071082e-08,True
pair_end_to_internal_flag__r1__c2,30.810764300973233,8.695834989071082e-08,True
pair_end_to_internal_flag__r2__c1,30.810764300973233,8.695834989071082e-08,True
pair_forward_order_flag__r0__c2,30.810764300973233,8.695834989071082e-08,True
pair_forward_order_flag__r1__c2,30.810764300973233,8.695834989071082e-08,True
pair_reverse_order_flag__r2__c0,30.810764300973233,8.695834989071082e-08,True
pair_reverse_order_flag__r2__c1,30.810764300973233,8.695834989071082e-08,True
diag_is_c_terminal__r1__c1,30.810764300973215,8.695834989071203e-08,True
pair_end_to_end_flag__r0__c1,30.810764300973215,8.695834989071203e-08,True
pair_end_to_end_flag__r1__c0,30.810764300973215,8.695834989071203e-08,True
residue_id_2,30.559450209097687,9.733219371672139e-08,True
heur_terminal_hydrophobic_pattern_flag__r0__c1,26.280927835051543,6.784678995317057e-07,True
heur_terminal_hydrophobic_pattern_flag__r1__c0,26.280927835051543,6.784678995317057e-07,True
pair_substitution_similarity_proxy__r0__c2,26.04954149547285,7.545563583872064e-07,True
pair_substitution_similarity_proxy__r2__c0,26.04954149547285,7.545563583872064e-07,True
pair_both_hydrophobic_flag__r0__c1,25.4562912136874,9.915601784520464e-07,True
pair_both_hydrophobic_flag__r1__c0,25.4562912136874,9.915601784520464e-07,True
pair_hydrophobicity_signed_diff__r0__c1,25.148939173968127,1.1427022079635484e-06,True
pair_hydrophobicity_signed_diff__r1__c0,25.148939173968127,1.1427022079635484e-06,True
pair_hydrophobicity_abs_diff__r0__c2,23.50793132737119,2.447575654250517e-06,True
pair_hydrophobicity_abs_diff__r2__c0,23.50793132737119,2.447575654250517e-06,True
diag_hydrophobicity__r2__c2,22.154117176070596,4.61365961686367e-06,True
pair_hydrophobicity_sum__r1__c2,21.902744265380235,5.192913311228223e-06,True
pair_hydrophobicity_sum__r2__c1,21.902744265380235,5.192913311228223e-06,True
pair_hydrophobicity_sum__r0__c1,20.12123478185051,1.2070991323720997e-05,True
pair_hydrophobicity_sum__r1__c0,20.12123478185051,1.2070991323720997e-05,True
heur_n_terminal_favorable_flag__r0__c1,19.139477113536408,1.9293301624591084e-05,True
heur_n_terminal_favorable_flag__r1__c0,19.139477113536408,1.9293301624591084e-05,True
diag_hbond_acceptor__r2__c2,18.817412750609932,2.2516736046802635e-05,True
pair_both_bulky_flag__r0__c2,18.758921180906828,2.31583216976898e-05,True
pair_both_bulky_flag__r2__c0,18.758921180906828,2.31583216976898e-05,True
diag_hbond_donor__r0__c0,17.639423387357137,3.973556029045018e-05,True
diag_gly_flag__r1__c1,16.605140186915886,6.568180476124699e-05,True
pair_both_bulky_flag__r1__c2,15.134195433991387,0.00013512778949591024,True
pair_both_bulky_flag__r2__c1,15.134195433991387,0.00013512778949591024,True
pair_both_bulky_flag__r0__c1,13.966101694915217,0.00024106060265305894,True
pair_both_bulky_flag__r1__c0,13.966101694915217,0.00024106060265305894,True
diag_volume__r1__c1,13.86619169804255,0.00025336117516793036,True
diag_volume__r0__c0,13.07208616732964,0.0003768708547539017,True
pair_volume_abs_diff__r0__c2,12.312260240364285,0.0005525190816393036,True
pair_volume_abs_diff__r2__c0,12.312260240364285,0.0005525190816393036,True
pair_volume_abs_diff__r1__c2,11.669575768466133,0.0007652702594055465,True
pair_volume_abs_diff__r2__c1,11.669575768466133,0.0007652702594055465,True
pair_hydrophobicity_abs_diff__r1__c2,11.186843763739159,0.0009787353036267064,True
pair_hydrophobicity_abs_diff__r2__c1,11.186843763739159,0.0009787353036267064,True
pair_charge_signed_diff__r1__c2,10.766921653686154,0.0012135185802911938,True
pair_charge_signed_diff__r2__c1,10.766921653686154,0.0012135185802911938,True
pair_aromatic_pair_flag__r1__c2,10.729166666666657,0.0012372648443052254,True
pair_aromatic_pair_flag__r2__c1,10.729166666666657,0.0012372648443052254,True
diag_hbond_donor__r2__c2,10.563731007315674,0.0013470437001586234,True
diag_aromaticity__r1__c1,9.24594711956001,0.002666597095333885,True
diag_aromatic_residue_flag__r1__c1,9.24594711956001,0.002666597095333885,True
pair_aromatic_pair_flag__r0__c1,9.18105849582173,0.002758562401415282,True
pair_aromatic_pair_flag__r1__c0,9.18105849582173,0.002758562401415282,True
pair_substitution_similarity_proxy__r1__c2,8.755075547252492,0.003448729515152853,True
pair_substitution_similarity_proxy__r2__c1,8.755075547252492,0.003448729515152853,True
pair_residue_class_compatibility__r1__c2,8.632640076753816,0.003678181613738072,True
pair_residue_class_compatibility__r2__c1,8.632640076753816,0.003678181613738072,True
diag_gly_flag__r0__c0,8.129033634966726,0.00479951202877066,True
pair_volume_abs_diff__r0__c1,6.625747721662115,0.010753185965660238,True
pair_volume_abs_diff__r1__c0,6.625747721662115,0.010753185965660238,True
pair_polarity_abs_diff__r1__c2,5.921792580281278,0.015807569874140674,True
pair_polarity_abs_diff__r2__c1,5.921792580281278,0.015807569874140674,True
diag_hbond_acceptor__r0__c0,5.750210046210166,0.017378888448351754,False
pair_hydrophobicity_abs_diff__r0__c1,4.575483508284063,0.03360949705669507,False
pair_hydrophobicity_abs_diff__r1__c0,4.575483508284063,0.03360949705669507,False
pair_residue_class_compatibility__r0__c1,4.0883097543215365,0.04447406840614121,False
pair_residue_class_compatibility__r1__c0,4.0883097543215365,0.04447406840614121,False
diag_hbond_donor__r1__c1,3.627969987494793,0.05820919498707069,False
pair_substitution_similarity_proxy__r0__c1,3.3534402765622566,0.068509110929755,False
pair_substitution_similarity_proxy__r1__c0,3.3534402765622566,0.068509110929755,False
diag_polarity__r1__c1,3.1049477686965545,0.07953790407389288,False
diag_charge__r1__c1,3.0281932913798015,0.0833224522959994,False
pair_charge_signed_diff__r0__c1,2.9565168500570826,0.08703404227011889,False
pair_charge_signed_diff__r1__c0,2.9565168500570826,0.08703404227011889,False
residue_id_1,2.36656969404947,0.12549375641899993,False
diag_pro_flag__r2__c2,2.3409090909090793,0.12755012335356686,False
pair_aromatic_pair_flag__r0__c2,2.2451067615658373,0.13556845693254005,False
pair_aromatic_pair_flag__r2__c0,2.2451067615658373,0.13556845693254005,False
pair_donor_acceptor_compatibility__r1__c2,1.8409090909090875,0.17632935975533584,False
pair_donor_acceptor_compatibility__r2__c1,1.8409090909090875,0.17632935975533584,False
heur_c_terminal_favorable_flag__r0__c1,1.7536483669214618,0.18688612923864484,False
heur_c_terminal_favorable_flag__r1__c0,1.7536483669214618,0.18688612923864484,False
residue_id_0,1.4395628201454975,0.23158818103543452,False
pair_polarity_abs_diff__r0__c2,1.4218692883746131,0.23446770841898795,False
pair_polarity_abs_diff__r2__c0,1.4218692883746131,0.23446770841898795,False
diag_hbond_acceptor__r1__c1,1.2721465076660985,0.260676319316851,False
pair_charge_product__r1__c2,1.2070312500000013,0.27320326550409774,False
pair_charge_product__r2__c1,1.2070312500000013,0.27320326550409774,False
diag_charge__r2__c2,1.1591623526490158,0.28289857407679553,False
diag_pro_flag__r1__c1,0.8640939597315421,0.35368354565659077,False
pair_donor_acceptor_compatibility__r0__c1,0.8366425992779798,0.36142815278936735,False
pair_donor_acceptor_compatibility__r1__c0,0.8366425992779798,0.36142815278936735,False
pair_hydrophobicity_signed_diff__r1__c2,0.49120233779036576,0.4841823473385699,False
pair_hydrophobicity_signed_diff__r2__c1,0.49120233779036576,0.4841823473385699,False
diag_charge__r0__c0,0.35424029057785933,0.552375808552326,False
pair_donor_acceptor_compatibility__r0__c2,0.28650904033379704,0.5930437070393346,False
pair_donor_acceptor_compatibility__r2__c0,0.28650904033379704,0.5930437070393346,False
diag_branched_chain_flag__r2__c2,0.2865090403337966,0.5930437070393346,False
pair_charge_product__r0__c2,0.2843849077935705,0.5944163608327109,False
pair_charge_product__r2__c0,0.2843849077935705,0.5944163608327109,False
diag_aromaticity__r0__c0,0.274422735346359,0.6009434094678398,False
diag_aromatic_residue_flag__r0__c0,0.274422735346359,0.6009434094678398,False
diag_pro_flag__r0__c0,0.24999999999999983,0.617608754497166,False
diag_polarity__r2__c2,0.15757450089605962,0.6918104512044994,False
diag_branched_chain_flag__r1__c1,0.10641393269798384,0.7445955100227366,False
pair_polarity_abs_diff__r0__c1,0.050225147589433805,0.8228940756992245,False
pair_polarity_abs_diff__r1__c0,0.050225147589433805,0.8228940756992245,False
pair_charge_signed_diff__r0__c2,0.023182879716460256,0.8791314831726247,False
pair_charge_signed_diff__r2__c0,0.023182879716460256,0.8791314831726247,False
diag_gly_flag__r2__c2,0.0223330442324374,0.8813507261996818,False
diag_hydrophobicity__r1__c1,0.003510847637912874,0.9528085086091432,False
pair_charge_product__r0__c1,0.0,1.0,False
pair_charge_product__r1__c0,0.0,1.0,False
