dataset,seed,feature_set,model,base_model,split,n_features,threshold,acc,bacc,auc,auprc,f1,mcc,precision,sensitivity,specificity,params
acepair_cls_2_5,82,ESM2,ESM2-LR,LR,valid,320,0.4099999999999999,0.6230769230769231,0.6200686106346484,0.6393040921342807,0.5453664511387393,0.5663716814159292,0.23671083265488554,0.5333333333333333,0.6037735849056604,0.6363636363636364,"{""C"": 1.0, ""class_weight"": ""balanced""}"
acepair_cls_2_5,82,ESM2,ESM2-LR,LR,test,320,0.4099999999999999,0.5555555555555556,0.5516098484848484,0.5449810606060607,0.4428671021323743,0.49295774647887325,0.10162817863116648,0.4605263157894737,0.5303030303030303,0.5729166666666666,"{""C"": 1.0, ""class_weight"": ""balanced""}"
acepair_cls_2_5,82,ESM2,ESM2-SVC,SVC,valid,320,0.3499999999999999,0.6230769230769231,0.6406518010291595,0.6581720166625826,0.5583696218476657,0.6141732283464567,0.2791571252363264,0.527027027027027,0.7358490566037735,0.5454545454545454,"{""C"": 2.0, ""kernel"": ""rbf"", ""gamma"": ""scale"", ""class_weight"": ""balanced""}"
acepair_cls_2_5,82,ESM2,ESM2-SVC,SVC,test,320,0.3499999999999999,0.5308641975308642,0.5615530303030303,0.5664457070707071,0.49833913746652647,0.5581395348837209,0.1271862235346102,0.4528301886792453,0.7272727272727273,0.3958333333333333,"{""C"": 2.0, ""kernel"": ""rbf"", ""gamma"": ""scale"", ""class_weight"": ""balanced""}"
acepair_cls_2_5,82,ESM2,ESM2-RF,RF,valid,320,0.3,0.5846153846153846,0.6258270031854938,0.640039206076942,0.5457453003002118,0.625,0.26985728492032873,0.4945054945054945,0.8490566037735849,0.4025974025974026,"{""n_estimators"": 500, ""min_samples_leaf"": 2, ""class_weight"": ""balanced_subsample""}"
acepair_cls_2_5,82,ESM2,ESM2-RF,RF,test,320,0.3,0.48148148148148145,0.5317234848484849,0.5874368686868687,0.5233382336236336,0.5578947368421052,0.07357255323554539,0.4274193548387097,0.803030303030303,0.2604166666666667,"{""n_estimators"": 500, ""min_samples_leaf"": 2, ""class_weight"": ""balanced_subsample""}"
acepair_cls_2_5,82,ESM2,ESM2-MLP,MLP,valid,320,0.31999999999999995,0.5846153846153846,0.6228865474148493,0.6341582945356531,0.5694067830033767,0.6197183098591549,0.25991461702471513,0.4943820224719101,0.8301886792452831,0.4155844155844156,"{""hidden_layer_sizes"": [64, 32], ""alpha"": 0.001, ""early_stopping"": true}"
acepair_cls_2_5,82,ESM2,ESM2-MLP,MLP,test,320,0.31999999999999995,0.47530864197530864,0.5288825757575758,0.547979797979798,0.46370729913567105,0.5595854922279793,0.06896640980624215,0.4251968503937008,0.8181818181818182,0.23958333333333334,"{""hidden_layer_sizes"": [64, 32], ""alpha"": 0.001, ""early_stopping"": true}"
acepair_cls_2_5,82,ESM2,ESM2-CatBoost,CatBoost,valid,320,0.09,0.5307692307692308,0.598015192354815,0.6368537123254103,0.5359052994587616,0.6257668711656442,0.26699021753249175,0.4636363636363636,0.9622641509433962,0.23376623376623376,"{""depth"": 4, ""learning_rate"": 0.03, ""iterations"": 500, ""auto_class_weights"": ""Balanced""}"
acepair_cls_2_5,82,ESM2,ESM2-CatBoost,CatBoost,test,320,0.09,0.4691358024691358,0.5426136363636364,0.6227904040404041,0.5564858701021119,0.5904761904761905,0.13325044772225653,0.4305555555555556,0.9393939393939394,0.14583333333333334,"{""depth"": 4, ""learning_rate"": 0.03, ""iterations"": 500, ""auto_class_weights"": ""Balanced""}"
