dataset,seed,feature_set,model,base_model,split,n_features,threshold,acc,bacc,auc,auprc,f1,mcc,precision,sensitivity,specificity,params
plm4ace_cleaned_2_3,82,ESM2,ESM2-LR,LR,valid,320,0.5299999999999999,0.8461538461538461,0.846875,0.909375,0.8446640159376229,0.8095238095238095,0.6831577749352966,0.7727272727272727,0.85,0.84375,"{""C"": 1.0, ""class_weight"": ""balanced""}"
plm4ace_cleaned_2_3,82,ESM2,ESM2-LR,LR,test,320,0.5299999999999999,0.8484848484848485,0.8468292682926829,0.9229268292682926,0.8777068039272913,0.8076923076923077,0.6843739692822518,0.7777777777777778,0.84,0.8536585365853658,"{""C"": 1.0, ""class_weight"": ""balanced""}"
plm4ace_cleaned_2_3,82,ESM2,ESM2-SVC,SVC,valid,320,0.6399999999999999,0.8269230769230769,0.79375,0.8796875,0.8317868212603199,0.7428571428571429,0.6308866919011829,0.8666666666666667,0.65,0.9375,"{""C"": 2.0, ""kernel"": ""rbf"", ""gamma"": ""scale"", ""class_weight"": ""balanced""}"
plm4ace_cleaned_2_3,82,ESM2,ESM2-SVC,SVC,test,320,0.6399999999999999,0.7878787878787878,0.735609756097561,0.8751219512195122,0.8181106753417509,0.65,0.5454494152186895,0.8666666666666667,0.52,0.9512195121951219,"{""C"": 2.0, ""kernel"": ""rbf"", ""gamma"": ""scale"", ""class_weight"": ""balanced""}"
plm4ace_cleaned_2_3,82,ESM2,ESM2-RF,RF,valid,320,0.37999999999999995,0.7692307692307693,0.79375,0.83125,0.7223326400053585,0.75,0.5733412928572633,0.6428571428571429,0.9,0.6875,"{""n_estimators"": 500, ""min_samples_leaf"": 2, ""class_weight"": ""balanced_subsample""}"
plm4ace_cleaned_2_3,82,ESM2,ESM2-RF,RF,test,320,0.37999999999999995,0.7272727272727273,0.7414634146341463,0.8478048780487806,0.7880001127066978,0.6896551724137931,0.4685212856658182,0.6060606060606061,0.8,0.6829268292682927,"{""n_estimators"": 500, ""min_samples_leaf"": 2, ""class_weight"": ""balanced_subsample""}"
plm4ace_cleaned_2_3,82,ESM2,ESM2-MLP,MLP,valid,320,0.49999999999999994,0.8269230769230769,0.840625,0.8875,0.7846639942202098,0.8,0.6633528752007012,0.72,0.9,0.78125,"{""hidden_layer_sizes"": [64, 32], ""alpha"": 0.001, ""early_stopping"": true}"
plm4ace_cleaned_2_3,82,ESM2,ESM2-MLP,MLP,test,320,0.49999999999999994,0.8181818181818182,0.8146341463414635,0.8790243902439023,0.8375484122209398,0.7692307692307693,0.6208455839480344,0.7407407407407407,0.8,0.8292682926829268,"{""hidden_layer_sizes"": [64, 32], ""alpha"": 0.001, ""early_stopping"": true}"
plm4ace_cleaned_2_3,82,ESM2,ESM2-CatBoost,CatBoost,valid,320,0.71,0.7884615384615384,0.78125,0.8296874999999999,0.7505784138514182,0.7317073170731707,0.5577274494178149,0.7142857142857143,0.75,0.8125,"{""depth"": 4, ""learning_rate"": 0.03, ""iterations"": 500, ""auto_class_weights"": ""Balanced""}"
plm4ace_cleaned_2_3,82,ESM2,ESM2-CatBoost,CatBoost,test,320,0.71,0.7878787878787878,0.7590243902439024,0.8868292682926829,0.8260726077417762,0.6956521739130435,0.5395313490938708,0.7619047619047619,0.64,0.8780487804878049,"{""depth"": 4, ""learning_rate"": 0.03, ""iterations"": 500, ""auto_class_weights"": ""Balanced""}"
