dataset,seed,feature_set,model,base_model,split,n_features,threshold,acc,bacc,auc,auprc,f1,mcc,precision,sensitivity,specificity,params
plm4ace_cleaned_2_5,42,ESM2,ESM2-LR,LR,valid,320,0.42999999999999994,0.92,0.9080882352941176,0.9549632352941176,0.9380460528714205,0.875,0.8161764705882353,0.875,0.875,0.9411764705882353,"{""C"": 1.0, ""class_weight"": ""balanced""}"
plm4ace_cleaned_2_5,42,ESM2,ESM2-LR,LR,test,320,0.42999999999999994,0.856,0.8616434378629501,0.9198606271777003,0.8670763702806925,0.8,0.6955643582243994,0.7346938775510204,0.8780487804878049,0.8452380952380952,"{""C"": 1.0, ""class_weight"": ""balanced""}"
plm4ace_cleaned_2_5,42,ESM2,ESM2-SVC,SVC,valid,320,0.5399999999999999,0.89,0.8612132352941176,0.9067095588235294,0.8567075558547173,0.819672131147541,0.7426683615010803,0.8620689655172413,0.78125,0.9411764705882353,"{""C"": 2.0, ""kernel"": ""rbf"", ""gamma"": ""scale"", ""class_weight"": ""balanced""}"
plm4ace_cleaned_2_5,42,ESM2,ESM2-SVC,SVC,test,320,0.5399999999999999,0.848,0.8182346109175378,0.8908246225319396,0.7657553871315064,0.759493670886076,0.6496172576576209,0.7894736842105263,0.7317073170731707,0.9047619047619048,"{""C"": 2.0, ""kernel"": ""rbf"", ""gamma"": ""scale"", ""class_weight"": ""balanced""}"
plm4ace_cleaned_2_5,42,ESM2,ESM2-RF,RF,valid,320,0.49999999999999994,0.86,0.7977941176470589,0.8809742647058824,0.8303623118091563,0.7407407407407407,0.6706824069493411,0.9090909090909091,0.625,0.9705882352941176,"{""n_estimators"": 500, ""min_samples_leaf"": 2, ""class_weight"": ""balanced_subsample""}"
plm4ace_cleaned_2_5,42,ESM2,ESM2-RF,RF,test,320,0.49999999999999994,0.768,0.7025261324041812,0.8707897793263646,0.6932588130542502,0.5915492957746479,0.44526668902306943,0.7,0.5121951219512195,0.8928571428571429,"{""n_estimators"": 500, ""min_samples_leaf"": 2, ""class_weight"": ""balanced_subsample""}"
plm4ace_cleaned_2_5,42,ESM2,ESM2-MLP,MLP,valid,320,0.71,0.83,0.7426470588235294,0.8713235294117647,0.8047973028373179,0.6530612244897959,0.602658055254329,0.9411764705882353,0.5,0.9852941176470589,"{""hidden_layer_sizes"": [64, 32], ""alpha"": 0.001, ""early_stopping"": true}"
plm4ace_cleaned_2_5,42,ESM2,ESM2-MLP,MLP,test,320,0.71,0.792,0.7266260162601625,0.9082462253193961,0.7970988588752607,0.6285714285714286,0.504123236978681,0.7586206896551724,0.5365853658536586,0.9166666666666666,"{""hidden_layer_sizes"": [64, 32], ""alpha"": 0.001, ""early_stopping"": true}"
plm4ace_cleaned_2_5,42,ESM2,ESM2-CatBoost,CatBoost,valid,320,0.7999999999999999,0.85,0.7738970588235294,0.9044117647058824,0.8338704608628569,0.7058823529411765,0.651369621274058,0.9473684210526315,0.5625,0.9852941176470589,"{""depth"": 4, ""learning_rate"": 0.03, ""iterations"": 500, ""auto_class_weights"": ""Balanced""}"
plm4ace_cleaned_2_5,42,ESM2,ESM2-CatBoost,CatBoost,test,320,0.7999999999999999,0.792,0.7203832752613241,0.8792102206736352,0.744904091725924,0.6176470588235294,0.5028579033233561,0.7777777777777778,0.5121951219512195,0.9285714285714286,"{""depth"": 4, ""learning_rate"": 0.03, ""iterations"": 500, ""auto_class_weights"": ""Balanced""}"
plm4ace_cleaned_2_5,52,ESM2,ESM2-LR,LR,valid,320,0.33999999999999997,0.92,0.9329044117647058,0.9659926470588235,0.9243621966112237,0.8857142857142857,0.8320775600953204,0.8157894736842105,0.96875,0.8970588235294118,"{""C"": 1.0, ""class_weight"": ""balanced""}"
plm4ace_cleaned_2_5,52,ESM2,ESM2-LR,LR,test,320,0.33999999999999997,0.84,0.8497386759581882,0.9433797909407666,0.9056059460675201,0.782608695652174,0.6681966295651318,0.7058823529411765,0.8780487804878049,0.8214285714285714,"{""C"": 1.0, ""class_weight"": ""balanced""}"
plm4ace_cleaned_2_5,52,ESM2,ESM2-SVC,SVC,valid,320,0.6799999999999999,0.87,0.8051470588235294,0.9324448529411764,0.8875566090886314,0.7547169811320755,0.6989489173400373,0.9523809523809523,0.625,0.9852941176470589,"{""C"": 2.0, ""kernel"": ""rbf"", ""gamma"": ""scale"", ""class_weight"": ""balanced""}"
plm4ace_cleaned_2_5,52,ESM2,ESM2-SVC,SVC,test,320,0.6799999999999999,0.832,0.762630662020906,0.914924506387921,0.8365341847698786,0.6865671641791045,0.6075789572344821,0.8846153846153846,0.5609756097560976,0.9642857142857143,"{""C"": 2.0, ""kernel"": ""rbf"", ""gamma"": ""scale"", ""class_weight"": ""balanced""}"
plm4ace_cleaned_2_5,52,ESM2,ESM2-RF,RF,valid,320,0.42999999999999994,0.87,0.8630514705882353,0.9223345588235293,0.8569707754821072,0.8059701492537313,0.7101284969804118,0.7714285714285715,0.84375,0.8823529411764706,"{""n_estimators"": 500, ""min_samples_leaf"": 2, ""class_weight"": ""balanced_subsample""}"
plm4ace_cleaned_2_5,52,ESM2,ESM2-RF,RF,test,320,0.42999999999999994,0.832,0.8000871080139373,0.8969221835075494,0.786745690407925,0.7341772151898734,0.6125724779098095,0.7631578947368421,0.7073170731707317,0.8928571428571429,"{""n_estimators"": 500, ""min_samples_leaf"": 2, ""class_weight"": ""balanced_subsample""}"
plm4ace_cleaned_2_5,52,ESM2,ESM2-MLP,MLP,valid,320,0.37999999999999995,0.81,0.8520220588235294,0.8754595588235293,0.7382692561483147,0.7654320987654321,0.6569709884355442,0.6326530612244898,0.96875,0.7352941176470589,"{""hidden_layer_sizes"": [64, 32], ""alpha"": 0.001, ""early_stopping"": true}"
plm4ace_cleaned_2_5,52,ESM2,ESM2-MLP,MLP,test,320,0.37999999999999995,0.768,0.7836817653890824,0.8687572590011614,0.7523807587649287,0.7010309278350515,0.53564176092876,0.6071428571428571,0.8292682926829268,0.7380952380952381,"{""hidden_layer_sizes"": [64, 32], ""alpha"": 0.001, ""early_stopping"": true}"
plm4ace_cleaned_2_5,52,ESM2,ESM2-CatBoost,CatBoost,valid,320,0.4499999999999999,0.86,0.8474264705882353,0.9296875,0.8601626239108389,0.7878787878787878,0.6842438763262908,0.7647058823529411,0.8125,0.8823529411764706,"{""depth"": 4, ""learning_rate"": 0.03, ""iterations"": 500, ""auto_class_weights"": ""Balanced""}"
plm4ace_cleaned_2_5,52,ESM2,ESM2-CatBoost,CatBoost,test,320,0.4499999999999999,0.84,0.8122822299651569,0.9160859465737514,0.8213262563260697,0.75,0.6328886537889926,0.7692307692307693,0.7317073170731707,0.8928571428571429,"{""depth"": 4, ""learning_rate"": 0.03, ""iterations"": 500, ""auto_class_weights"": ""Balanced""}"
plm4ace_cleaned_2_5,62,ESM2,ESM2-LR,LR,valid,320,0.62,0.92,0.8915441176470589,0.9572610294117647,0.9290408950660354,0.8666666666666667,0.8135699161125375,0.9285714285714286,0.8125,0.9705882352941176,"{""C"": 1.0, ""class_weight"": ""balanced""}"
plm4ace_cleaned_2_5,62,ESM2,ESM2-LR,LR,test,320,0.62,0.832,0.8250580720092915,0.9314750290360048,0.8815071467432559,0.7586206896551724,0.6328926625466127,0.717391304347826,0.8048780487804879,0.8452380952380952,"{""C"": 1.0, ""class_weight"": ""balanced""}"
plm4ace_cleaned_2_5,62,ESM2,ESM2-SVC,SVC,valid,320,0.3,0.85,0.8648897058823529,0.9342830882352942,0.8897438904989114,0.7945205479452054,0.6921546141382144,0.7073170731707317,0.90625,0.8235294117647058,"{""C"": 2.0, ""kernel"": ""rbf"", ""gamma"": ""scale"", ""class_weight"": ""balanced""}"
plm4ace_cleaned_2_5,62,ESM2,ESM2-SVC,SVC,test,320,0.3,0.808,0.8196864111498258,0.9079558652729384,0.8503804019601635,0.7446808510638298,0.6074094722309911,0.660377358490566,0.8536585365853658,0.7857142857142857,"{""C"": 2.0, ""kernel"": ""rbf"", ""gamma"": ""scale"", ""class_weight"": ""balanced""}"
plm4ace_cleaned_2_5,62,ESM2,ESM2-RF,RF,valid,320,0.42999999999999994,0.86,0.8391544117647058,0.9181985294117647,0.8611945274757417,0.78125,0.6783088235294118,0.78125,0.78125,0.8970588235294118,"{""n_estimators"": 500, ""min_samples_leaf"": 2, ""class_weight"": ""balanced_subsample""}"
plm4ace_cleaned_2_5,62,ESM2,ESM2-RF,RF,test,320,0.42999999999999994,0.784,0.758130081300813,0.8667247386759581,0.7949168250099916,0.6746987951807228,0.5131407372901637,0.6666666666666666,0.6829268292682927,0.8333333333333334,"{""n_estimators"": 500, ""min_samples_leaf"": 2, ""class_weight"": ""balanced_subsample""}"
plm4ace_cleaned_2_5,62,ESM2,ESM2-MLP,MLP,valid,320,0.3999999999999999,0.83,0.8253676470588236,0.8786764705882353,0.7768862780050085,0.7536231884057971,0.6287278107452718,0.7027027027027027,0.8125,0.8382352941176471,"{""hidden_layer_sizes"": [64, 32], ""alpha"": 0.001, ""early_stopping"": true}"
plm4ace_cleaned_2_5,62,ESM2,ESM2-MLP,MLP,test,320,0.3999999999999999,0.744,0.747096399535424,0.8301393728222997,0.7453180792618236,0.6595744680851063,0.46948724874529824,0.5849056603773585,0.7560975609756098,0.7380952380952381,"{""hidden_layer_sizes"": [64, 32], ""alpha"": 0.001, ""early_stopping"": true}"
plm4ace_cleaned_2_5,62,ESM2,ESM2-CatBoost,CatBoost,valid,320,0.8699999999999999,0.83,0.734375,0.8920036764705883,0.8311123983262741,0.6382978723404256,0.6123724356957945,1.0,0.46875,1.0,"{""depth"": 4, ""learning_rate"": 0.03, ""iterations"": 500, ""auto_class_weights"": ""Balanced""}"
plm4ace_cleaned_2_5,62,ESM2,ESM2-CatBoost,CatBoost,test,320,0.8699999999999999,0.808,0.7198025551684089,0.9088269454123112,0.8509135363257185,0.6129032258064516,0.552036745376891,0.9047619047619048,0.4634146341463415,0.9761904761904762,"{""depth"": 4, ""learning_rate"": 0.03, ""iterations"": 500, ""auto_class_weights"": ""Balanced""}"
plm4ace_cleaned_2_5,72,ESM2,ESM2-LR,LR,valid,320,0.6799999999999999,0.9,0.8933823529411764,0.9604779411764706,0.9261317607670586,0.8484848484848485,0.7747523255758002,0.8235294117647058,0.875,0.9117647058823529,"{""C"": 1.0, ""class_weight"": ""balanced""}"
plm4ace_cleaned_2_5,72,ESM2,ESM2-LR,LR,test,320,0.6799999999999999,0.896,0.8851626016260162,0.9651567944250872,0.9400496230893838,0.8433734939759037,0.7656706276888663,0.8333333333333334,0.8536585365853658,0.9166666666666666,"{""C"": 1.0, ""class_weight"": ""balanced""}"
plm4ace_cleaned_2_5,72,ESM2,ESM2-SVC,SVC,valid,320,0.7,0.86,0.78125,0.9090073529411765,0.866866006483433,0.72,0.6829812696071148,1.0,0.5625,1.0,"{""C"": 2.0, ""kernel"": ""rbf"", ""gamma"": ""scale"", ""class_weight"": ""balanced""}"
plm4ace_cleaned_2_5,72,ESM2,ESM2-SVC,SVC,test,320,0.7,0.84,0.7810685249709639,0.9337979094076655,0.8601839583636665,0.7142857142857143,0.625229075458505,0.8620689655172413,0.6097560975609756,0.9523809523809523,"{""C"": 2.0, ""kernel"": ""rbf"", ""gamma"": ""scale"", ""class_weight"": ""balanced""}"
plm4ace_cleaned_2_5,72,ESM2,ESM2-RF,RF,valid,320,0.38999999999999996,0.81,0.7941176470588236,0.8501838235294118,0.7858748238320129,0.7164179104477612,0.5752939722372956,0.6857142857142857,0.75,0.8382352941176471,"{""n_estimators"": 500, ""min_samples_leaf"": 2, ""class_weight"": ""balanced_subsample""}"
plm4ace_cleaned_2_5,72,ESM2,ESM2-RF,RF,test,320,0.38999999999999996,0.824,0.8253484320557491,0.8855981416957026,0.8092245089296859,0.7555555555555555,0.6257566145246404,0.6938775510204082,0.8292682926829268,0.8214285714285714,"{""n_estimators"": 500, ""min_samples_leaf"": 2, ""class_weight"": ""balanced_subsample""}"
plm4ace_cleaned_2_5,72,ESM2,ESM2-MLP,MLP,valid,320,0.6799999999999999,0.85,0.765625,0.8864889705882352,0.837730530759466,0.6938775510204082,0.6597279468503829,1.0,0.53125,1.0,"{""hidden_layer_sizes"": [64, 32], ""alpha"": 0.001, ""early_stopping"": true}"
