model,step,feature_set,score_mode,n_runs,seeds,n_features_min,n_features_max,test_rmse_mean,test_rmse_std,test_mae_mean,test_mae_std,test_spearman_mean,test_spearman_std,test_top5_hit_rate_mean,test_top10_hit_rate_mean,test_top20_hit_rate_mean,test_strong_n_mean,test_strong_mae_mean,test_strong_rmse_mean,test_strong_bias_mean,val_rmse_mean,val_spearman_mean,val_top10_hit_rate_mean
A1FlatDiagCorePairSelectedK400-TunedSVR,03_diagcorepair_selected_svr,A1FlatDiagCorePair_SelectedK400,rmse,3,"42,52,62",325,325,1.0623499238251062,0.07812111589089649,0.8160184364547195,0.07517677256561785,0.504663061639511,0.07281859019702709,0.3333333333333333,0.3333333333333333,0.6,2.6666666666666665,1.7042858605976174,1.8518574033763222,-1.7042858605976174,1.0921479771224727,0.3870981551341404,0.43333333333333335
A1FlatDiagCorePair-TunedSVR,01_anchor_baseline,A1FlatDiagCorePair,rmse,3,"42,52,62",700,700,1.0623499238251062,0.0781211158908964,0.8160184364547196,0.07517677256561789,0.504663061639511,0.07281859019702709,0.3333333333333333,0.3333333333333333,0.6,2.6666666666666665,1.7042858605976174,1.8518574033763222,-1.7042858605976174,1.0921479771224727,0.3870981551341404,0.43333333333333335
A1FlatFull-TunedSVR,01_anchor_baseline,A1FlatFull,rmse,3,"42,52,62",906,906,1.0675574978868847,0.07522402738600983,0.8207650277851607,0.07733538992401987,0.48605246305195243,0.08301700823936393,0.3333333333333333,0.3333333333333333,0.6,2.6666666666666665,1.761570106402317,1.905387831130218,-1.761570106402317,1.0983708294075691,0.36968921021808526,0.43333333333333335
A1FlatDiagCorePair-StrongWeightedSVR-alpha0.5,06_strong_tail_weighted_svr,A1FlatDiagCorePair,rmse,3,"42,52,62",700,700,1.0687374478551295,0.0859570739505237,0.8215136637486967,0.07756507117306301,0.5064185912770253,0.07836341391347398,0.3333333333333333,0.3333333333333333,0.6166666666666667,2.6666666666666665,1.6630104974039537,1.8132278851802728,-1.5886313201535522,1.0898888935158972,0.393805151771111,0.43333333333333335
A1FlatDiagAllPair-TunedSVR,01_anchor_baseline,A1FlatDiagAllPair,rmse,3,"42,52,62",825,825,1.0704791655603372,0.07006295855157121,0.8191797243643725,0.07167862231184591,0.48765040400136606,0.07024880618555832,0.3333333333333333,0.3666666666666667,0.5499999999999999,2.6666666666666665,1.70028817367103,1.8439251380142003,-1.70028817367103,1.092078081423816,0.4056385427176074,0.43333333333333335
A1FlatDiagCorePair-StrongWeightedSVR-alpha1.0,06_strong_tail_weighted_svr,A1FlatDiagCorePair,rmse,3,"42,52,62",700,700,1.0707292379700977,0.09282366816947869,0.8205943914384267,0.08286041846475563,0.5034616731320386,0.08161680214427326,0.3333333333333333,0.3666666666666667,0.6166666666666667,2.6666666666666665,1.5821277235674305,1.766368257492451,-1.5002413783256119,1.0902634220226333,0.39722866677484087,0.43333333333333335
A1FlatDiagCoreTerminalPair-TunedSVR,01_anchor_baseline,A1FlatDiagCoreTerminalPair,rmse,3,"42,52,62",775,775,1.0707681167660426,0.06915785677197682,0.8197519109383445,0.07082844067832472,0.4889218313134922,0.07518558120041731,0.3333333333333333,0.3333333333333333,0.5499999999999999,2.6666666666666665,1.7007440411638262,1.844421417556025,-1.7007440411638262,1.0921490814224903,0.4053527702640845,0.43333333333333335
A1FlatDiagCorePairSelected-RankAwareSVR,05_rank_aware_selected_svr,A1FlatDiagCorePair_AdaptiveSelected,rank_aware,3,"42,52,62",50,200,1.0710045962714327,0.07411519998818801,0.8196967876942026,0.08030778975006837,0.495716456868289,0.10989251408079997,0.4000000000000001,0.3666666666666667,0.6,2.6666666666666665,1.6906018814873212,1.795405798497881,-1.6906018814873212,1.0661929868081896,0.49964729705381733,0.5
A1FlatDiagCorePair-StrongWeightedSVR-alpha2.0,06_strong_tail_weighted_svr,A1FlatDiagCorePair,rmse,3,"42,52,62",700,700,1.071575452887885,0.09166998772080945,0.8184399963100755,0.079420934152401,0.48810539591059277,0.07217207064147589,0.3333333333333333,0.3666666666666667,0.6333333333333333,2.6666666666666665,1.3845908078766165,1.6793456069679806,-1.2944009475975087,1.0963978083083965,0.39444093537820907,0.43333333333333335
A1FlatDiagCorePairSelectedK200-StrongWeightedSVR-alpha0.5,06_strong_tail_weighted_selected_svr,A1FlatDiagCorePair_SelectedK200,rmse,3,"42,52,62",200,200,1.0716053039623696,0.07261648065765405,0.8184506581997048,0.08499070994051086,0.47453960757248376,0.08834477098717938,0.4000000000000001,0.39999999999999997,0.5666666666666668,2.6666666666666665,1.598731064710751,1.7711984109325076,-1.5356507587842947,1.059150523996832,0.4822090241625108,0.39999999999999997
A1FlatDiagCorePairSelectedK200-StrongWeightedSVR-alpha2.0,06_strong_tail_weighted_selected_svr,A1FlatDiagCorePair_SelectedK200,rmse,3,"42,52,62",200,200,1.0725571947284693,0.07494995939395564,0.8140830174130272,0.07778420989142978,0.49374513883400933,0.08377927635141999,0.4000000000000001,0.3666666666666667,0.6,2.6666666666666665,1.4429751204776293,1.720587238916622,-1.364253084943681,1.0622478822059123,0.47765410409457526,0.4666666666666666
A1FlatNoHeur-TunedSVR,01_anchor_baseline,A1FlatNoHeur,rmse,3,"42,52,62",831,831,1.072639539823265,0.07039608986675505,0.8186016884880981,0.07356799109054195,0.4686024094861927,0.08749653690468469,0.3333333333333333,0.3333333333333333,0.6,2.6666666666666665,1.7237694237342245,1.8661325601824401,-1.7237694237342245,1.0901131542864901,0.4071957242681812,0.39999999999999997
A1FlatNoPairwise-TunedSVR,01_anchor_baseline,A1FlatNoPairwise,rmse,3,"42,52,62",456,456,1.0732378469137496,0.08641983124404842,0.8162022046698008,0.07829486697104841,0.4804479019891407,0.1654742347306336,0.26666666666666666,0.43333333333333335,0.5499999999999999,2.6666666666666665,1.7544338846802672,1.8113704160983757,-1.7544338846802672,1.097736100160636,0.39181053449527786,0.3666666666666667
A1FlatDiagCorePairSelectedK200-StrongWeightedSVR-alpha1.0,06_strong_tail_weighted_selected_svr,A1FlatDiagCorePair_SelectedK200,rmse,3,"42,52,62",200,200,1.0749764501788872,0.07632307459000069,0.8188552843401752,0.08254961824188727,0.4786805233571118,0.10036547032603603,0.4000000000000001,0.39999999999999997,0.5666666666666668,2.6666666666666665,1.527683685756525,1.74810193606383,-1.44753658782463,1.0576495711588296,0.4848976520030576,0.43333333333333335
A1FlatDiagOnly-TunedSVR,01_anchor_baseline,A1FlatDiagOnly,rmse,3,"42,52,62",375,375,1.0771073731258418,0.0918512446539876,0.8163416767411099,0.07700897159528436,0.48948774806650214,0.12835261628311084,0.4000000000000001,0.4000000000000001,0.5666666666666667,2.6666666666666665,1.783248092223155,1.8523312021244716,-1.783248092223155,1.0873832767447589,0.42223105375953196,0.43333333333333335
A1FlatSelected-TunedSVR,02_full_adaptive_selected_baseline,A1FlatFull_AdaptiveSelected,rmse,3,"42,52,62",200,400,1.0792313247841125,0.048917630004427254,0.8162269507213883,0.07303746791070682,0.46404155027796207,0.09214735962109559,0.3333333333333333,0.43333333333333335,0.5833333333333334,2.6666666666666665,1.9089990462770565,2.0578331133812697,-1.9089990462770565,1.0547231128708638,0.46414659889192506,0.39999999999999997
A1FlatDiagCorePairSelectedK200-TunedSVR,03_diagcorepair_selected_svr,A1FlatDiagCorePair_SelectedK200,rmse,3,"42,52,62",200,200,1.0815057830257029,0.09298191740601454,0.8283869874440676,0.09990828665591665,0.449537035277297,0.13946006386034496,0.3333333333333333,0.3333333333333333,0.5499999999999999,2.6666666666666665,1.7683635693835722,1.9189970606456266,-1.7683635693835722,1.0586915274221187,0.4921470698128461,0.39999999999999997
A1FlatDiagCorePairSelectedK200-RankAwareSVR,05_rank_aware_selected_fixedk_svr,A1FlatDiagCorePair_SelectedK200,rank_aware,3,"42,52,62",200,200,1.082882236858157,0.09265251890238381,0.8303657387682711,0.09856989282259714,0.46019255069122167,0.15574709267211836,0.3333333333333333,0.3333333333333333,0.5666666666666667,2.6666666666666665,1.7792784114240827,1.9298220475332677,-1.7792784114240827,1.0621208003015543,0.4895051081124415,0.43333333333333335
A1FlatDiagCorePair-RankAwareSVR,05_rank_aware_svr,A1FlatDiagCorePair,rank_aware,3,"42,52,62",700,700,1.0962834738086857,0.10097698599839283,0.8392512495148635,0.09407694431326136,0.4295617318449095,0.16111404555211817,0.3333333333333333,0.3333333333333333,0.5333333333333333,2.6666666666666665,1.7011332451067258,1.8663468144048982,-1.7011332451067258,1.0973463684208387,0.41472511075468477,0.4666666666666666
