seed,step,model,feature_set,n_features,score_mode,val_selection_score,params,val_rmse,val_mae,val_spearman,val_bias,val_top5_hit_rate,val_top10_hit_rate,val_top20_hit_rate,val_strong_n,val_strong_rmse,val_strong_mae,val_strong_bias,test_rmse,test_mae,test_spearman,test_bias,test_top5_hit_rate,test_top10_hit_rate,test_top20_hit_rate,test_strong_n,test_strong_rmse,test_strong_mae,test_strong_bias,selected_k,base_feature_set,strong_weight_alpha
52,01_anchor_baseline,A1FlatFull-TunedSVR,A1FlatFull,906,rmse,1.0943359758382885,"{""C"": 1.0, ""epsilon"": 0.05, ""gamma"": 0.03}",1.0943359758382885,0.8891651281290804,0.43006237480759296,-0.22124900354175467,0.2,0.5,0.6,1,1.9038484026353668,1.9038484026353668,-1.9038484026353668,1.087253765160276,0.8148207217389507,0.5693964501073059,0.1780496749933883,0.4,0.4,0.75,4,2.0448421881637104,1.8106121866626181,-1.8106121866626181,,,
52,01_anchor_baseline,A1FlatDiagOnly-TunedSVR,A1FlatDiagOnly,375,rmse,1.0736547354412296,"{""C"": 1.0, ""epsilon"": 0.05, ""gamma"": ""scale""}",1.0736547354412296,0.836506074257633,0.47509819876018633,-0.1398830820616328,0.2,0.4,0.5,1,1.8063577445014714,1.8063577445014714,-1.8063577445014714,1.051139575684769,0.7817358753401827,0.6264708200255688,0.14801537336416432,0.4,0.5,0.65,4,1.9470303303167407,1.840365146079708,-1.840365146079708,,,
52,01_anchor_baseline,A1FlatPairOnly-TunedSVR,A1FlatPairOnly,450,rmse,1.1531090036403706,"{""C"": 1.0, ""epsilon"": 0.2, ""gamma"": 0.03}",1.1531090036403706,0.9262876619403696,0.38532399025173386,-0.2354347900683435,0.2,0.6,0.6,1,1.4511752536023508,1.4511752536023508,-1.4511752536023508,1.1201127635427643,0.8410402684569255,0.5111847920085748,0.17876388945309257,0.4,0.4,0.6,4,1.8999637922190225,1.628753565818666,-1.628753565818666,,,
52,01_anchor_baseline,A1FlatNoHeur-TunedSVR,A1FlatNoHeur,831,rmse,1.0826873677757614,"{""C"": 1.0, ""epsilon"": 0.05, ""gamma"": 0.03}",1.0826873677757614,0.8799178670743742,0.4356262411700345,-0.216226188249943,0.2,0.5,0.6,1,1.6478874075355003,1.6478874075355003,-1.6478874075355003,1.0911426970305156,0.8047177991543863,0.5645323560431498,0.18277824955140992,0.4,0.4,0.75,4,1.9920284009851736,1.751659102186096,-1.751659102186096,,,
52,01_anchor_baseline,A1FlatNoPairwise-TunedSVR,A1FlatNoPairwise,456,rmse,1.0976030986138894,"{""C"": 1.0, ""epsilon"": 0.05, ""gamma"": ""scale""}",1.0976030986138894,0.8549797268684769,0.4274379095422903,-0.14666712619961006,0.2,0.3,0.55,1,1.8125540528663118,1.8125540528663118,-1.8125540528663118,1.0330747251414092,0.7763693284300812,0.6544306125238474,0.12161582334490356,0.2,0.5,0.7,4,1.851206666334853,1.7825739924029453,-1.7825739924029453,,,
52,01_anchor_baseline,A1FlatDiagCorePair-TunedSVR,A1FlatDiagCorePair,700,rmse,1.091852060070371,"{""C"": 1.0, ""epsilon"": 0.05, ""gamma"": 0.03}",1.091852060070371,0.8866266838796109,0.43214445058473305,-0.22147052051489327,0.2,0.6,0.6,1,1.6345031469056783,1.6345031469056783,-1.6345031469056783,1.0874992036125417,0.806434293891711,0.5825539995182604,0.17306798232463788,0.4,0.4,0.7,4,1.9934825490047705,1.752019448938401,-1.752019448938401,,,
52,01_anchor_baseline,A1FlatDiagCoreTerminalPair-TunedSVR,A1FlatDiagCoreTerminalPair,775,rmse,1.0883601918349017,"{""C"": 1.0, ""epsilon"": 0.05, ""gamma"": 0.03}",1.0883601918349017,0.8816519498154559,0.43802325277901094,-0.21645031679899673,0.2,0.6,0.6,1,1.6278002428087097,1.6278002428087097,-1.6278002428087097,1.093040555891632,0.8101432203826506,0.5751003877508846,0.1797819659549698,0.4,0.4,0.7,4,1.9933805591834997,1.752059323835136,-1.752059323835136,,,
52,01_anchor_baseline,A1FlatDiagAllPair-TunedSVR,A1FlatDiagAllPair,825,rmse,1.088133974611584,"{""C"": 1.0, ""epsilon"": 0.05, ""gamma"": 0.03}",1.088133974611584,0.8813038033558355,0.43802325277901094,-0.21609339630554783,0.2,0.6,0.6,1,1.6272951170734,1.6272951170734,-1.6272951170734,1.0934891817513261,0.810409572239039,0.5676117825010327,0.1802847230872192,0.4,0.4,0.7,4,1.9934742485534664,1.7521210987816729,-1.7521210987816729,,,
52,02_full_adaptive_selected_baseline,A1FlatSelected-TunedSVR,A1FlatFull_AdaptiveSelected,200,rmse,1.0111869875241442,"{""C"": 5.0, ""epsilon"": 0.05, ""gamma"": 0.01}",1.0111869875241442,0.7942979480229825,0.5815115170506574,-0.19189395875325543,0.6,0.4,0.55,1,1.923653222694429,1.923653222694429,-1.923653222694429,1.0730347411558065,0.7621375278357648,0.5703762676166323,0.1127067779818349,0.4,0.5,0.7,4,2.085247208270876,1.79413115850777,-1.79413115850777,200.0,A1FlatFull,
52,03_diagcorepair_selected_svr,A1FlatDiagCorePairSelectedK50-TunedSVR,A1FlatDiagCorePair_SelectedK50,50,rmse,1.1079458924829688,"{""C"": 1.0, ""epsilon"": 0.2, ""gamma"": ""scale""}",1.1079458924829688,0.8753188104752603,0.394317157894171,-0.13392830584359716,0.2,0.3,0.45,1,2.035230289879247,2.035230289879247,-2.035230289879247,1.0913954774037768,0.8517290772313479,0.5664045073556128,0.10440403538534897,0.6,0.4,0.6,4,1.853159796999086,1.80336870501863,-1.80336870501863,50.0,A1FlatDiagCorePair,
52,03_diagcorepair_selected_svr,A1FlatDiagCorePairSelectedK100-TunedSVR,A1FlatDiagCorePair_SelectedK100,100,rmse,1.0304398457271287,"{""C"": 2.0, ""epsilon"": 0.2, ""gamma"": 0.03}",1.0304398457271287,0.8171498111760339,0.5468685755486625,-0.17323757764043468,0.4,0.5,0.6,1,1.5303824279616007,1.5303824279616007,-1.5303824279616007,1.162437788347205,0.8405447103315974,0.41187328874184864,0.18767657276765723,0.6,0.4,0.6,4,2.0116925276048434,1.6935224433273925,-1.677871233145775,100.0,A1FlatDiagCorePair,
52,03_diagcorepair_selected_svr,A1FlatDiagCorePairSelectedK200-TunedSVR,A1FlatDiagCorePair_SelectedK200,200,rmse,1.0044181207118235,"{""C"": 2.0, ""epsilon"": 0.05, ""gamma"": 0.01}",1.0044181207118235,0.7891146786156311,0.5818089564473917,-0.2001881875699066,0.0,0.5,0.55,1,1.7538384479972828,1.7538384479972828,-1.7538384479972828,1.0653213000145614,0.781659144742007,0.5892902448948794,0.16084711963644172,0.4,0.4,0.65,4,2.0240973298059353,1.8218538730455898,-1.8218538730455898,200.0,A1FlatDiagCorePair,
52,03_diagcorepair_selected_svr,A1FlatDiagCorePairSelectedK400-TunedSVR,A1FlatDiagCorePair_SelectedK400,325,rmse,1.091852060070371,"{""C"": 1.0, ""epsilon"": 0.05, ""gamma"": 0.03}",1.091852060070371,0.8866266838796109,0.43214445058473305,-0.22147052051489322,0.2,0.6,0.6,1,1.6345031469056783,1.6345031469056783,-1.6345031469056783,1.0874992036125417,0.8064342938917111,0.5825539995182604,0.173067982324638,0.4,0.4,0.7,4,1.9934825490047705,1.7520194489384007,-1.7520194489384007,400.0,A1FlatDiagCorePair,
52,04_diagcorepair_adaptive_selected_svr,A1FlatDiagCorePairSelected-TunedSVR,A1FlatDiagCorePair_AdaptiveSelected,200,rmse,1.0044181207118235,"{""C"": 2.0, ""epsilon"": 0.05, ""gamma"": 0.01}",1.0044181207118235,0.7891146786156311,0.5818089564473917,-0.2001881875699066,0.0,0.5,0.55,1,1.7538384479972828,1.7538384479972828,-1.7538384479972828,1.0653213000145614,0.781659144742007,0.5892902448948794,0.16084711963644172,0.4,0.4,0.65,4,2.0240973298059353,1.8218538730455898,-1.8218538730455898,200.0,A1FlatDiagCorePair,
52,05_rank_aware_svr,A1FlatDiagCorePair-RankAwareSVR,A1FlatDiagCorePair,700,rank_aware,0.937030392482661,"{""C"": 1.0, ""epsilon"": 0.05, ""gamma"": 0.03}",1.091852060070371,0.8866266838796109,0.43214445058473305,-0.22147052051489327,0.2,0.6,0.6,1,1.6345031469056783,1.6345031469056783,-1.6345031469056783,1.0874992036125417,0.806434293891711,0.5825539995182604,0.17306798232463788,0.4,0.4,0.7,4,1.9934825490047705,1.752019448938401,-1.752019448938401,,,
52,05_rank_aware_selected_svr,A1FlatDiagCorePairSelected-RankAwareSVR,A1FlatDiagCorePair_AdaptiveSelected,200,rank_aware,0.8386234786482036,"{""C"": 1.0, ""epsilon"": 0.05, ""gamma"": 0.03}",1.0147059393501303,0.8007884959753364,0.5738830713461778,-0.1909231549353812,0.2,0.6,0.55,1,1.399132258142588,1.399132258142588,-1.399132258142588,1.0694506615119235,0.787595398714618,0.6212567911366533,0.1724905561263041,0.4,0.4,0.7,4,2.056572290468858,1.8545983991671218,-1.8545983991671218,200.0,A1FlatDiagCorePair,
52,05_rank_aware_selected_fixedk_svr,A1FlatDiagCorePairSelectedK100-RankAwareSVR,A1FlatDiagCorePair_SelectedK100,100,rank_aware,0.8734095593948293,"{""C"": 2.0, ""epsilon"": 0.2, ""gamma"": 0.03}",1.0304398457271287,0.8171498111760339,0.5468685755486625,-0.17323757764043468,0.4,0.5,0.6,1,1.5303824279616007,1.5303824279616007,-1.5303824279616007,1.162437788347205,0.8405447103315974,0.41187328874184864,0.18767657276765723,0.6,0.4,0.6,4,2.0116925276048434,1.6935224433273925,-1.677871233145775,100.0,A1FlatDiagCorePair,
52,05_rank_aware_selected_fixedk_svr,A1FlatDiagCorePairSelectedK200-RankAwareSVR,A1FlatDiagCorePair_SelectedK200,200,rank_aware,0.8386234786482036,"{""C"": 1.0, ""epsilon"": 0.05, ""gamma"": 0.03}",1.0147059393501303,0.8007884959753364,0.5738830713461778,-0.1909231549353812,0.2,0.6,0.55,1,1.399132258142588,1.399132258142588,-1.399132258142588,1.0694506615119235,0.787595398714618,0.6212567911366533,0.1724905561263041,0.4,0.4,0.7,4,2.056572290468858,1.8545983991671218,-1.8545983991671218,200.0,A1FlatDiagCorePair,
52,05_rank_aware_selected_fixedk_svr,A1FlatDiagCorePairSelectedK400-RankAwareSVR,A1FlatDiagCorePair_SelectedK400,325,rank_aware,0.937030392482661,"{""C"": 1.0, ""epsilon"": 0.05, ""gamma"": 0.03}",1.091852060070371,0.8866266838796109,0.43214445058473305,-0.22147052051489322,0.2,0.6,0.6,1,1.6345031469056783,1.6345031469056783,-1.6345031469056783,1.0874992036125417,0.8064342938917111,0.5825539995182604,0.173067982324638,0.4,0.4,0.7,4,1.9934825490047705,1.7520194489384007,-1.7520194489384007,400.0,A1FlatDiagCorePair,
52,06_strong_tail_weighted_svr,A1FlatDiagCorePair-StrongWeightedSVR-alpha0.5,A1FlatDiagCorePair,700,rmse,1.0802296141054475,"{""C"": 1.0, ""epsilon"": 0.05, ""gamma"": 0.03}",1.0802296141054475,0.8739622678220775,0.45282523687531784,-0.1878590566109429,0.4,0.6,0.6,1,1.3797164259878638,1.3797164259878638,-1.3797164259878638,1.1036374004532004,0.8273251072623579,0.5868581978628014,0.23255173790990977,0.4,0.4,0.75,4,1.9849983314336885,1.7968425016525476,-1.5737049699013432,,,0.5
52,06_strong_tail_weighted_selected_svr,A1FlatDiagCorePairSelectedK200-StrongWeightedSVR-alpha0.5,A1FlatDiagCorePair_SelectedK200,200,rmse,1.0052376466326853,"{""C"": 10.0, ""epsilon"": 0.1, ""gamma"": ""scale""}",1.0052376466326853,0.7719943725588659,0.5859556115665698,-0.16789529152136035,0.4,0.5,0.6,1,1.1926803780486885,1.1926803780486885,-1.1926803780486885,1.0699180927697636,0.7855263371144283,0.5733857071095634,0.24790010403566498,0.4,0.5,0.65,4,1.9085233376673634,1.6564278077870027,-1.467186890007634,200.0,A1FlatDiagCorePair,0.5
52,06_strong_tail_weighted_svr,A1FlatDiagCorePair-StrongWeightedSVR-alpha1.0,A1FlatDiagCorePair,700,rmse,1.076416172129706,"{""C"": 1.0, ""epsilon"": 0.05, ""gamma"": 0.03}",1.076416172129706,0.8673510026230689,0.45873903193979976,-0.17266368408919303,0.4,0.6,0.6,1,1.3585319785455905,1.3585319785455905,-1.3585319785455905,1.1083697006274817,0.8315109337804836,0.5826764767069262,0.24792383607871737,0.4,0.4,0.75,4,1.9720070167517973,1.7933952792177057,-1.5477362434922504,,,1.0
52,06_strong_tail_weighted_selected_svr,A1FlatDiagCorePairSelectedK200-StrongWeightedSVR-alpha1.0,A1FlatDiagCorePair_SelectedK200,200,rmse,0.9987753555881811,"{""C"": 10.0, ""epsilon"": 0.05, ""gamma"": ""scale""}",0.9987753555881811,0.7663561408075601,0.5957011259183936,-0.1555296581228395,0.4,0.5,0.6,1,1.0284670184284836,1.0284670184284836,-1.0284670184284836,1.0772905823705905,0.7936802552205765,0.5904625265578235,0.26859317621801015,0.4,0.5,0.65,4,1.919647938625752,1.6816391362517804,-1.441197842456096,200.0,A1FlatDiagCorePair,1.0
52,06_strong_tail_weighted_svr,A1FlatDiagCorePair-StrongWeightedSVR-alpha2.0,A1FlatDiagCorePair,700,rmse,1.0824227723643043,"{""C"": 1.0, ""epsilon"": 0.05, ""gamma"": 0.03}",1.0824227723643043,0.8679357825422219,0.46108355424347014,-0.14612215316896474,0.4,0.6,0.55,1,1.3405004794587025,1.3405004794587025,-1.3405004794587025,1.11185596822236,0.8367284522035413,0.551532277303337,0.26978316848870026,0.4,0.5,0.75,4,1.9081243458666017,1.7420610959726879,-1.4714915151353647,,,2.0
52,06_strong_tail_weighted_selected_svr,A1FlatDiagCorePairSelectedK200-StrongWeightedSVR-alpha2.0,A1FlatDiagCorePair_SelectedK200,200,rmse,0.9990448167810047,"{""C"": 10.0, ""epsilon"": 0.05, ""gamma"": ""scale""}",0.9990448167810047,0.7642664875678227,0.5921493495926841,-0.12905384696713423,0.4,0.5,0.6,1,1.0218652627405804,1.0218652627405804,-1.0218652627405804,1.0848806286885857,0.7964756174144381,0.5863857858493762,0.2762942591360551,0.4,0.5,0.7,4,1.9380347693382967,1.7001557156963314,-1.4639896090944864,200.0,A1FlatDiagCorePair,2.0
