model,model_group,feature_set,delta_rmse_mean,delta_rmse_std,delta_mae_mean,delta_mae_std,delta_spearman_mean,delta_spearman_std
A1-Full,neural_a1_lite,full,0.08758993943532323,0.06900589156837299,0.06723525126775105,0.0797122711815293,-0.12659416598845172,0.13848136373086428
PhysChemOnly-SVR,traditional_or_flat_baseline,PhysChemOnly,0.07138702736014453,0.08314413644179658,0.05405776491913483,0.07272538274621453,-0.10841854842662572,0.18523323212010123
PhysChemOnly-CatBoost,traditional_or_flat_baseline,PhysChemOnly,0.07058081206578137,0.05329265631555581,0.058613174858410444,0.03532654336035249,-0.12227243732680959,0.13174754282357234
Descriptor-CatBoost,traditional_or_flat_baseline,Descriptor,0.06124491826008982,0.022973686900699362,0.03660688493854706,0.025936979776157814,-0.12376591219748338,0.09182179788272536
Descriptor-SVR,traditional_or_flat_baseline,Descriptor,0.05029395504661919,0.022592215153039493,0.05620191648118215,0.02130349962476453,-0.07289733379992791,0.08858755204392361
A1FlatFull-CatBoost,traditional_or_flat_baseline,A1FlatFull,0.03801613409372447,0.028630689004245726,0.007844639928867117,0.05253710367840548,-0.12327002475878801,0.05225920170634993
SeqOnly-SVR,traditional_or_flat_baseline,SeqOnly,0.033713961826016124,0.026524671314943193,0.019700109256130045,0.023527313572743472,-0.03572848959577087,0.07787837835492861
A1-DiagPairNoHeur,neural_a1_lite,diag_pair_no_heur,0.03230226039886471,0.07922046568857037,0.001013795534769694,0.051897864110817434,-0.01199091728055037,0.04391767657502501
SeqOnly-CatBoost,traditional_or_flat_baseline,SeqOnly,0.031078876347187496,0.019652795485203912,0.029589572429427835,0.015040892999487002,-0.0882535478544929,0.07966968387496257
A1-DiagCorePairLite,neural_a1_lite,diag_core_pair_lite,0.016327977180480957,0.03403401482941102,0.015162924925486246,0.029586174454113972,0.007739238549160495,0.058073373623867657
A1FlatFull-SVR,traditional_or_flat_baseline,A1FlatFull,-0.006744568648102393,0.01844488950989497,-0.03334260720580092,0.03372878613255826,0.01272588378580867,0.02284738830722079
