model,split,rmse,mae,spearman,params,seed
A1Flat-Ridge,val,1.206109439247223,0.9829685496874452,0.4541239459000736,"{""alpha"": 1.0}",42
A1Flat-Ridge,test,1.2167613532980683,0.9509406462354328,0.3705252476334371,"{""alpha"": 1.0}",42
A1Flat-SVR,val,1.225580369517543,0.9494657390376616,0.4086853064278143,"{""C"": 2.0, ""epsilon"": 0.1, ""kernel"": ""rbf""}",42
A1Flat-SVR,test,1.163623978182562,0.9129676215507636,0.4048535536190253,"{""C"": 2.0, ""epsilon"": 0.1, ""kernel"": ""rbf""}",42
A1Flat-CatBoost,val,1.2180171557594743,0.977319516543398,0.3444378346749701,"{""depth"": 6, ""learning_rate"": 0.05, ""iterations"": 300}",42
A1Flat-CatBoost,test,1.2075790071476786,0.966257588350975,0.2590544844151989,"{""depth"": 6, ""learning_rate"": 0.05, ""iterations"": 300}",42
A1Flat-Ridge,val,1.179965018681859,0.9417546452099568,0.3528331102672872,"{""alpha"": 1.0}",52
A1Flat-Ridge,test,1.1185987933518065,0.8695253733600332,0.5063032012031807,"{""alpha"": 1.0}",52
A1Flat-SVR,val,1.1305262952359862,0.8724502716183485,0.4197919674027086,"{""C"": 2.0, ""epsilon"": 0.1, ""kernel"": ""rbf""}",52
A1Flat-SVR,test,1.0383905163665172,0.7702107239303958,0.6319298032918159,"{""C"": 2.0, ""epsilon"": 0.1, ""kernel"": ""rbf""}",52
A1Flat-CatBoost,val,1.154791447504868,0.9542038897560016,0.3963117514958009,"{""depth"": 6, ""learning_rate"": 0.05, ""iterations"": 300}",52
A1Flat-CatBoost,test,1.1226506678883998,0.8213077154397697,0.4272179308075496,"{""depth"": 6, ""learning_rate"": 0.05, ""iterations"": 300}",52
A1Flat-Ridge,val,1.1775812420252478,0.8745593203138167,0.2383014460894799,"{""alpha"": 1.0}",62
A1Flat-Ridge,test,1.0585435222718125,0.8192057935663687,0.4189419722019891,"{""alpha"": 1.0}",62
A1Flat-SVR,val,1.0488175537089086,0.7673775442417086,0.3321173311064983,"{""C"": 2.0, ""epsilon"": 0.1, ""kernel"": ""rbf""}",62
A1Flat-SVR,test,1.0186957595501778,0.7480769952911562,0.4468842679590295,"{""C"": 2.0, ""epsilon"": 0.1, ""kernel"": ""rbf""}",62
A1Flat-CatBoost,val,1.0962082446013937,0.8222095528913727,0.2493067037686489,"{""depth"": 6, ""learning_rate"": 0.05, ""iterations"": 300}",62
A1Flat-CatBoost,test,1.0138973052403952,0.76349326609275,0.4000104981825039,"{""depth"": 6, ""learning_rate"": 0.05, ""iterations"": 300}",62
