experiment_group,model,feature_set,n_features,test_rmse_mean,test_rmse_std,test_mae_mean,test_mae_std,test_spearman_mean,test_spearman_std
fair_feature_baseline,A1FlatFull-SVR,A1FlatFull,906,1.0699482906836644,0.07743422690902461,0.8091656094931635,0.08519920070712585,0.4980902130130141,0.11639959664023594
fair_feature_baseline,SeqOnly-CatBoost,SeqOnly,130,1.1077717356789543,0.06362242764110225,0.8720977891283922,0.06481366253703975,0.3971107813727126,0.03755105397717307
fair_feature_baseline,SeqOnly-SVR,SeqOnly,130,1.1104068211577829,0.04680618098027259,0.8622083259550944,0.028468458048981155,0.4496358396314346,0.09280067302543087
fair_feature_baseline,A1FlatFull-CatBoost,A1FlatFull,906,1.1147089934254912,0.09708477253607574,0.8503528566278314,0.10445600875576838,0.3620943044684175,0.0902660760472136
fair_feature_baseline,SeqOnly-Ridge,SeqOnly,130,1.1240524259021454,0.030876227297111397,0.8904321762861049,0.026329898520463777,0.41790260424342174,0.08358379528130874
fair_feature_baseline,Descriptor-SVR,Descriptor,82,1.1269868143783859,0.06560704270254071,0.8987101331801467,0.041409495303105476,0.41246699542727755,0.04559495237052263
fair_feature_baseline,A1FlatFull-Ridge,A1FlatFull,906,1.1313012229738957,0.07987010894190223,0.8798906043872782,0.0664762842118987,0.43192347367953565,0.06881353576408876
fair_feature_baseline,Descriptor-Ridge,Descriptor,82,1.1315856075223696,0.0432177179309121,0.8938944285705676,0.022744886373782993,0.3967259886344612,0.12197838033624157
fair_feature_baseline,Descriptor-CatBoost,Descriptor,82,1.1379377775918567,0.06944745480913213,0.8791151016375115,0.07431289495615082,0.3615984170297221,0.04719431536364585
fair_feature_baseline,PhysChemOnly-CatBoost,PhysChemOnly,22,1.1472736713975482,0.06069977021395829,0.9011213915573748,0.05952793242220147,0.36309189190039587,0.01947388406392087
fair_feature_baseline,PhysChemOnly-SVR,PhysChemOnly,22,1.1480798866919113,0.019298848104351306,0.8965659816180992,0.022667343876293853,0.3769457808005798,0.13243000244820255
fair_feature_baseline,PhysChemOnly-Ridge,PhysChemOnly,22,1.1604788532635322,0.026219432952101922,0.9184414849741435,0.020682671881975333,0.2970977240412643,0.08575472223205398
