dataset,seed,feature_set,model,base_model,n_features,params,split,threshold,acc,bacc,auc,auprc,f1,mcc,precision,sensitivity,specificity
plm4ace_cleaned_2_5,42,ESM2,ESM2-LR,LR,320,"{""k"": null, ""pca_dim"": null, ""C"": 10.0, ""max_a1_for_interaction"": null}",valid,0.07,0.92,0.9163602941176471,0.9540441176470589,0.9369791935192271,0.8787878787878788,0.8200065502005549,0.8529411764705882,0.90625,0.9264705882352942
plm4ace_cleaned_2_5,42,ESM2,ESM2-LR,LR,320,"{""k"": null, ""pca_dim"": null, ""C"": 10.0, ""max_a1_for_interaction"": null}",test,0.07,0.848,0.8619337979094077,0.9160859465737515,0.8600418215648259,0.7956989247311828,0.6894894180720825,0.7115384615384616,0.9024390243902439,0.8214285714285714
plm4ace_cleaned_2_5,42,A1FlatSelected,A1FlatSelected-LR,LR,100,"{""k"": 100, ""pca_dim"": null, ""C"": 1.0, ""max_a1_for_interaction"": null}",valid,0.48999999999999994,0.86,0.8639705882352942,0.9195772058823529,0.8443425004421294,0.8,0.6995811333285497,0.7368421052631579,0.875,0.8529411764705882
plm4ace_cleaned_2_5,42,A1FlatSelected,A1FlatSelected-LR,LR,100,"{""k"": 100, ""pca_dim"": null, ""C"": 1.0, ""max_a1_for_interaction"": null}",test,0.48999999999999994,0.776,0.7833914053426249,0.8809523809523809,0.8148532729754437,0.7021276595744681,0.5384483604881446,0.6226415094339622,0.8048780487804879,0.7619047619047619
plm4ace_cleaned_2_5,42,A1FlatSelected_ESM2PCA,A1FlatSelected_ESM2PCA-LR,LR,464,"{""k"": 400, ""pca_dim"": 64, ""C"": 1.0, ""max_a1_for_interaction"": null}",valid,0.7,0.93,0.8988970588235294,0.9632352941176471,0.9427375163545312,0.8813559322033898,0.8382565646060709,0.9629629629629629,0.8125,0.9852941176470589
plm4ace_cleaned_2_5,42,A1FlatSelected_ESM2PCA,A1FlatSelected_ESM2PCA-LR,LR,464,"{""k"": 400, ""pca_dim"": 64, ""C"": 1.0, ""max_a1_for_interaction"": null}",test,0.7,0.856,0.8366724738675959,0.9030197444831591,0.8445192301437827,0.7804878048780488,0.6733449477351916,0.7804878048780488,0.7804878048780488,0.8928571428571429
plm4ace_cleaned_2_5,42,A1FlatSelected_ESM2PCAInteract,A1FlatSelected_ESM2PCAInteract-LR,LR,916,"{""k"": 100, ""pca_dim"": 16, ""C"": 0.1, ""max_a1_for_interaction"": 50}",valid,0.26999999999999996,0.84,0.8492647058823529,0.8975183823529412,0.7979482553943067,0.7777777777777778,0.6651330399133047,0.7,0.875,0.8235294117647058
plm4ace_cleaned_2_5,42,A1FlatSelected_ESM2PCAInteract,A1FlatSelected_ESM2PCAInteract-LR,LR,916,"{""k"": 100, ""pca_dim"": 16, ""C"": 0.1, ""max_a1_for_interaction"": 50}",test,0.26999999999999996,0.752,0.7468060394889663,0.8420441347270616,0.7906329551362161,0.6593406593406593,0.4730441936401532,0.6,0.7317073170731707,0.7619047619047619
plm4ace_cleaned_2_5,52,ESM2,ESM2-LR,LR,320,"{""k"": null, ""pca_dim"": null, ""C"": 1.0, ""max_a1_for_interaction"": null}",valid,0.33999999999999997,0.92,0.9329044117647058,0.9659926470588235,0.9243621966112237,0.8857142857142857,0.8320775600953204,0.8157894736842105,0.96875,0.8970588235294118
plm4ace_cleaned_2_5,52,ESM2,ESM2-LR,LR,320,"{""k"": null, ""pca_dim"": null, ""C"": 1.0, ""max_a1_for_interaction"": null}",test,0.33999999999999997,0.84,0.8497386759581882,0.9433797909407666,0.9056059460675201,0.782608695652174,0.6681966295651318,0.7058823529411765,0.8780487804878049,0.8214285714285714
