model,group_value,n_mean,n_std,rmse_mean,rmse_std,mae_mean,mae_std,spearman_mean,spearman_std,bias_mean_mean,bias_mean_std,abs_error_median_mean,abs_error_median_std
A1-DiagCorePairLite,medium_5_to_6,13.0,0.0,1.1061266298546253,0.18564341122701725,1.0205074147683877,0.14642515132471004,0.06135867529106237,0.3466171597183345,-1.0205074147683877,0.14642515132471004,1.0222965932500778,0.09282128886625601
A1-DiagCorePairLite,strong_pIC50_ge_6,2.6666666666666665,1.1547005383792515,1.9822582457426392,0.14188466312758002,1.9470681868450181,0.11103884381769627,0.105409255338946,1.016530045465127,-1.9470681868450181,0.11103884381769627,1.9749615483933098,0.13462624139554843
A1-DiagCorePairLite,weak_lt_5,54.333333333333336,1.154700538379251,1.0215271733779658,0.06700664979335007,0.7644691299765561,0.04893083324604611,0.39259801049763593,0.04649515696204637,0.5271419737729462,0.09339703079954673,0.530252576501451,0.06920305567976319
A1-DiagLite,medium_5_to_6,13.0,0.0,1.161987604379692,0.07133944866005021,1.0428100598606778,0.06654832744379331,0.03307031024121093,0.2510281440139605,-1.0143720583581313,0.08589330753088621,0.9650597182941455,0.10587226027198948
A1-DiagLite,strong_pIC50_ge_6,2.6666666666666665,1.1547005383792515,1.8494473505422737,0.30746047565205303,1.799865353511685,0.29607153334471015,0.105409255338946,1.016530045465127,-1.799865353511685,0.29607153334471015,1.83627829839331,0.35797342332015536
A1-DiagLite,weak_lt_5,54.333333333333336,1.154700538379251,0.9862141747191462,0.13242429709309475,0.7425044610130068,0.09792758725728001,0.3732661571461992,0.130142274285365,0.44304995556825794,0.09327169003965396,0.5443858165428653,0.08059776455759111
A1FlatFull-SVR,medium_5_to_6,13.0,0.0,1.1218678590695212,0.35813393738227106,0.977842669735456,0.24100878301906714,0.1356443297618226,0.33531399041854054,-0.977842669735456,0.24100878301906714,0.8696293049432547,0.07877963741048963
A1FlatFull-SVR,strong_pIC50_ge_6,2.6666666666666665,1.1547005383792515,1.7848009300920769,0.028211338496055137,1.723058586669899,0.007871671674434555,-0.07027283689263064,1.0073801739238342,-1.723058586669899,0.007871671674434555,1.7370299094404373,0.01634913076598372
A1FlatFull-SVR,weak_lt_5,54.333333333333336,1.154700538379251,0.9903368900986309,0.17468703710131878,0.723954251511901,0.13879862952977867,0.3927164113817805,0.1463020788633157,0.44318241935956176,0.10797608341902731,0.4717777662496972,0.09225755533166197
Descriptor-CatBoost,medium_5_to_6,13.0,0.0,1.2695065545814614,0.28227811504049405,1.153926240572389,0.22367023843517692,0.2009103755770246,0.15255309186006055,-1.153926240572389,0.22367023843517692,0.9892667173430877,0.1368623180515458
