model,group_value,n_mean,n_std,rmse_mean,rmse_std,mae_mean,mae_std,spearman_mean,spearman_std,bias_mean_mean,bias_mean_std,abs_error_median_mean,abs_error_median_std
A1-DiagCorePairLite,2,24.333333333333332,4.932882862316248,0.9748835136132534,0.12523596963684971,0.7523366842074215,0.1283462420017784,0.4027196932666835,0.1647449019369871,0.2861013811445345,0.1457493544162984,0.5240877670690415,0.17927034504396744
A1-DiagCorePairLite,3,45.666666666666664,4.932882862316246,1.1309847223481995,0.1101273553479991,0.8989758182078743,0.09201751190789423,0.40095524765106116,0.1634018649384741,0.08258564080537475,0.07723818364424662,0.6875708697920287,0.08729704605442572
A1-DiagLite,2,24.333333333333332,4.932882862316248,0.9717013823846008,0.1279460833033746,0.7452352913530488,0.11361196775010045,0.4165734716736518,0.1401319315846537,0.288410044578878,0.1588831303269703,0.5061216276066319,0.11341370285608807
A1-DiagLite,3,45.666666666666664,4.932882862316246,1.1034461915225016,0.1550772948429246,0.879128412324929,0.11395682507544211,0.3971313240663498,0.1756553547266094,-0.018113771473536804,0.1275508787832331,0.7114837961235009,0.07354730296418335
A1FlatFull-SVR,2,24.333333333333332,4.932882862316248,0.9253222687801625,0.14386426380630266,0.6729980761445352,0.08298310247981797,0.4847988779176921,0.1698313661011371,0.13733992008142837,0.21944015214452064,0.4328096007634343,0.04407268699129934
A1FlatFull-SVR,3,45.666666666666664,4.932882862316246,1.1124224174868982,0.1665825723136931,0.8674589583027754,0.1524039010347409,0.38663599827074896,0.19976133308811814,0.08568210087593893,0.05015693134497924,0.6752112810229723,0.1382463355435111
Descriptor-CatBoost,2,24.333333333333332,4.932882862316248,1.0934974456393445,0.10876158460667314,0.8273405228318343,0.05634906199389729,0.3017982968491058,0.29010543352736157,0.3095225399128222,0.2749460789331893,0.5642255637495422,0.0691436187661877
Descriptor-CatBoost,3,45.666666666666664,4.932882862316246,1.1463698388929673,0.13944510499932847,0.9027536227602392,0.11671574987218934,0.27287955094797983,0.1484222937124073,-0.07421625456836521,0.09103993246953673,0.7865888603331901,0.07321134178036758
Descriptor-SVR,2,24.333333333333332,4.932882862316248,1.099356295970417,0.051907397194736485,0.9295646530914542,0.040499881858065995,0.35483433519148644,0.048211568536755914,0.4141164642935851,0.23818327184164007,0.8003126386626943,0.045346173335803236
Descriptor-SVR,3,45.666666666666664,4.932882862316246,1.1325756599218844,0.11230465125520302,0.8780303284668953,0.07860096005249075,0.34446284734331006,0.08386182794780173,-0.11324496211254483,0.1046541879810967,0.6819920153724718,0.03264045810410483
MeanPredictor,2,24.333333333333332,4.932882862316248,1.3213783854472596,0.04359180144599948,1.1277943422537513,0.03471357732846577,0.0,,0.7388240999864477,0.19132214878050288,1.0542324284382003,0.1590954538996679
MeanPredictor,3,45.666666666666664,4.932882862316246,1.1920511716137667,0.11013647884158191,0.9534835691703772,0.10145167907109234,0.0,0.0,-0.1193086968593602,0.004830904072092761,0.8332434218835555,0.06798686990157304
PhysChemOnly-SVR,2,24.333333333333332,4.932882862316248,1.0945324886239194,0.11462684433156538,0.8181893710723033,0.08437944698293354,0.2972802542054849,0.2346908190871202,0.2883315016275003,0.16005015536731698,0.5698002622100109,0.11445433210253858
PhysChemOnly-SVR,3,45.666666666666664,4.932882862316246,1.1672844122477966,0.03484394169539573,0.9343823145363116,0.008525306755938015,0.25506784895516793,0.18134411727376581,-0.12751072376717737,0.08360494004191982,0.7894449261774787,0.03826058626865906
SeqOnly-CatBoost,2,24.333333333333332,4.932882862316248,1.0292438138995292,0.08471828636534716,0.7785529960337487,0.03947536669029964,0.278000283754785,0.2478517183488799,0.22691776521156282,0.19958224027680815,0.44977506213426177,0.12579738442773114
SeqOnly-CatBoost,3,45.666666666666664,4.932882862316246,1.1335735890862135,0.12579881157856798,0.9127806497265976,0.11345938994500217,0.30557483066584235,0.13278685235114224,-0.05776487282342638,0.049324086006010875,0.7448767449994227,0.14988958522922494
SeqOnly-SVR,2,24.333333333333332,4.932882862316248,1.049002974736459,0.07502432250068869,0.8223375910474133,0.06425620346235932,0.3639031832515311,0.1353522760196332,0.26980422610040916,0.27796741812918746,0.6928309647245946,0.01936156651837561
SeqOnly-SVR,3,45.666666666666664,4.932882862316246,1.1258188106815303,0.11179198134370587,0.8743451489013988,0.06914646564934437,0.33443546288505965,0.10818970333776551,0.023464208389147784,0.03506243590633876,0.7047542155038752,0.12981589213835673
