iter	Logloss
0	0.6786260971
1	0.6638892921
2	0.6500809667
3	0.6354051908
4	0.6275047403
5	0.6162975791
6	0.6055170912
7	0.590817222
8	0.5818489995
9	0.5737927704
10	0.5652476384
11	0.5576298417
12	0.5472672832
13	0.5383412204
14	0.530776229
15	0.5246786941
16	0.5199167454
17	0.5117050895
18	0.505160461
19	0.4995786989
20	0.4950209182
21	0.4890900767
22	0.4839044681
23	0.4785111821
24	0.4735708954
25	0.4676508819
26	0.4625117082
27	0.4572614662
28	0.4528015532
29	0.4469527417
30	0.4407869569
31	0.4361017648
32	0.4312947451
33	0.4258441911
34	0.4218867217
35	0.4180426186
36	0.4148726219
37	0.4111086612
38	0.407458134
39	0.4044557285
40	0.3995846441
41	0.3945911808
42	0.3923135137
43	0.3892233585
44	0.3865296734
45	0.3828904917
46	0.3799015413
47	0.3767324438
48	0.3738721065
49	0.3728605081
50	0.370295736
51	0.3662533274
52	0.3636662786
53	0.360171923
54	0.3567485665
55	0.3546644505
56	0.35281572
57	0.3497340872
58	0.3469124104
59	0.345333858
60	0.3437604456
61	0.3397833174
62	0.3373399653
63	0.3345748955
64	0.3318671632
65	0.3304808445
66	0.3282178221
67	0.3265516177
68	0.3244103082
69	0.3222877489
70	0.3204882685
71	0.3181000269
72	0.3156478701
73	0.3138617438
74	0.3114334798
75	0.308629207
76	0.3061178106
77	0.3046082567
78	0.3015206864
79	0.2993225609
80	0.2970414817
81	0.2954273251
82	0.2935621646
83	0.2919139502
84	0.2905915386
85	0.2892440819
86	0.2876221831
87	0.2864227831
88	0.284873675
89	0.2838072791
90	0.2821048543
91	0.2801228264
92	0.2784305444
93	0.277157534
94	0.2757533327
95	0.2737154497
96	0.2716796562
97	0.2706414775
98	0.269421503
99	0.2679060658
100	0.2665273188
101	0.2656300901
102	0.2641355099
103	0.2625351392
104	0.2611092232
105	0.2593878124
106	0.2576977572
107	0.2567293733
108	0.2547830346
109	0.2528076084
110	0.2508100272
111	0.2493815076
112	0.2485448964
113	0.2472498677
114	0.2455868838
115	0.2444590779
116	0.2425858433
117	0.2405348531
118	0.2393017543
119	0.2386068876
120	0.2372725743
121	0.2352663022
122	0.2345016239
123	0.2327883239
124	0.2309458228
125	0.2299191306
126	0.2286536811
127	0.2279261345
128	0.2264828332
129	0.2250297984
130	0.2247169064
131	0.2237839523
132	0.2221548455
133	0.2206826067
134	0.2189070179
135	0.2174396515
136	0.2160837093
137	0.2146715862
138	0.213654071
139	0.2123993988
140	0.2118557745
141	0.2106595454
142	0.2096186415
143	0.2088478393
144	0.2077587213
145	0.2068738547
146	0.2064246464
147	0.2051947239
148	0.2045832077
149	0.2032722965
150	0.2020273608
151	0.2011617835
152	0.2005556915
153	0.1998861748
154	0.1994223583
155	0.197930992
156	0.1968426344
157	0.1956875769
158	0.1946092756
159	0.1934061163
160	0.1920030375
161	0.1908801914
162	0.1900653422
163	0.1888585912
164	0.1874328245
165	0.18600524
166	0.1849664804
167	0.1830301658
168	0.1819104773
169	0.1810263774
170	0.1799826011
171	0.1791094453
172	0.1782478509
173	0.1773193705
174	0.1760083919
175	0.1751658101
176	0.1741980638
177	0.1731647298
178	0.1722673032
179	0.1716467349
180	0.1706314603
181	0.169710787
182	0.1686657741
183	0.1674927055
184	0.16663078
185	0.1656023525
186	0.164509468
187	0.1631828347
188	0.1620062533
189	0.1611425307
190	0.1601435084
191	0.1591693099
192	0.1582057385
193	0.1563348161
194	0.1552407263
195	0.1547130501
196	0.1534754373
197	0.1525326899
198	0.1514420855
199	0.1503636389
200	0.1498866292
201	0.1485567867
202	0.1479682226
203	0.1466827125
204	0.1461342695
205	0.1451293679
206	0.1439292076
207	0.1429938605
208	0.1419616623
209	0.1409727224
210	0.1397570087
211	0.1386756858
212	0.1379792026
213	0.136913966
214	0.1359810743
215	0.1349130398
216	0.1340693221
217	0.132704896
218	0.132020094
219	0.1313271902
220	0.130325507
221	0.1291028
222	0.1282472493
223	0.1270735489
224	0.1261667898
225	0.1249989211
226	0.1242666551
227	0.1234471636
228	0.1229673961
229	0.1220433013
230	0.1212273111
231	0.1205197354
232	0.1198757904
233	0.1188377864
234	0.1180793284
235	0.1172875464
236	0.1164081081
237	0.1154196567
238	0.1142127595
239	0.1133590942
240	0.1124482759
241	0.111469217
242	0.1105871082
243	0.1098838447
244	0.1092567751
245	0.1085145596
246	0.1077063246
247	0.1067809494
248	0.1061779101
249	0.1059348365
250	0.1049178703
251	0.1044459271
252	0.1038746608
253	0.1030583041
254	0.1022466311
255	0.1014383323
256	0.1004774213
257	0.09976980155
258	0.09875939241
259	0.09775833503
260	0.09680215478
261	0.09597285082
262	0.09497978438
263	0.09414011634
264	0.09328295349
265	0.09244940149
266	0.09148265095
267	0.09074227112
268	0.09004192732
269	0.08944429344
270	0.0887633825
271	0.08808086205
272	0.08747347765
273	0.08672427682
274	0.08600038268
275	0.08526278765
276	0.08434035678
277	0.08394190129
278	0.08335645023
279	0.08281208044
280	0.08205351047
281	0.0812295522
282	0.08042487464
283	0.07959239831
284	0.07894718916
285	0.07820619512
286	0.07775133816
287	0.07715074047
288	0.07651980233
289	0.07585772703
290	0.07533866464
291	0.07469843469
292	0.07397704234
293	0.07349096827
294	0.07287261324
295	0.07208479876
296	0.07147240451
297	0.07085209404
298	0.07022075081
299	0.06974523614
300	0.06924053036
301	0.06868113714
302	0.06795310253
303	0.06750139915
304	0.06703728802
305	0.06641697704
306	0.06594343925
307	0.06540486875
308	0.06487427621
309	0.06443457879
310	0.06396657961
311	0.0634218588
312	0.06288944377
313	0.06225398158
314	0.06176491998
315	0.06133618603
316	0.06102565767
317	0.06056512562
318	0.06003437305
319	0.05958163563
320	0.05897847812
321	0.05840166364
322	0.05784030727
323	0.05753900602
324	0.05725667485
325	0.05681905395
326	0.05643428558
327	0.05598633188
328	0.05563067136
329	0.05509176412
330	0.05490741933
331	0.05439903038
332	0.05435912187
333	0.05403745374
334	0.05369325217
335	0.05325629267
336	0.05295106684
337	0.05263367887
338	0.05219947865
339	0.05179406872
340	0.05131813731
341	0.05099870926
342	0.05052647233
343	0.05012369058
344	0.04996591661
345	0.04966379609
346	0.049206605
347	0.04908673847
348	0.04872626355
349	0.04843123931
350	0.04804870859
351	0.04769241599
352	0.04746007829
353	0.04707083435
354	0.04675087255
355	0.04667245938
356	0.0463379697
357	0.04616845577
358	0.04585810901
359	0.04562805016
360	0.04532726518
361	0.04495987142
362	0.04482988599
363	0.04453067461
364	0.04412509301
365	0.04370381967
366	0.04337912578
367	0.043098715
368	0.04276038974
369	0.04249463921
370	0.04215779083
371	0.04194580073
372	0.041623236
373	0.04135888437
374	0.04104627951
375	0.04081984908
376	0.04045230956
377	0.04032522648
378	0.04007514319
379	0.03974372599
380	0.03948652073
381	0.03917318385
382	0.03893095774
383	0.03860401304
384	0.03827249282
385	0.03813747522
386	0.03798856253
387	0.03771086018
388	0.03744683687
389	0.03713472261
390	0.03692233079
391	0.03666037013
392	0.03633092668
393	0.03623721786
394	0.03599399121
395	0.03584082327
396	0.03561597055
397	0.03531843783
398	0.03519629379
399	0.0349879323
400	0.03472204773
401	0.0344806112
402	0.03429529744
403	0.03408258832
404	0.03384281272
405	0.03370920477
406	0.03354605514
407	0.03327195251
408	0.03310775291
409	0.03290306
410	0.03274099565
411	0.03265451003
412	0.03247386327
413	0.03223318389
414	0.03209265334
415	0.03191645422
416	0.03173651138
417	0.03151694809
418	0.03135114746
419	0.03120292742
420	0.03102969577
421	0.03082830651
422	0.03074797257
423	0.0305038613
424	0.03028918469
425	0.0301449222
426	0.03006151106
427	0.02986389991
428	0.02978217471
429	0.02962693756
430	0.02946676227
431	0.02930638252
432	0.0291833067
433	0.02911881428
434	0.02901210938
435	0.02883205388
436	0.02861176774
437	0.02846739996
438	0.02835738842
439	0.02820321472
440	0.02800098969
441	0.02779270895
442	0.0276256268
443	0.02746855727
444	0.02736590149
445	0.02728162217
446	0.02707024524
447	0.0268662385
448	0.02671203601
449	0.02656927536
450	0.02638990131
451	0.02621523202
452	0.02603175589
453	0.02582386379
454	0.02567560832
455	0.02553607275
456	0.02536377459
457	0.02520839472
458	0.02505312738
459	0.02496097232
460	0.02479774288
461	0.0246617928
462	0.02454484156
463	0.02437092731
464	0.02429651799
465	0.02419431148
466	0.02405601715
467	0.02390641337
468	0.02376767987
469	0.02360642922
470	0.02346437221
471	0.02331190706
472	0.02323335791
473	0.02308457721
474	0.02296441023
475	0.02282029517
476	0.02269830784
477	0.02255673014
478	0.02238716034
479	0.02226192839
480	0.02212966663
481	0.02200817689
482	0.02192821768
483	0.02181488833
484	0.02171210156
485	0.02160317266
486	0.02149993593
487	0.02140107095
488	0.02128335185
489	0.0211483156
490	0.02110264898
491	0.02097408653
492	0.0208520278
493	0.02073383243
494	0.02066541741
495	0.02057176225
496	0.02047618147
497	0.02036540343
498	0.020277836
499	0.02021375769
