iter	Passed	Remaining
0	4	1272
1	7	1106
2	10	1043
3	13	997
4	17	1004
5	20	986
6	23	970
7	26	963
8	29	955
9	33	959
10	36	961
11	39	951
12	42	938
13	45	935
14	49	936
15	52	927
16	55	924
17	58	917
18	61	913
19	64	904
20	67	899
21	70	892
22	73	886
23	76	879
24	79	879
25	83	875
26	86	869
27	89	865
28	92	863
29	95	861
30	98	855
31	101	851
32	104	847
33	107	844
34	111	840
35	114	836
36	116	830
37	119	824
38	122	818
39	125	814
40	128	809
41	130	802
42	133	795
43	135	789
44	138	785
45	141	780
46	143	774
47	146	768
48	149	763
49	151	757
50	154	753
51	156	747
52	159	742
53	161	737
54	164	732
55	166	727
56	169	723
57	172	718
58	174	713
59	177	709
60	179	704
61	182	700
62	185	696
63	187	693
64	190	688
65	193	684
66	195	681
67	198	677
68	201	674
69	203	670
70	206	666
71	209	662
72	211	658
73	214	654
74	217	651
75	219	646
76	221	642
77	224	639
78	227	635
79	230	632
80	232	628
81	235	625
82	238	622
83	240	618
84	243	614
85	245	611
86	248	608
87	251	604
88	253	601
89	256	597
90	259	595
91	261	591
92	264	588
93	267	585
94	269	582
95	272	578
96	275	576
97	278	573
98	280	570
99	283	567
100	286	563
101	288	560
102	291	557
103	294	554
104	296	550
105	299	547
106	301	543
107	304	540
108	307	538
109	309	535
110	312	531
111	314	528
112	317	525
113	319	522
114	322	519
115	325	515
116	327	512
117	330	509
118	332	506
119	336	504
120	338	500
121	341	497
122	343	494
123	346	491
124	348	488
125	351	485
126	354	482
127	356	479
128	359	476
129	361	473
130	364	470
131	382	487
132	385	483
133	387	480
134	390	477
135	392	473
136	395	470
137	398	467
138	400	464
139	403	461
140	406	458
141	408	455
142	411	452
143	414	449
144	417	446
145	419	442
146	422	439
147	424	436
148	427	433
149	430	430
150	432	427
151	435	423
152	438	420
153	440	418
154	443	414
155	446	411
156	448	408
157	451	405
158	454	402
159	456	399
160	459	396
161	461	393
162	464	390
163	466	386
164	469	384
165	471	381
166	474	378
167	477	375
168	479	371
169	482	368
170	485	365
171	487	363
172	490	360
173	492	356
174	495	353
175	498	350
176	500	348
177	503	345
178	506	342
179	509	339
180	511	336
181	514	333
182	517	330
183	520	328
184	523	325
185	526	322
186	528	319
187	531	316
188	534	313
189	537	311
190	540	308
191	543	305
192	545	302
193	548	299
194	551	297
195	554	294
196	557	291
197	559	288
198	562	285
199	565	282
200	568	280
201	571	277
202	574	274
203	578	272
204	580	269
205	583	266
206	586	263
207	589	260
208	594	258
209	596	255
210	599	253
211	602	250
212	605	247
213	608	244
214	611	241
215	613	238
216	616	235
217	619	232
218	621	229
219	624	227
220	627	224
221	630	221
222	632	218
223	635	215
224	638	212
225	641	209
226	643	207
227	646	204
228	649	201
229	651	198
230	654	195
231	657	192
232	660	189
233	662	186
234	665	184
235	668	181
236	671	178
237	673	175
238	676	172
239	679	169
240	681	166
241	684	164
242	687	161
243	690	158
244	692	155
245	695	152
246	698	149
247	701	147
248	703	144
249	706	141
250	709	138
251	711	135
252	714	132
253	716	129
254	719	126
255	721	124
256	724	121
257	726	118
258	729	115
259	732	112
260	735	109
261	737	106
262	740	104
263	742	101
264	745	98
265	748	95
266	750	92
267	753	89
268	756	87
269	759	84
270	761	81
271	764	78
272	767	75
273	769	73
274	772	70
275	774	67
276	777	64
277	780	61
278	782	58
279	785	56
280	787	53
281	790	50
282	793	47
283	796	44
284	798	42
285	801	39
286	804	36
287	806	33
288	809	30
289	811	27
290	814	25
291	817	22
292	822	19
293	824	16
294	827	14
295	829	11
296	832	8
297	834	5
298	837	2
299	840	0
