sequence,length,task_role,is_main_23,is_aux_45,label_ic50_uM,label_pIC50,sample_weight,weight_len,weight_quality,dedup_strategy,label_source_mode,is_from_merged_backbone,contains_merged,source_count,record_count_total,high_confidence_flag,conflict_flag,tier_23,ic50_uM_min,ic50_uM_max,ic50_uM_median,ic50_uM_mean,ic50_spread_ratio_max_min,source_db_set,source_table_set,source_file_set,origin_source_set,raw_record_ids,citation_ids,notes,row_count_after_filter
AA,2,main,True,False,335.7,3.4740486587519874,0.8,1.0,0.8,merged_backbone,merged_sequence_level_authoritative,True,True,3,8,False,False,Tier D,51.4,620.0,335.7,335.7,12.06225680933852,,,,merged_short23_tiered_standardized || biopep_core_standardized || ahtpdb_clean_um_standardized,ace_merged_000001 | ace_merged_000002 | ace_merged_000003 | ace_merged_000004 || 5134 | 6112 | 6576 | 7590 || biopep_ace_000194 || 7590 || 5134 || 6112 || 6576,https://biochemia.uwm.edu.pl/biopep/peptidedatacard.php?zm_ID=7590 || Pork (Sus domesticus skeletal muscle),"source_count=2; spread_ratio=12.0623 || multi-source evidence but conflicting IC50 range || AHTPDB | BIOPEP-UWM || AHTPDB: ID 1680; 2982; 3229; 3464; 3552; 3608; 3832; 3885; 4431; 4538; 4684; 5134; 6112; 6576 BioPepDB: ID biopep00002 BIOPEP-UWM database of bioactive peptides: ID 8637; 10141 BIOPEP-UWM database of sensory peptides and amino acids: ID 241 BRENDA: Ligand Ala-Ala ChEBI: ID 72816 ChEMBL: ID CHEMBL17697 ChemIDplus: ID 001948318 ChemSpider: ID 4588478 EPA DSSTox: ID DTXSID00173127 EROP-Moscow: ID E06348 FeptideDB: ID 7590; 8637 FooDB: ID FDB003740 Golm Metabolome Database: ID DF49DD8A-D390-4F75-8C8A-3A07EF07DD48 HMDB: ID HMDB0028680 J-GLOBAL: ID 200907012990949768 KNApSAcK: ID C00017958 MeSH; ID 67002956; term alanylalanine Metabolomics Workbench: ID 78656 Nikkaji: ID J47.023F NIST Chemistry WebBook: Compound L-Alanine, N-L-alanyl- PlantPepDB: ID PPepDB_1 PubChem: CID 6992372 SAPdb: ID 1016 SATPdb: ID satpdb12967 SpectraBase: Compound L-Alanyl-L-alanine ZINC: ID ZINC01575493 || BIOPEP-UWM || small || exact_molar_value || not_converted: ic50_type不是mass_unit || Sentandreu and Toldra (2006)",5
AC,2,main,True,False,547.02,3.261996794816751,0.85,1.0,0.85,merged_backbone,merged_sequence_level_authoritative,True,True,2,2,False,False,Tier C,547.02,547.02,547.02,547.02,1.0,,,,merged_short23_tiered_standardized || biopep_core_standardized,ace_merged_000005 || 11320 || biopep_ace_000834,https://biochemia.uwm.edu.pl/biopep/peptidedatacard.php?zm_ID=11320,only_one_record_after_merge || single-source evidence with usable IC50 || BIOPEP-UWM || CAS: Regisrty No 2490-72-4 ChEBI: ID 157787 ChemSpider: ID 8233955 ECHA: ID 639-467-6 FooDB: ID FDB111744 HMDB: ID HMDB0028684 Metabolomics Workbench: ID 78660 Nikkaji: ID J699.169F PubChem: CID 10058401 SureChEMBL: ID 2544386 UniChem: ID 25850271 Wikidata: ID Q106026464 ZINC: ID ZINC000008577160,2
AF,2,main,True,False,497.082363398,3.303571645460491,0.8,1.0,0.8,merged_backbone,merged_sequence_level_authoritative,True,True,4,21,False,False,Tier D,165.3,20000.0,497.082363398,497.082363398,120.99213551119176,,,,merged_short23_tiered_standardized || biopep_core_standardized || ferm_strict_core_standardized || ahtpdb_clean_um_standardized,ace_merged_000006 | ace_merged_000007 | ace_merged_000008 | ace_merged_000009 | ace_merged_000010 | ace_merged_000011 | ace_merged_000012 | ace_merged_000013 | ace_merged_000014 | ace_merged_000015 | ace_merged_000016 | ace_merged_000017 || 1271 | 1363 | 1410 | 1503 | 1892 | 1896 | 6211 | 6569 | 7583 | FMDB2203 | FMDB847 | FMDB851 || biopep_ace_000187 || 7583 || fermfoodb_ace_000252 | fermfoodb_ace_000256 | fermfoodb_ace_000857 || FMDB2203 | FMDB847 | FMDB851 || 1271 || 1892 || 1896 || 6211 || 6569,https://biochemia.uwm.edu.pl/biopep/peptidedatacard.php?zm_ID=7583 || 18160180 | 19994857 || Soybean || Soybean Sauce || Soybean (Glycine max - Fermented soybean seasoning),"source_count=3; spread_ratio=120.9921 || multi-source evidence but conflicting IC50 range || AHTPDB | BIOPEP-UWM | FermFooDb || AHTPDB: ID 1271; 1363; 1410; 1503; 1678; 1892; 1896; 2591; 2747; 3031; 3222; 3344; 3419; 3465; 3790; 3846; 3886; 4441; 4496; 4679; 5429; 5787; 6211; 6569 BindingDB: ID 50188503 BIOPEP-UWM database of bioactive peptides: ID 8759 BIOPEP-UWM database of sensory peptides and amino acids: ID 50 BRENDA: Ligand Ala-Phe CAS: Registry No 3061-90-3 ChEBI: ID 73807 ChEMBL: ID CHEMBL57338 ChemIDPlus: ID 3061-90-3 ChemSpider ID: 87414 DFBP: ID DFBPACEI0116; EPA CompTox: ID DTXSID801312981 EROP-Moscow: ID E04069; E03700 FooDB: ID FDB111753 HMDB: ID HMDB0028694 J-GLOBAL: ID 200907056679638527 MeSH: Terms Ala-Phe; alanylphenylalanine; L-alanyl-L-phenylalanine Metabolights: ID MTBLC73807 Metabolomics Workbench: ID 78669 Nikkaji: ID J80.627G NMRShiftDB: ID 60022205 PlantPepDB: ID PPepDB_241 ProbesDrugs: ID PD165131 PubChem: ID 6992394 ZINC: ID ZINC01575524 | https://webs.iiitd.edu.in/raghava/fermfoodb/display_sub.php?details=FMDB2203 | https://webs.iiitd.edu.in/raghava/fermfoodb/display_sub.php?details=FMDB847 | https://webs.iiitd.edu.in/raghava/fermfoodb/display_sub.php?details=FMDB851 || BIOPEP-UWM || within_range_consistent || spread_ratio=4.8681 || Ace-inhibitory || Identification of ACE-inhibitory peptides in salt-free soy sauce that are transportable across caco-2 cell monolayers || ACE color kit conatining p-hydroxybenzoylglycyl-L-histidyl-L-leucine as substrate | Spectrophotometric assay using HHL as substate || small || exact_molar_value || not_converted: ic50_type不是mass_unit || Kasahara and Ashihara (1981) || RPC, LC-MS/MS || exact_mass_value_converted_to_uM_by_molwt || mass_unit_ug_per_mL_converted_to_uM || NMR, LC-MS, GPC || ACE color kit (Fujirebio Corp., Tokyo, Japan), Ka || RP-HPLC, TLC",8
AG,2,main,True,False,2500.0,2.6020599913279625,0.95,1.0,0.95,merged_backbone,merged_sequence_level_authoritative,True,True,3,5,False,False,Tier B,2500.0,20000.0,2500.0,2500.0,8.0,,,,merged_short23_tiered_standardized || biopep_core_standardized || ahtpdb_clean_um_standardized,ace_merged_000018 | ace_merged_000019 | ace_merged_000020 || 1481 | 6586 | 7600 || biopep_ace_000204 || 7600 || 6586,https://biochemia.uwm.edu.pl/biopep/peptidedatacard.php?zm_ID=7600,"source_count=2; spread_ratio=8.0000 || 2 sources and consistent within acceptable spread || AHTPDB | BIOPEP-UWM || AHTPDB: ID 1481, 1687, 2983, 3049, 3089, 3094, 3234, 3360, 3466, 3553, 3805, 3887, 4420, 4511, 4662, 6586 BindingDB: ID 50169210 BioCyc: Compound ALA-GLY BioPepDB: ID 7600; 8760 BIOPEP-UWM database of bioactive peptides: ID 8760 CAS: Registry No 687-69-4 ChEBI: ID 73757 ChEMBL: ID CHEMBL94250 ChemSpider: ID 5365657 DFBP: ID DFBPACEI1557 ECHA: ID 211-699-9 EcoCyc: Compound ALA-GLY EPA CompTox: ID DTXSID101316944 EROP-Moscow: ID E10393 HMDB: ID HMDB0006899 J-GLOBAL: ID 200907098546421244 MetaboLights: ID MTBLC73786 Metabolomics Workbench: ID 78663 MetaNetX: ID MNXM15783 Nikkaji: ID J79.786C PubChem: CID 6998029 Sabio-RK: ID 28253 SATPdb: ID satpdb22449 Seed: ID cpd11585 UniChem: ID 38896 UNII: ID QXQ6Y9X6ZS Wikidata: ID Q27144089 ZINC: ID ZINC000001888744 || BIOPEP-UWM || small || exact_molar_value || not_converted: ic50_type不是mass_unit",3
AH,2,main,True,False,4761.75,2.322233409533948,0.8,1.0,0.8,merged_backbone,merged_sequence_level_authoritative,True,True,3,4,False,False,Tier D,523.5,9000.0,4761.75,4761.75,17.191977077363898,,,,merged_short23_tiered_standardized || biopep_core_standardized || ahtpdb_clean_um_standardized,ace_merged_000021 | ace_merged_000022 || 1253 | 7835 || biopep_ace_000251 || 7835 || 1253,https://biochemia.uwm.edu.pl/biopep/peptidedatacard.php?zm_ID=7835 || Sweet-potato tuber trypsin inhibitor,"source_count=2; spread_ratio=17.1920 || multi-source evidence but conflicting IC50 range || AHTPDB | BIOPEP-UWM || AHTPDB: ID 1253, 3288, 3326, 3467, 3888, 6738 BindingDB: ID 50348857 BIOPEP-UWM database of bioactive peptides: ID 7886; 8761 BIOPEP-UWM database of sensory peptides and amino acids: ID 522; 523 BRENDA: Ligand Ala-His ChEBI: ID 73771 ChEMBL: ID CHEMBL1221620 ChemSpider: ID 8013175 EChA: ID 3253-17-6 EPA DSSTox: ID DTXCID101474629 EROP-Moscow: ID E09133 FeptideDB: ID 7835; 7886; 8761 HMDB: ID HMDB0028689 J-GLOBAL: ID 200907012902688798 MeSH: term alanylhistidine; ID C061116 Metabolights: ID MTBLC73771 MetaCyc: ID CPD-13401 Nikkaji: ID J899K PubChem: CID 9837455 SATPdb: ID satpdb24875 Seed: ID cpd11584 ZINC: ID ZINC000005115824 || BIOPEP-UWM || small || exact_molar_value || not_converted: ic50_type不是mass_unit || TLC (Holmquist et al., 1979) || TrypsinSepharose-4B AC",3
AI,2,main,True,False,2050.809641535,2.6880746494647156,0.8,1.0,0.8,merged_backbone,merged_sequence_level_authoritative,True,True,4,12,False,False,Tier D,3.41,3415.84158416,2050.809641535,2050.809641535,1001.7130745337242,,,,merged_short23_tiered_standardized || biopep_core_standardized || ferm_strict_core_standardized || ahtpdb_clean_um_standardized,ace_merged_000023 | ace_merged_000024 | ace_merged_000025 | ace_merged_000026 | ace_merged_000027 | ace_merged_000028 || 1273 | 1894 | 6213 | 6604 | 8193 | FMDB849 || biopep_ace_000268 || 8193 || fermfoodb_ace_000254 || FMDB849 || 1273 || 1894 || 6213 || 6604,https://biochemia.uwm.edu.pl/biopep/peptidedatacard.php?zm_ID=8193 || 19994857 || Soybean || Soybean Sauce || Soybean (Glycine max - Fermented soybean seasoning) || Soybean (Soy sauce),"source_count=3; spread_ratio=1001.7131 || multi-source evidence but conflicting IC50 range || AHTPDB | BIOPEP-UWM | FermFooDb || https://webs.iiitd.edu.in/raghava/fermfoodb/display_sub.php?details=FMDB849 || BIOPEP-UWM || singleton || only_one_record_in_fermfoodb || Ace-inhibitory || ACE color kit conatining p-hydroxybenzoylglycyl-L-histidyl-L-leucine as substrate || small || exact_molar_value || not_converted: ic50_type不是mass_unit || Kasahara and Ashihara (1981) || RPC, LC-MS/MS || exact_mass_value_converted_to_uM_by_molwt || mass_unit_ug_per_mL_converted_to_uM || NMR, LC-MS, GPC || ACE color kit (Fujirebio Corp., Tokyo, Japan), Ka || RP-HPLC, TLC",7
AP,2,main,True,False,230.0,3.638272163982407,0.8,1.0,0.8,merged_backbone,merged_sequence_level_authoritative,True,True,4,20,False,False,Tier D,21.0,20000.0,230.0,230.0,952.3809523809524,,,,merged_short23_tiered_standardized || biopep_core_standardized || mbpdb_core_standardized || ahtpdb_clean_um_standardized,ace_merged_000030 | ace_merged_000031 | ace_merged_000032 | ace_merged_000033 | ace_merged_000034 | ace_merged_000035 | ace_merged_000036 | ace_merged_000037 | ace_merged_000038 | ace_merged_000039 | ace_merged_000040 || 1079 | 1504 | 1507 | 3706 | 5135 | 5639 | 5675 | 6162 | 6570 | 7584 | MBPDB_P02788_AP_89-90_513-514_613-614 || biopep_ace_000188 || 7584 || mbpdb_ace_000030 || MBPDB_P02788_AP_89-90_513-514_613-614 || 1079 || 3706 || 5135 || 5639 || 5675 || 6162 || 6570,10.1080/1475636031000138723 || https://biochemia.uwm.edu.pl/biopep/peptidedatacard.php?zm_ID=7584 || Fish (Atlantic salmon) || Arachin || Anchovy (sauce) || Fish (Bonito (sarda fermented sauce)) || Fish (Sardine (Sardina pilchardus fermented sauce)),"source_count=3; spread_ratio=952.3810 || multi-source evidence but conflicting IC50 range || AHTPDB | BIOPEP-UWM | MBPDB || AHTPDB: ID 1079, 1118, 1504, 1507, 3223, 3420, 3468, 3554, 3607, 3706, 3792, 3890, 4060, 4438, 4498, 4685, 5135, 5639, 5675, 6162, 6570 BindingDB: ID 50020390 BIOPEP-UWM database of bioactive peptides: ID 3177 BRENDA: Ligand Ala-Pro CAS: Registry No 13485-59-1 ChEBI: ID 73393 ChEMBL: ID CHEMBL414828 ChemIDplus: ID 013485591 ChemSpider: ID 75359 EChA: ID 236-795-8 EROP-Moscow: ID E09221 FDA SRS: ID C6G5K79L0O FooDB: ID FDB098189 HMDB: ID HMDB0028695 J-GLOBAL: ID 200907099385554660 MeSH: Terms Ala-Pro; L-alanyl-L-proline Metabolights: ID MTBLC73393, MTBLC155848 Metabolomics Workbench: ID 78670 Nikkaji: ID J81.627B NMRShiftDB: ID 60021737 PlantPepDB: ID PPepDB_2898 PubChem: ID 83525 Rhea: ID 155848 SATPdb: ID satpdb17029 SureChEMBL: ID SCHEMBL152403 UNII: ID C6G5K79L0O Wikidata: ID Q27140485 ZINC: ID ZINC04521128 || BIOPEP-UWM || Characterization of New Milk-derived Inhibitors of Angiotensin Converting Enzyme In Vitro and In Vivo || Homo sapiens || Lactotransferrin || small || exact_molar_value || not_converted: ic50_type不是mass_unit || Cushman and Cheung (1971), Wang et al. || RP-HPLC || exact_mass_value_converted_to_uM_by_molwt || mass_unit_mg_per_mL_converted_to_uM || Cushman and Cheung (1971) || GFC, IEC, RP-HPLC",10
AR,2,main,True,False,95.5,4.019996628416253,0.95,1.0,0.95,merged_backbone,merged_sequence_level_authoritative,True,True,3,8,False,False,Tier B,95.5,95.5,95.5,95.5,1.0,,,,merged_short23_tiered_standardized || biopep_core_standardized || ahtpdb_clean_um_standardized,ace_merged_000041 | ace_merged_000042 | ace_merged_000043 | ace_merged_000044 || 5136 | 6110 | 6690 | 7742 || biopep_ace_000234 || 7742 || 5136 || 6110 || 6690,https://biochemia.uwm.edu.pl/biopep/peptidedatacard.php?zm_ID=7742 || Pork (Sus domesticus skeletal muscle) || Porcine muscle,"source_count=2; spread_ratio=1.0000 || 2 sources and consistent within acceptable spread || AHTPDB | BIOPEP-UWM || AHTPDB: ID 1699, 3274, 3891, 4704, 5136, 5870, 6110, 6690 BioPepDB: ID 7742 BIOPEP-UWM database of sensory peptides and amino acids: ID 421 BRENDA: Ligand Ala-Arg CAS: Registry No 16709-12-9 ChEBI: ID 137238 ChemSpider: ID 393568 DFBP: ID DFBPACEI0224 EPA CompTox: ID DTXSID60332213 EROP-Moscow: ID E14726 FooDB: ID FDB111741 HMDB: ID HMDB0028681 J-GLOBAL: ID 200907044095231737 Metabolomics Workbench: ID 78657 MMDB: ID 1253.4 Nikkaji: ID J82.535B PubChem: CID 446132 SATPdb: ID satpdb15773 SureChEMBL: ID SCHEMBL2490761 UniChem: ID 25075270 Wikidata: ID Q82096759 ZINC: ID ZINC02579085 || BIOPEP-UWM || small || exact_molar_value || not_converted: ic50_type不是mass_unit || Sentandreu and Toldra (2006)",5
AV,2,main,True,False,956.28,3.0194149271271233,0.85,1.0,0.85,merged_backbone,merged_sequence_level_authoritative,True,True,2,2,False,False,Tier C,956.28,956.28,956.28,956.28,1.0,,,,merged_short23_tiered_standardized || biopep_core_standardized,ace_merged_000045 || 8951 || biopep_ace_000303,https://biochemia.uwm.edu.pl/biopep/peptidedatacard.php?zm_ID=8951,only_one_record_after_merge || single-source evidence with usable IC50 || BIOPEP-UWM || BindingDB: ID BDBM50348854 BIOPEP-UWM database of bioactive peptides: ID 8764 BRENDA: Ligand Ala-Val CAS: Registry No 3303-45-5 ChEBI: ID 73809 ChEMBL: ID CHEMBL301674 ChemSpider: ID 87399 DFBP: DFBPACEI0225; EROP-Moscow: ID E16892 FeptideDB: ID 8764; 8951 HMDB: ID HMDB0028700 J-GLOBAL: ID 200907072905284216 Metabolights: ID MTBLC73809 Nikkaji: ID J149.640I PubChem: CID 96799 SureChEMBL: ID SCHEMBL595439 ZINC: ID ZINC000001575505,2
AW,2,main,True,False,18.8,4.72584215073632,0.8,1.0,0.8,merged_backbone,merged_sequence_level_authoritative,True,True,4,27,False,False,Tier D,10.0,20000.0,18.8,18.8,2000.0,,,,merged_short23_tiered_standardized || biopep_core_standardized || ferm_strict_core_standardized || ahtpdb_clean_um_standardized,ace_merged_000046 | ace_merged_000047 | ace_merged_000048 | ace_merged_000049 | ace_merged_000050 | ace_merged_000051 | ace_merged_000052 | ace_merged_000053 | ace_merged_000054 | ace_merged_000055 | ace_merged_000056 | ace_merged_000057 | ace_merged_000058 | ace_merged_000059 | ace_merged_000060 || 1266 | 1376 | 1441 | 1496 | 1856 | 1887 | 2844 | 5137 | 6206 | 6269 | 6530 | 7543 | FMDB1982 | FMDB1989 | FMDB842 || biopep_ace_000166 || 7543 || fermfoodb_ace_000247 | fermfoodb_ace_000755 | fermfoodb_ace_000762 || FMDB1982 | FMDB1989 | FMDB842 || 1266 || 1856 || 1887 || 2844 || 5137 || 6206 || 6269 || 6530,https://biochemia.uwm.edu.pl/biopep/peptidedatacard.php?zm_ID=7543 || 12358510 | 19994857 || Soybean || Wakame || Soybean Sauce || Synthesized || Soybean (Glycine max - Fermented soybean seasoning) || Wakame (Undaria pinnatifida) || Cereals (Finnish),"source_count=3; spread_ratio=2000.0000 || multi-source evidence but conflicting IC50 range || AHTPDB | BIOPEP-UWM | FermFooDb || https://webs.iiitd.edu.in/raghava/fermfoodb/display_sub.php?details=FMDB1982 | https://webs.iiitd.edu.in/raghava/fermfoodb/display_sub.php?details=FMDB1989 | https://webs.iiitd.edu.in/raghava/fermfoodb/display_sub.php?details=FMDB842 || BIOPEP-UWM || within_range_consistent || spread_ratio=1.9333 || Ace-inhibitory || ACE color kit conatining p-hydroxybenzoylglycyl-L-histidyl-L-leucine as substrate | Spectrophotometric assay using HHL as substate || small || exact_molar_value || not_converted: ic50_type不是mass_unit || Kasahara and Ashihara (1981) || RPC, LC-MS/MS || Cushman and Cheung (1971) || RP-HPLC, LC-MS || exact_mass_value_converted_to_uM_by_molwt || mass_unit_ug_per_mL_converted_to_uM || NMR, LC-MS, GPC || ACE color kit (Fujirebio Corp., Tokyo, Japan), Ka || RP-HPLC, TLC || RP-HPLC",11
