sequence,length,task_role,is_main_23,is_aux_45,label_ic50_uM,label_pIC50,cls_label,cls_label_name,plm4ace_label,cls_source,cls_threshold_ic50_uM,cls_length_range,sample_weight,weight_len,weight_quality,source_count,record_count_total,high_confidence_flag,conflict_flag,tier_23,ic50_uM_min,ic50_uM_max,ic50_uM_median,ic50_uM_mean,ic50_spread_ratio_max_min,source_db_set,origin_source_set,citation_ids,notes,dedup_strategy,label_source_mode,is_from_merged_backbone,contains_merged,source_table_set,source_file_set,raw_record_ids,row_count_after_filter
YPI,3,main,True,False,52.3156308274,4.281368533544343,0,low_or_weak_activity,1,label_ic50_uM <= 50.0 uM,50.0,2_3,0.85,1.0,0.85,2,2,False,False,Tier C,52.3156308274,52.3156308274,52.3156308274,52.3156308274,1.0,,merged_short23_tiered_standardized || ahtpdb_clean_um_standardized,Egg white,only_one_record_after_merge || single-source evidence with usable IC50 || AHTPDB || small || exact_mass_value_converted_to_uM_by_molwt || mass_unit_ug_per_mL_converted_to_uM || Cushman and Cheung (1971) || RP-HPLC,merged_backbone,merged_sequence_level_authoritative,True,True,,,ace_merged_002059 || 2900,2
IPA,3,main,True,False,141.0,3.85078088734462,0,low_or_weak_activity,1,label_ic50_uM <= 50.0 uM,50.0,2_3,0.8,1.0,0.8,3,21,False,False,Tier D,141.0,20000.0,141.0,141.0,141.84397163120568,,merged_short23_tiered_standardized || mbpdb_core_standardized || ahtpdb_clean_um_standardized,10.3168/jds.S0022-0302(98)75878-3 || Whey (Whole whey protein) || Lactogloblin || Enzymatic-hydrolysis (Hydrolysis with proteinase K) || Milk derived || Cheese whey protein || Beta Lactoglobulin || Milk (cheese whey) || Whey protein,"source_count=2; spread_ratio=141.8440 || multi-source evidence but conflicting IC50 range || AHTPDB | MBPDB || Structural analysis of new antihypertensive peptides derived from cheese whey protein by proteinase K digestion || Bos taurus || Beta-lactoglobulin || small || exact_molar_value || not_converted: ic50_type不是mass_unit || Yamamoto et al. || HIC, RP-HPLC || Enzymatic Hydrolysis of milk proteins || Cushman and Cheung (1971) || Spectrophotometric, HPLC, UPLC || RP-HPLC, GF || GFC, RP-HPLC, HIC",merged_backbone,merged_sequence_level_authoritative,True,True,,,ace_merged_001234 | ace_merged_001235 | ace_merged_001236 | ace_merged_001237 | ace_merged_001238 | ace_merged_001239 | ace_merged_001240 | ace_merged_001241 | ace_merged_001242 | ace_merged_001243 | ace_merged_001244 || 1300 | 1588 | 1661 | 1740 | 2261 | 2579 | 5218 | 5562 | 5947 | 6426 | MBPDB_P02754_IPA_94-96 || mbpdb_ace_000075 || MBPDB_P02754_IPA_94-96 || 1300 || 1661 || 1740 || 2261 || 2579 || 5218 || 5562 || 5947 || 6426,11
YRP,3,main,True,False,89.56,4.047885915093008,0,low_or_weak_activity,1,label_ic50_uM <= 50.0 uM,50.0,2_3,0.85,1.0,0.85,2,2,False,False,Tier C,89.56,89.56,89.56,89.56,1.0,,merged_short23_tiered_standardized || biopep_core_standardized,https://biochemia.uwm.edu.pl/biopep/peptidedatacard.php?zm_ID=10587,only_one_record_after_merge || single-source evidence with usable IC50 || BIOPEP-UWM,merged_backbone,merged_sequence_level_authoritative,True,True,,,ace_merged_002071 || 10587 || biopep_ace_000726,2
YV,2,main,True,False,10287.7,1.9876817087126435,0,low_or_weak_activity,1,label_ic50_uM <= 50.0 uM,50.0,2_3,0.8,1.0,0.8,2,3,False,False,Tier D,575.4,20000.0,10287.7,10287.7,34.758428919012864,,merged_short23_tiered_standardized || biopep_core_standardized,https://biochemia.uwm.edu.pl/biopep/peptidedatacard.php?zm_ID=9077,"source_count=2; spread_ratio=34.7584 || multi-source evidence but conflicting IC50 range || AHTPDB | BIOPEP-UWM || AHTPDB: ID 1416, 2688 BioPepDB: ID biopep01639 BIOPEP-UWM database of bioactive peptides: ID 8946 ChEBI: ID 75007 ChemSpider: ID 5373139 J-GLOBAL: ID 200907025118841649 Nikkaji: ID J149.636K PubChem: CID 7009560 SATPdb: ID satpdb13043 SDBS: ID 4355 || BIOPEP-UWM",merged_backbone,merged_sequence_level_authoritative,True,True,,,ace_merged_000815 | ace_merged_000816 || 1416 | 9077 || biopep_ace_000374 || 9077,2
KYY,3,main,True,False,79.0,4.102372908709558,0,low_or_weak_activity,1,label_ic50_uM <= 50.0 uM,50.0,2_3,0.85,1.0,0.85,2,2,False,False,Tier C,79.0,79.0,79.0,79.0,1.0,,merged_short23_tiered_standardized || ahtpdb_clean_um_standardized,,only_one_record_after_merge || single-source evidence with usable IC50 || AHTPDB || small || exact_molar_value || not_converted: ic50_type不是mass_unit,merged_backbone,merged_sequence_level_authoritative,True,True,,,ace_merged_001396 || 6640,2
AC,2,main,True,False,547.02,3.261996794816751,0,low_or_weak_activity,1,label_ic50_uM <= 50.0 uM,50.0,2_3,0.85,1.0,0.85,2,2,False,False,Tier C,547.02,547.02,547.02,547.02,1.0,,merged_short23_tiered_standardized || biopep_core_standardized,https://biochemia.uwm.edu.pl/biopep/peptidedatacard.php?zm_ID=11320,only_one_record_after_merge || single-source evidence with usable IC50 || BIOPEP-UWM || CAS: Regisrty No 2490-72-4 ChEBI: ID 157787 ChemSpider: ID 8233955 ECHA: ID 639-467-6 FooDB: ID FDB111744 HMDB: ID HMDB0028684 Metabolomics Workbench: ID 78660 Nikkaji: ID J699.169F PubChem: CID 10058401 SureChEMBL: ID 2544386 UniChem: ID 25850271 Wikidata: ID Q106026464 ZINC: ID ZINC000008577160,merged_backbone,merged_sequence_level_authoritative,True,True,,,ace_merged_000005 || 11320 || biopep_ace_000834,2
GK,2,main,True,False,5400.0,2.2676062401770314,0,low_or_weak_activity,1,label_ic50_uM <= 50.0 uM,50.0,2_3,0.95,1.0,0.95,3,5,False,False,Tier B,5400.0,20000.0,5400.0,5400.0,3.703703703703704,,merged_short23_tiered_standardized || biopep_core_standardized || ahtpdb_clean_um_standardized,https://biochemia.uwm.edu.pl/biopep/peptidedatacard.php?zm_ID=7611,source_count=2; spread_ratio=3.7037 || 2 sources and consistent within acceptable spread || AHTPDB | BIOPEP-UWM || BIOPEP-UWM || small || exact_molar_value || not_converted: ic50_type不是mass_unit,merged_backbone,merged_sequence_level_authoritative,True,True,,,ace_merged_000218 | ace_merged_000219 | ace_merged_000220 || 1430 | 6597 | 7611 || biopep_ace_000215 || 7611 || 6597,3
GHG,3,main,True,False,122.0,3.913640169325252,0,low_or_weak_activity,1,label_ic50_uM <= 50.0 uM,50.0,2_3,0.95,1.0,0.95,3,6,False,False,Tier B,122.0,122.0,122.0,122.0,1.0,,merged_short23_tiered_standardized || biopep_core_standardized || ahtpdb_clean_um_standardized,https://biochemia.uwm.edu.pl/biopep/peptidedatacard.php?zm_ID=9191 || Cuttlefish (Sepia officinalis),"source_count=2; spread_ratio=1.0000 || 2 sources and consistent within acceptable spread || AHTPDB | BIOPEP-UWM || AHTPDB: ID 4794, 5206, 5722 BRENDA: Ligand Gly-His-Gly ChEMBL: ID CHEMBL1221712 ChemIDplus: ID 7758-33-0 ChemSpider: ID 87910 EROP-Moscow: ID E09359 J-GLOBAL: ID 200907092007707195 Nikkaji: ID J364.678E PubChem: CID 97396 SATPdb: ID satpdb17895 SureChEMBL: ID SCHEMBL259179 ZINC: ID ZINC000002571362 || BIOPEP-UWM || small || exact_molar_value || not_converted: ic50_type不是mass_unit || Cushman and Cheung (1971) || GFC, RP-HPLC",merged_backbone,merged_sequence_level_authoritative,True,True,,,ace_merged_001018 | ace_merged_001019 | ace_merged_001020 || 5206 | 5722 | 9191 || biopep_ace_000443 || 9191 || 5206 || 5722,4
ARF,3,main,True,False,3.0,5.522878745280337,1,high_activity,0,label_ic50_uM <= 50.0 uM,50.0,2_3,0.85,1.0,0.85,2,2,False,False,Tier C,3.0,3.0,3.0,3.0,1.0,,merged_short23_tiered_standardized || ahtpdb_clean_um_standardized,Soybean proteins,only_one_record_after_merge || single-source evidence with usable IC50 || AHTPDB || small || exact_molar_value || not_converted: ic50_type不是mass_unit,merged_backbone,merged_sequence_level_authoritative,True,True,,,ace_merged_000883 || 1986,2
ITH,3,main,True,False,28.77,4.541060138109674,1,high_activity,0,label_ic50_uM <= 50.0 uM,50.0,2_3,0.85,1.0,0.85,2,2,False,False,Tier C,28.77,28.77,28.77,28.77,1.0,,merged_short23_tiered_standardized || biopep_core_standardized,https://biochemia.uwm.edu.pl/biopep/peptidedatacard.php?zm_ID=11314,only_one_record_after_merge || single-source evidence with usable IC50 || BIOPEP-UWM || ChEBI: ID 158784 EPA CompTox: ID DTXSID70776104 Metabolomics Workbench: ID 82984 PubChem: CID 145456280 UniChem: ID 176704823 Wikidata: ID Q106012363,merged_backbone,merged_sequence_level_authoritative,True,True,,,ace_merged_001347 || 11314 || biopep_ace_000828,2
