dataset,seed,split,metric,value
acepair_cls_2_5,42,train,n_total,518
acepair_cls_2_5,42,train,cls_label_0,306
acepair_cls_2_5,42,train,cls_label_1,212
acepair_cls_2_5,42,train,length_2,100
acepair_cls_2_5,42,train,length_3,209
acepair_cls_2_5,42,train,length_4,93
acepair_cls_2_5,42,train,length_5,116
acepair_cls_2_5,42,valid,n_total,130
acepair_cls_2_5,42,valid,cls_label_0,77
acepair_cls_2_5,42,valid,cls_label_1,53
acepair_cls_2_5,42,valid,length_2,21
acepair_cls_2_5,42,valid,length_3,46
acepair_cls_2_5,42,valid,length_4,30
acepair_cls_2_5,42,valid,length_5,33
acepair_cls_2_5,42,test,n_total,162
acepair_cls_2_5,42,test,cls_label_0,96
acepair_cls_2_5,42,test,cls_label_1,66
acepair_cls_2_5,42,test,length_2,30
acepair_cls_2_5,42,test,length_3,62
acepair_cls_2_5,42,test,length_4,32
acepair_cls_2_5,42,test,length_5,38
acepair_cls_2_5,52,train,n_total,518
acepair_cls_2_5,52,train,cls_label_0,306
acepair_cls_2_5,52,train,cls_label_1,212
acepair_cls_2_5,52,train,length_2,96
acepair_cls_2_5,52,train,length_3,193
acepair_cls_2_5,52,train,length_4,101
acepair_cls_2_5,52,train,length_5,128
acepair_cls_2_5,52,valid,n_total,130
acepair_cls_2_5,52,valid,cls_label_0,77
acepair_cls_2_5,52,valid,cls_label_1,53
acepair_cls_2_5,52,valid,length_2,24
acepair_cls_2_5,52,valid,length_3,52
acepair_cls_2_5,52,valid,length_4,25
acepair_cls_2_5,52,valid,length_5,29
acepair_cls_2_5,52,test,n_total,162
acepair_cls_2_5,52,test,cls_label_0,96
acepair_cls_2_5,52,test,cls_label_1,66
acepair_cls_2_5,52,test,length_2,31
acepair_cls_2_5,52,test,length_3,72
acepair_cls_2_5,52,test,length_4,29
acepair_cls_2_5,52,test,length_5,30
acepair_cls_2_5,62,train,n_total,518
acepair_cls_2_5,62,train,cls_label_0,306
acepair_cls_2_5,62,train,cls_label_1,212
acepair_cls_2_5,62,train,length_2,95
acepair_cls_2_5,62,train,length_3,198
acepair_cls_2_5,62,train,length_4,104
acepair_cls_2_5,62,train,length_5,121
acepair_cls_2_5,62,valid,n_total,130
acepair_cls_2_5,62,valid,cls_label_0,77
acepair_cls_2_5,62,valid,cls_label_1,53
acepair_cls_2_5,62,valid,length_2,23
acepair_cls_2_5,62,valid,length_3,54
acepair_cls_2_5,62,valid,length_4,25
acepair_cls_2_5,62,valid,length_5,28
acepair_cls_2_5,62,test,n_total,162
acepair_cls_2_5,62,test,cls_label_0,96
acepair_cls_2_5,62,test,cls_label_1,66
acepair_cls_2_5,62,test,length_2,33
acepair_cls_2_5,62,test,length_3,65
acepair_cls_2_5,62,test,length_4,26
acepair_cls_2_5,62,test,length_5,38
acepair_cls_2_5,72,train,n_total,518
acepair_cls_2_5,72,train,cls_label_0,306
acepair_cls_2_5,72,train,cls_label_1,212
acepair_cls_2_5,72,train,length_2,93
acepair_cls_2_5,72,train,length_3,211
acepair_cls_2_5,72,train,length_4,105
acepair_cls_2_5,72,train,length_5,109
acepair_cls_2_5,72,valid,n_total,130
acepair_cls_2_5,72,valid,cls_label_0,77
acepair_cls_2_5,72,valid,cls_label_1,53
acepair_cls_2_5,72,valid,length_2,30
acepair_cls_2_5,72,valid,length_3,48
acepair_cls_2_5,72,valid,length_4,21
acepair_cls_2_5,72,valid,length_5,31
acepair_cls_2_5,72,test,n_total,162
acepair_cls_2_5,72,test,cls_label_0,96
acepair_cls_2_5,72,test,cls_label_1,66
acepair_cls_2_5,72,test,length_2,28
acepair_cls_2_5,72,test,length_3,58
acepair_cls_2_5,72,test,length_4,29
acepair_cls_2_5,72,test,length_5,47
acepair_cls_2_5,82,train,n_total,518
acepair_cls_2_5,82,train,cls_label_0,306
acepair_cls_2_5,82,train,cls_label_1,212
acepair_cls_2_5,82,train,length_2,87
acepair_cls_2_5,82,train,length_3,208
acepair_cls_2_5,82,train,length_4,103
acepair_cls_2_5,82,train,length_5,120
acepair_cls_2_5,82,valid,n_total,130
acepair_cls_2_5,82,valid,cls_label_0,77
acepair_cls_2_5,82,valid,cls_label_1,53
acepair_cls_2_5,82,valid,length_2,26
acepair_cls_2_5,82,valid,length_3,57
acepair_cls_2_5,82,valid,length_4,19
acepair_cls_2_5,82,valid,length_5,28
acepair_cls_2_5,82,test,n_total,162
acepair_cls_2_5,82,test,cls_label_0,96
acepair_cls_2_5,82,test,cls_label_1,66
acepair_cls_2_5,82,test,length_2,38
acepair_cls_2_5,82,test,length_3,52
acepair_cls_2_5,82,test,length_4,33
acepair_cls_2_5,82,test,length_5,39
