dataset,seed,split,metric,value
acepair_cls_2_5,42,train,n_total,518
acepair_cls_2_5,42,train,cls_label_0,306
acepair_cls_2_5,42,train,cls_label_1,212
acepair_cls_2_5,42,train,length_2,100
acepair_cls_2_5,42,train,length_3,209
acepair_cls_2_5,42,train,length_4,93
acepair_cls_2_5,42,train,length_5,116
acepair_cls_2_5,42,valid,n_total,130
acepair_cls_2_5,42,valid,cls_label_0,77
acepair_cls_2_5,42,valid,cls_label_1,53
acepair_cls_2_5,42,valid,length_2,21
acepair_cls_2_5,42,valid,length_3,46
acepair_cls_2_5,42,valid,length_4,30
acepair_cls_2_5,42,valid,length_5,33
acepair_cls_2_5,42,test,n_total,162
acepair_cls_2_5,42,test,cls_label_0,96
acepair_cls_2_5,42,test,cls_label_1,66
acepair_cls_2_5,42,test,length_2,30
acepair_cls_2_5,42,test,length_3,62
acepair_cls_2_5,42,test,length_4,32
acepair_cls_2_5,42,test,length_5,38
