dataset,seed,split,metric,value
plm4ace_cleaned_2_3,42,train,n_total,208
plm4ace_cleaned_2_3,42,train,cls_label_0,130
plm4ace_cleaned_2_3,42,train,cls_label_1,78
plm4ace_cleaned_2_3,42,train,length_2,74
plm4ace_cleaned_2_3,42,train,length_3,134
plm4ace_cleaned_2_3,42,valid,n_total,52
plm4ace_cleaned_2_3,42,valid,cls_label_0,32
plm4ace_cleaned_2_3,42,valid,cls_label_1,20
plm4ace_cleaned_2_3,42,valid,length_2,20
plm4ace_cleaned_2_3,42,valid,length_3,32
plm4ace_cleaned_2_3,42,test,n_total,66
plm4ace_cleaned_2_3,42,test,cls_label_0,41
plm4ace_cleaned_2_3,42,test,cls_label_1,25
plm4ace_cleaned_2_3,42,test,length_2,28
plm4ace_cleaned_2_3,42,test,length_3,38
plm4ace_cleaned_2_3,52,train,n_total,208
plm4ace_cleaned_2_3,52,train,cls_label_0,130
plm4ace_cleaned_2_3,52,train,cls_label_1,78
plm4ace_cleaned_2_3,52,train,length_2,76
plm4ace_cleaned_2_3,52,train,length_3,132
plm4ace_cleaned_2_3,52,valid,n_total,52
plm4ace_cleaned_2_3,52,valid,cls_label_0,32
plm4ace_cleaned_2_3,52,valid,cls_label_1,20
plm4ace_cleaned_2_3,52,valid,length_2,20
plm4ace_cleaned_2_3,52,valid,length_3,32
plm4ace_cleaned_2_3,52,test,n_total,66
plm4ace_cleaned_2_3,52,test,cls_label_0,41
plm4ace_cleaned_2_3,52,test,cls_label_1,25
plm4ace_cleaned_2_3,52,test,length_2,26
plm4ace_cleaned_2_3,52,test,length_3,40
plm4ace_cleaned_2_3,62,train,n_total,208
plm4ace_cleaned_2_3,62,train,cls_label_0,130
plm4ace_cleaned_2_3,62,train,cls_label_1,78
plm4ace_cleaned_2_3,62,train,length_2,82
plm4ace_cleaned_2_3,62,train,length_3,126
plm4ace_cleaned_2_3,62,valid,n_total,52
plm4ace_cleaned_2_3,62,valid,cls_label_0,32
plm4ace_cleaned_2_3,62,valid,cls_label_1,20
plm4ace_cleaned_2_3,62,valid,length_2,13
plm4ace_cleaned_2_3,62,valid,length_3,39
plm4ace_cleaned_2_3,62,test,n_total,66
plm4ace_cleaned_2_3,62,test,cls_label_0,41
plm4ace_cleaned_2_3,62,test,cls_label_1,25
plm4ace_cleaned_2_3,62,test,length_2,27
plm4ace_cleaned_2_3,62,test,length_3,39
plm4ace_cleaned_2_3,72,train,n_total,208
plm4ace_cleaned_2_3,72,train,cls_label_0,130
plm4ace_cleaned_2_3,72,train,cls_label_1,78
plm4ace_cleaned_2_3,72,train,length_2,71
plm4ace_cleaned_2_3,72,train,length_3,137
plm4ace_cleaned_2_3,72,valid,n_total,52
plm4ace_cleaned_2_3,72,valid,cls_label_0,32
plm4ace_cleaned_2_3,72,valid,cls_label_1,20
plm4ace_cleaned_2_3,72,valid,length_2,22
plm4ace_cleaned_2_3,72,valid,length_3,30
plm4ace_cleaned_2_3,72,test,n_total,66
plm4ace_cleaned_2_3,72,test,cls_label_0,41
plm4ace_cleaned_2_3,72,test,cls_label_1,25
plm4ace_cleaned_2_3,72,test,length_2,29
plm4ace_cleaned_2_3,72,test,length_3,37
plm4ace_cleaned_2_3,82,train,n_total,208
plm4ace_cleaned_2_3,82,train,cls_label_0,130
plm4ace_cleaned_2_3,82,train,cls_label_1,78
plm4ace_cleaned_2_3,82,train,length_2,84
plm4ace_cleaned_2_3,82,train,length_3,124
plm4ace_cleaned_2_3,82,valid,n_total,52
plm4ace_cleaned_2_3,82,valid,cls_label_0,32
plm4ace_cleaned_2_3,82,valid,cls_label_1,20
plm4ace_cleaned_2_3,82,valid,length_2,14
plm4ace_cleaned_2_3,82,valid,length_3,38
plm4ace_cleaned_2_3,82,test,n_total,66
plm4ace_cleaned_2_3,82,test,cls_label_0,41
plm4ace_cleaned_2_3,82,test,cls_label_1,25
plm4ace_cleaned_2_3,82,test,length_2,24
plm4ace_cleaned_2_3,82,test,length_3,42
