dataset,seed,split,metric,value
plm4ace_cleaned_2_3,52,train,n_total,208
plm4ace_cleaned_2_3,52,train,cls_label_0,130
plm4ace_cleaned_2_3,52,train,cls_label_1,78
plm4ace_cleaned_2_3,52,train,length_2,76
plm4ace_cleaned_2_3,52,train,length_3,132
plm4ace_cleaned_2_3,52,valid,n_total,52
plm4ace_cleaned_2_3,52,valid,cls_label_0,32
plm4ace_cleaned_2_3,52,valid,cls_label_1,20
plm4ace_cleaned_2_3,52,valid,length_2,20
plm4ace_cleaned_2_3,52,valid,length_3,32
plm4ace_cleaned_2_3,52,test,n_total,66
plm4ace_cleaned_2_3,52,test,cls_label_0,41
plm4ace_cleaned_2_3,52,test,cls_label_1,25
plm4ace_cleaned_2_3,52,test,length_2,26
plm4ace_cleaned_2_3,52,test,length_3,40
