sample_id,sequence,length,task_role,is_main_23,is_aux_45,label_pIC50,label_ic50_uM,sample_weight,weight_len,weight_quality,source_count,is_from_merged_backbone,contains_merged,high_confidence_flag,conflict_flag,tier_23,dedup_strategy,label_source_mode,ic50_uM_min,ic50_uM_max,ic50_uM_median,ic50_uM_mean,ic50_spread_ratio_max_min,source_db_set,source_table_set,source_file_set,origin_source_set,raw_record_ids,citation_ids,notes,record_count_total,row_count_after_filter
AUX_0261,MNPPK,5,aux,False,True,3.024338466818941,945.5,0.35,0.5,0.7,1,False,False,False,False,,cross_source_or_source_only_aggregation,aggregated_from_filtered_exact_candidates,945.5,954.99,945.5,947.0816666666666,1.010037017451084,,,,ahtpdb_clean_um_standardized,2018 || 2527 || 2701 || 2901 || 5715 || 6557,Pork skeletal muscle proteins || Porcine skeletal muscle || Porcine myosin,"small || exact_molar_value || not_converted: ic50_type不是mass_unit || Cushman and Cheung (1971) || RP-HPLC || Cushman and Cheung (1971), Yamamoto and others || HPLC, FAB-MS",6,6
MAIN_0005,AH,2,main,True,False,2.322233409533948,4761.75,0.8,1.0,0.8,3,True,True,False,False,Tier D,merged_backbone,merged_sequence_level_authoritative,523.5,9000.0,4761.75,4761.75,17.191977077363898,,,,merged_short23_tiered_standardized || biopep_core_standardized || ahtpdb_clean_um_standardized,ace_merged_000021 | ace_merged_000022 || 1253 | 7835 || biopep_ace_000251 || 7835 || 1253,https://biochemia.uwm.edu.pl/biopep/peptidedatacard.php?zm_ID=7835 || Sweet-potato tuber trypsin inhibitor,"source_count=2; spread_ratio=17.1920 || multi-source evidence but conflicting IC50 range || AHTPDB | BIOPEP-UWM || AHTPDB: ID 1253, 3288, 3326, 3467, 3888, 6738 BindingDB: ID 50348857 BIOPEP-UWM database of bioactive peptides: ID 7886; 8761 BIOPEP-UWM database of sensory peptides and amino acids: ID 522; 523 BRENDA: Ligand Ala-His ChEBI: ID 73771 ChEMBL: ID CHEMBL1221620 ChemSpider: ID 8013175 EChA: ID 3253-17-6 EPA DSSTox: ID DTXCID101474629 EROP-Moscow: ID E09133 FeptideDB: ID 7835; 7886; 8761 HMDB: ID HMDB0028689 J-GLOBAL: ID 200907012902688798 MeSH: term alanylhistidine; ID C061116 Metabolights: ID MTBLC73771 MetaCyc: ID CPD-13401 Nikkaji: ID J899K PubChem: CID 9837455 SATPdb: ID satpdb24875 Seed: ID cpd11584 ZINC: ID ZINC000005115824 || BIOPEP-UWM || small || exact_molar_value || not_converted: ic50_type不是mass_unit || TLC (Holmquist et al., 1979) || TrypsinSepharose-4B AC",4,3
AUX_0163,ALPHA,5,aux,False,True,5.0,10.0,0.4,0.5,0.8,2,False,False,False,False,,cross_source_or_source_only_aggregation,aggregated_from_filtered_exact_candidates,10.0,79.0,10.0,29.714285714285715,7.9,,,,biopep_core_standardized || ahtpdb_clean_um_standardized,biopep_ace_000056 || 3343 || 1067 || 5309 || 5310 || 5659 || 5672 || 6340,https://biochemia.uwm.edu.pl/biopep/peptidedatacard.php?zm_ID=3343 || Fish (Dried Bonito) || Fish (Bonito (Sarda - dried bonito (katsuobusi))) || Fish (Bonito (Sarda bowel)) || Fish (Dried bonito),"BIOPEP-UWM || small || exact_molar_value || not_converted: ic50_type不是mass_unit || Cushman and Cheung (1971) || HPLC || RP-HPLC, HIC || GFC, IEC, RP-HPLC, HIC",7,7
AUX_0057,LFRQ,4,aux,False,True,4.769551078621726,17.0,0.42,0.6,0.7,1,False,False,False,False,,cross_source_or_source_only_aggregation,aggregated_from_filtered_exact_candidates,17.0,17.0,17.0,17.0,1.0,,,,ahtpdb_clean_um_standardized,6647,,small || exact_molar_value || not_converted: ic50_type不是mass_unit,1,1
AUX_0004,AHHP,4,aux,False,True,3.071809051961243,847.6,0.48,0.6,0.8,2,False,False,False,False,,cross_source_or_source_only_aggregation,aggregated_from_filtered_exact_candidates,847.6,847.6,847.6,847.6,1.0,,,,mbpdb_core_standardized || ahtpdb_clean_um_standardized,mbpdb_ace_000329 || MBPDB_P02668 Genetic Variant C_AHHP_117-120 || 5273 || 5873,10.3168/jds.2008-1671 || Milk (bovine lactoglobulin),Short communication: Bovine κ-casein variants result in different angiotensin I converting enzyme (ACE) inhibitory peptides || Bos taurus || Kappa-casein Genetic Variant C || small || exact_molar_value || not_converted: ic50_type不是mass_unit || Cushman and Cheung (1971),3,3
MAIN_0205,GFR,3,main,True,False,4.02571864112217,94.25,0.85,1.0,0.85,2,True,True,False,False,Tier C,merged_backbone,merged_sequence_level_authoritative,94.25,94.25,94.25,94.25,1.0,,,,merged_short23_tiered_standardized || ahtpdb_clean_um_standardized,ace_merged_001009 || 1235,Sweet-potato tuber defensin,"only_one_record_after_merge || single-source evidence with usable IC50 || AHTPDB || small || exact_molar_value || not_converted: ic50_type不是mass_unit || TLC (Holmquist et al., 1979) || Ni2+-chelate AC",2,2
MAIN_0393,TLS,3,main,True,False,3.9909742579130896,102.1,0.85,1.0,0.85,2,True,True,False,False,Tier C,merged_backbone,merged_sequence_level_authoritative,102.1,102.1,102.1,102.1,1.0,,,,merged_short23_tiered_standardized || biopep_core_standardized,ace_merged_001801 || 9160 || biopep_ace_000429,https://biochemia.uwm.edu.pl/biopep/peptidedatacard.php?zm_ID=9160,only_one_record_after_merge || single-source evidence with usable IC50 || BIOPEP-UWM,2,2
AUX_0118,VFER,4,aux,False,True,3.815876645760329,152.8,0.42,0.6,0.7,1,False,False,False,False,,cross_source_or_source_only_aggregation,aggregated_from_filtered_exact_candidates,152.8,152.8,152.8,152.8,1.0,,,,ahtpdb_clean_um_standardized,2754,Antarctic krill (Euphausia superba),"small || exact_molar_value || not_converted: ic50_type不是mass_unit || Holmquist et al. (1979) || SEC, UPLC-ESI-MS",1,1
MAIN_0286,KGP,3,main,True,False,3.7644715530924513,172.0,0.85,1.0,0.85,2,True,True,False,False,Tier C,merged_backbone,merged_sequence_level_authoritative,172.0,172.0,172.0,172.0,1.0,,,,merged_short23_tiered_standardized || biopep_core_standardized,ace_merged_001389 || 9148 || biopep_ace_000417,https://biochemia.uwm.edu.pl/biopep/peptidedatacard.php?zm_ID=9148,only_one_record_after_merge || single-source evidence with usable IC50 || BIOPEP-UWM || PubChem: CID 18639102 SureChEMBL: ID SCHEMBL10396256,2,2
AUX_0128,VVGP,4,aux,False,True,4.012333735073725,97.2,0.42,0.6,0.7,1,False,False,False,False,,cross_source_or_source_only_aggregation,aggregated_from_filtered_exact_candidates,97.2,97.2,97.2,97.2,1.0,,,,biopep_core_standardized,biopep_ace_000425 || 9156,https://biochemia.uwm.edu.pl/biopep/peptidedatacard.php?zm_ID=9156,BIOPEP-UWM,1,1
AUX_0300,STYQT,5,aux,False,True,3.5223000716678694,300.4,0.35,0.5,0.7,1,False,False,False,False,,cross_source_or_source_only_aggregation,aggregated_from_filtered_exact_candidates,300.4,300.4,300.4,300.4,1.0,,,,ahtpdb_clean_um_standardized,1234,Sweet-potato protein isolate,"small || exact_molar_value || not_converted: ic50_type不是mass_unit || Cushman and Cheung (1971) || Absorption Chromatography, RP-HPLC",1,1
AUX_0225,IYPRY,5,aux,False,True,5.3872161432802645,4.1,0.35,0.5,0.7,1,False,False,False,False,,cross_source_or_source_only_aggregation,aggregated_from_filtered_exact_candidates,4.1,8.5,4.1,5.671428571428572,2.073170731707317,,,,ahtpdb_clean_um_standardized,1670 || 2346 || 4999 || 5324 || 5571 || 6154 || 6410,Casein || Sake || Cereals (Sake (Japanese alcoholic beverage made from rice)) || Sake and sake lees,small || exact_molar_value || not_converted: ic50_type不是mass_unit || Enzymatic Hydrolysis of milk proteins || Cushman and Cheung (1971) || RP-HPLC,7,7
MAIN_0359,PLP,3,main,True,False,3.3665315444204134,430.0,1.0,1.0,1.0,4,True,True,False,False,Tier A,merged_backbone,merged_sequence_level_authoritative,430.0,430.0,430.0,430.0,1.0,,,,merged_short23_tiered_standardized || biopep_core_standardized || mbpdb_core_standardized || ahtpdb_clean_um_standardized,ace_merged_001701 | ace_merged_001702 | ace_merged_001703 | ace_merged_001704 | ace_merged_001705 | ace_merged_001706 | ace_merged_001707 || 2664 | 4455 | 5244 | 5999 | 6327 | 6824 | MBPDB_P05814_PLP_142-144 || biopep_ace_000042 || 2664 || mbpdb_ace_000169 || MBPDB_P05814_PLP_142-144 || 4455 || 5244 || 5999 || 6327 || 6824,10.1080/00021369.1989.10869621 || https://biochemia.uwm.edu.pl/biopep/peptidedatacard.php?zm_ID=2664 || Milk (Fermented Milk) || Milk (human β casein) || Human (Human Beta Casein) || Human (Synthetic peptide of Human beta casein),"source_count=3; spread_ratio=1.0000 || >=3 sources and consistent within acceptable spread || AHTPDB | BIOPEP-UWM | MBPDB || AHTPDB: ID 1176, 2278, 3016, 3073, 3350, 3366, 4006, 4102, 4455, 4745, 5244, 5616, 5999, 6327, 6824 ChemSpider: ID 10162442 EROP-Moscow: ID E09260, E14608 MBPDB: Peptide PLP PubChem: CID 11989975 SATPdb: ID satpdb17304 || BIOPEP-UWM || Inhibition of Angiotensin-converting Enzyme by Synthetic Peptides of Human β-Casein || Homo sapiens || Beta-casein || small || exact_molar_value || not_converted: ic50_type不是mass_unit || Cushman and Cheung (1971), Gonzalez-Gonzalez et al || RP-HPLC, LC-MS || Kasahara and Ashihara (1981) || RP-HPLC, TLC, FAB-MS",14,8
MAIN_0349,MYY,3,main,True,False,5.017728766960431,9.6,0.95,1.0,0.95,3,True,True,False,False,Tier B,merged_backbone,merged_sequence_level_authoritative,9.6,9.6,9.6,9.6,1.0,,,,merged_short23_tiered_standardized || biopep_core_standardized || ahtpdb_clean_um_standardized,ace_merged_001672 | ace_merged_001673 | ace_merged_001674 | ace_merged_001675 | ace_merged_001676 || 2254 | 3407 | 5242 | 6051 | 6385 || biopep_ace_000091 || 3407 || 2254 || 5242 || 6051 || 6385,https://biochemia.uwm.edu.pl/biopep/peptidedatacard.php?zm_ID=3407 || Milk derived || Milk (human casein) || Casein (Beta Casein),source_count=2; spread_ratio=1.0000 || 2 sources and consistent within acceptable spread || AHTPDB | BIOPEP-UWM || BIOPEP-UWM || small || exact_molar_value || not_converted: ic50_type不是mass_unit || Kasahara and Ashihara (1981),10,6
