sequence,length,dedup_strategy,task_role,label_source_mode,is_from_merged_backbone,contains_merged,ic50_uM_min,ic50_uM_max,ic50_uM_median,ic50_uM_mean,ic50_spread_ratio_max_min,source_count,record_count_total,row_count_after_filter,source_db_set,source_table_set,source_file_set,origin_source_set,high_confidence_flag,conflict_flag,tier_23,raw_record_ids,citation_ids,notes,is_main_23,is_aux_45,weight_len,weight_quality,sample_weight
ACHP,4,cross_source_or_source_only_aggregation,aux,aggregated_from_filtered_exact_candidates,False,False,360.7,360.7,360.7,360.7,1.0,2,3,3,,,,mbpdb_core_standardized || ahtpdb_clean_um_standardized,False,False,,mbpdb_ace_000328 || MBPDB_P02668 Genetic Variant G1_ACHP_117-120 || 5270 || 5874,10.3168/jds.2008-1671 || Milk (bovine lactoglobulin),Short communication: Bovine κ-casein variants result in different angiotensin I converting enzyme (ACE) inhibitory peptides || Bos taurus || Kappa-casein Genetic Variant G1 || small || exact_molar_value || not_converted: ic50_type不是mass_unit || Cushman and Cheung (1971),False,True,0.6,0.8,0.48
AGSP,4,cross_source_or_source_only_aggregation,aux,aggregated_from_filtered_exact_candidates,False,False,37.2,37.2,37.2,37.2,1.0,2,5,5,,,,biopep_core_standardized || ahtpdb_clean_um_standardized,False,False,,biopep_ace_000276 || 8254 || 1058 || 5271 || 5727 || 6767,https://biochemia.uwm.edu.pl/biopep/peptidedatacard.php?zm_ID=8254 || Cuttlefish (Muscle of cuttlefish) || Cuttlefish (Sepia officinalis) || Cuttlefish muscle (Sepia officinalis),"BIOPEP-UWM || small || exact_molar_value || not_converted: ic50_type不是mass_unit || Nakamura et al. (1995) || RP-HPLC || Cushman and Cheung (1971) || GFC, RP-HPLC",False,True,0.6,0.8,0.48
AGSS,4,cross_source_or_source_only_aggregation,aux,aggregated_from_filtered_exact_candidates,False,False,672.1,672.1,672.1,672.1,1.0,1,4,4,,,,ahtpdb_clean_um_standardized,False,False,,1056 || 5272 || 5725 || 6749,Cuttlefish (Muscle of cuttlefish) || Cuttlefish (Sepia officinalis) || Cuttlefish muscle (Sepia officinalis),"small || exact_molar_value || not_converted: ic50_type不是mass_unit || Nakamura et al. (1995) || RP-HPLC || Cushman and Cheung (1971) || GFC, RP-HPLC",False,True,0.6,0.7,0.42
AHHP,4,cross_source_or_source_only_aggregation,aux,aggregated_from_filtered_exact_candidates,False,False,847.6,847.6,847.6,847.6,1.0,2,3,3,,,,mbpdb_core_standardized || ahtpdb_clean_um_standardized,False,False,,mbpdb_ace_000329 || MBPDB_P02668 Genetic Variant C_AHHP_117-120 || 5273 || 5873,10.3168/jds.2008-1671 || Milk (bovine lactoglobulin),Short communication: Bovine κ-casein variants result in different angiotensin I converting enzyme (ACE) inhibitory peptides || Bos taurus || Kappa-casein Genetic Variant C || small || exact_molar_value || not_converted: ic50_type不是mass_unit || Cushman and Cheung (1971),False,True,0.6,0.8,0.48
AHLL,4,cross_source_or_source_only_aggregation,aux,aggregated_from_filtered_exact_candidates,False,False,0.510440835267,1325.82035134,683.0184509986999,673.0919235431668,2597.402597397,1,4,4,,,,ahtpdb_clean_um_standardized,False,False,,2804 || 2830 || 2913 || 3683,Fish (Loach meat) || Loach meat || Fish muscle proteins || Loach muscle,"small || exact_mass_value_converted_to_uM_by_molwt || mass_unit_mg_per_mL_converted_to_uM || Shalaby et al. (2006) || UF, GFC, RP-HPLC || mass_unit_ug_per_mL_converted_to_uM || HPLC method by Wu,Aluko and Muir || GPC",False,True,0.6,0.7,0.42
AHSY,4,cross_source_or_source_only_aggregation,aux,aggregated_from_filtered_exact_candidates,False,False,11.6,11.6,11.6,11.6,1.0,2,5,5,,,,biopep_core_standardized || ahtpdb_clean_um_standardized,False,False,,biopep_ace_000145 || 3770 || 1057 || 5274 || 5726 || 6477,https://biochemia.uwm.edu.pl/biopep/peptidedatacard.php?zm_ID=3770 || Cuttlefish (Muscle of cuttlefish) || Cuttlefish (Sepia officinalis),"BIOPEP-UWM || small || exact_molar_value || not_converted: ic50_type不是mass_unit || Nakamura et al. (1995) || RP-HPLC || Cushman and Cheung (1971) || GFC, RP-HPLC",False,True,0.6,0.8,0.48
AIPP,4,cross_source_or_source_only_aggregation,aux,aggregated_from_filtered_exact_candidates,False,False,900.0,900.0,900.0,900.0,1.0,1,3,3,,,,ahtpdb_clean_um_standardized,False,False,,5275 || 6047 || 6654,Milk (human casein),small || exact_molar_value || not_converted: ic50_type不是mass_unit || Kasahara and Ashihara (1981),False,True,0.6,0.7,0.42
AIYK,4,cross_source_or_source_only_aggregation,aux,aggregated_from_filtered_exact_candidates,False,False,213.0,213.0,213.0,213.0,1.0,1,7,7,,,,ahtpdb_clean_um_standardized,False,False,,1026 || 1850 || 2659 || 2906 || 5276 || 6277 || 6682,Wakame (Undaria pinnatifida) || Wakame || Seaweed Wakame,"small || exact_molar_value || not_converted: ic50_type不是mass_unit || Cushman and Cheung (1971) || IEC, GFC || IEC, GFC, RP-HPLC || RP-HPLC, FAB-MS || GFC, IEC, RP-HPLC",False,True,0.6,0.7,0.42
ALEP,4,cross_source_or_source_only_aggregation,aux,aggregated_from_filtered_exact_candidates,False,False,6320.0,6320.0,6320.0,6320.0,1.0,1,1,1,,,,ahtpdb_clean_um_standardized,False,False,,6757,Amaranth (Amaranthus hypochondriacus),small || exact_molar_value || not_converted: ic50_type不是mass_unit,False,True,0.6,0.7,0.42
ALPM,4,cross_source_or_source_only_aggregation,aux,aggregated_from_filtered_exact_candidates,False,False,928.0,928.0,928.0,928.0,1.0,2,6,6,,,,mbpdb_core_standardized || ahtpdb_clean_um_standardized,False,False,,mbpdb_ace_000099 || MBPDB_P02754_ALPM_158-161 || 1320 || 1742 || 2781 || 5277 || 6094,10.3168/jds.S0022-0302(04)70013-2 || Whey protein (Beta Lactoglobulin) || Whey product (commercial) || Milk (whey),"Structural Analysis of a New Anti-Hypertensive Peptide (β-Lactosin B) Isolated from a Commercial Whey Product || Bos taurus || Beta-lactoglobulin || small || exact_molar_value || not_converted: ic50_type不是mass_unit || Abubakar et al. || RP-HPLC || Cushman and Cheung (1971) || Spectrophotometric, HPLC, UPLC || FAB-MS, RP-HPLC, GF || GFC, RP-HPLC, HIC",False,True,0.6,0.8,0.48
