source_db,source_table,source_file,source_row_id,sequence,length,sequence_valid,canonical_aa_only,ic50_uM,ic50_uM_min,ic50_uM_max,ic50_uM_median,ic50_relation_raw,ic50_status_raw,label_type,label_is_exact,is_sequence_level,source_count,record_count,high_confidence_flag,conflict_flag,tier_23,raw_record_ids,citation_ids,notes,exclusion_reason,filtered_source_name
,,,0,AP,2,True,True,21.0,21.0,21.0,21.0,=,exact_molar,sequence_level_core,True,True,1,1,,,,mbpdb_ace_000030 || MBPDB_P02788_AP_89-90_513-514_613-614,10.1080/1475636031000138723,Characterization of New Milk-derived Inhibitors of Angiotensin Converting Enzyme In Vitro and In Vivo || Homo sapiens || Lactotransferrin,,mbpdb_core_standardized
,,,1,AY,2,True,True,40.0,40.0,40.0,40.0,=,exact_molar,sequence_level_core,True,True,1,1,,,,mbpdb_ace_000029 || MBPDB_P24627_AY_184-185,10.1080/1475636031000138723,Characterization of New Milk-derived Inhibitors of Angiotensin Converting Enzyme In Vitro and In Vivo || Bos taurus || Lactotransferrin,,mbpdb_core_standardized
,,,2,FA,2,True,True,487.1,487.1,487.1,487.1,=,exact_molar,sequence_level_core,True,True,1,1,,,,mbpdb_ace_000231 || MBPDB_P02666_FA_67-68,10.1016/j.foodchem.2014.01.056,Characterisation of the hydrolytic specificity of Aspergillus niger derived prolyl endoproteinase on bovine β-casein and determination of ACE inhibitory activity || Bos taurus || Beta-casein,,mbpdb_core_standardized
,,,3,FP,2,True,True,315.0,315.0,315.0,315.0,=,exact_molar,sequence_level_core,True,True,1,1,,,,mbpdb_ace_000007 || MBPDB_P02769_FP_246-247,"1) 10.3168/jds.S0022-0302(98)75878-3, 2) 10.1080/1475636031000138723, 3) 10.1016/j.foodchem.2014.01.056","1) Structural analysis of new antihypertensive peptides derived from cheese whey protein by proteinase K digestion, 2) Characterization of New Milk-derived Inhibitors of Angiotensin Converting Enzyme In Vitro and In Vivo, 3) Characterisation of the hydrolytic specificity of Aspergillus niger derived prolyl endoproteinase on bovine β-casein and determination of ACE inhibitory activity || Bos taurus || Serum albumin",,mbpdb_core_standardized
,,,4,GP,2,True,True,252.6,252.6,252.6,252.6,=,exact_molar,sequence_level_core,True,True,1,1,,,,mbpdb_ace_000228 || MBPDB_P02666_GP_79-80_214-215_218-219,10.1016/j.foodchem.2014.01.056,Characterisation of the hydrolytic specificity of Aspergillus niger derived prolyl endoproteinase on bovine β-casein and determination of ACE inhibitory activity || Bos taurus || Beta-casein,,mbpdb_core_standardized
,,,5,IP,2,True,True,130.0,130.0,130.0,130.0,=,exact_molar,sequence_level_core,True,True,1,1,,,,mbpdb_ace_000002 || MBPDB_P02769_IP_321-322,10.1016/j.foodchem.2014.01.056,Characterisation of the hydrolytic specificity of Aspergillus niger derived prolyl endoproteinase on bovine β-casein and determination of ACE inhibitory activity || Bos taurus || Serum albumin,,mbpdb_core_standardized
,,,6,IR,2,True,True,695.0,695.0,695.0,695.0,=,exact_molar,sequence_level_core,True,True,1,1,,,,mbpdb_ace_000094 || MBPDB_P02754_IR_163-164,10.3168/jds.S0022-0302(04)70013-2,Structural Analysis of a New Anti-Hypertensive Peptide (β-Lactosin B) Isolated from a Commercial Whey Product || Bos taurus || Beta-lactoglobulin,,mbpdb_core_standardized
,,,7,IW,2,True,True,0.7,0.7,0.7,0.7,=,exact_molar,sequence_level_core,True,True,1,1,,,,mbpdb_ace_000255 || MBPDB_P00711_IW_78-79,10.1016/j.idairyj.2015.09.004,Tryptophan-containing dipeptides are bioavailable and inhibit plasma human angiotensin-converting enzyme in vivo || Bos taurus || Alpha-lactalbumin,,mbpdb_core_standardized
,,,8,LF,2,True,True,349.1,349.1,349.1,349.1,=,exact_molar,sequence_level_core,True,True,1,1,,,,mbpdb_ace_000077 || MBPDB_P02754_LF_120-121,10.1515/bchm3.1996.377.4.259,Synthetic Peptides Corresponding to α-Lactalbumin and β-Lactoglobulin Sequences with Angiotensin-l-Converting Enzyme Inhibitory Activity || Bos taurus || Beta-lactoglobulin,,mbpdb_core_standardized
,,,9,LW,2,True,True,32.5,32.5,32.5,32.5,=,exact_molar,sequence_level_core,True,True,1,1,,,,mbpdb_ace_000310 || MBPDB_P02662_LW_213-214,"1) 10.1080/1475636031000138723, 2) 10.1080/00021369.1987.10868415","1) Characterization of New Milk-derived Inhibitors of Angiotensin Converting Enzyme In Vitro and In Vivo, 2) Angiotensin I-Converting Enzyme Inhibitory Activity of the C-Terminal Hexapeptide of αs1- Casein || Bos taurus || Alpha-S1-casein",,mbpdb_core_standardized
,,,10,LY,2,True,True,44.0,44.0,44.0,44.0,=,exact_molar,sequence_level_core,True,True,1,1,,,,mbpdb_ace_000016 || MBPDB_P24627_LY_337-338,10.1080/1475636031000138723,Characterization of New Milk-derived Inhibitors of Angiotensin Converting Enzyme In Vitro and In Vivo || Bos taurus || Lactotransferrin,,mbpdb_core_standardized
,,,11,QP,2,True,True,598.1,598.1,598.1,598.1,=,exact_molar,sequence_level_core,True,True,1,1,,,,mbpdb_ace_000049 || MBPDB_P02668_QP_28-29_112-113,10.1016/j.chroma.2004.05.022,Identification of ACE-inhibitory peptides in different Spanish cheeses by tandem mass spectrometry || Bos taurus || Kappa-casein,,mbpdb_core_standardized
,,,12,RY,2,True,True,54.43,54.43,54.43,54.43,=,exact_molar,sequence_level_core,True,True,1,1,,,,mbpdb_ace_000294 || MBPDB_P02662_RY_105-106,10.1016/j.idairyj.2013.05.008,Resistance of casein-derived bioactive peptides to simulated gastrointestinal digestion || Bos taurus || Alpha-S1-casein,,mbpdb_core_standardized
,,,13,SY,2,True,True,41.0,41.0,41.0,41.0,=,exact_molar,sequence_level_core,True,True,1,1,,,,mbpdb_ace_000047 || MBPDB_P02668_SY_58-59,10.1080/1475636031000138723,Characterization of New Milk-derived Inhibitors of Angiotensin Converting Enzyme In Vitro and In Vivo || Bos taurus || Kappa-casein,,mbpdb_core_standardized
,,,14,TF,2,True,True,18.0,18.0,18.0,18.0,=,exact_molar,sequence_level_core,True,True,1,1,,,,mbpdb_ace_000144 || MBPDB_Q9TVD0_TF_67-68,10.1016/j.idairyj.2016.01.009,Release of angiotensin converting enzyme-inhibitory peptides during in vitro gastro-intestinal digestion of camel milk || Camelus dromedarius || Beta-casein,,mbpdb_core_standardized
,,,15,VP,2,True,True,420.0,420.0,420.0,420.0,=,exact_molar,sequence_level_core,True,True,1,1,,,,mbpdb_ace_000133 || MBPDB_P02666_VP_23-24_99-100_188-189_193-194,10.1016/j.foodchem.2014.01.056,Characterisation of the hydrolytic specificity of Aspergillus niger derived prolyl endoproteinase on bovine β-casein and determination of ACE inhibitory activity || Bos taurus || Beta-casein,,mbpdb_core_standardized
,,,16,VR,2,True,True,52.8,52.8,52.8,52.8,=,exact_molar,sequence_level_core,True,True,1,1,,,,mbpdb_ace_000001 || MBPDB_P02769_VR_432-433,10.1002/elps.200700324,Identification of novel angiotensin-converting enzyme-inhibitory peptides from ovine milk proteins by CE-MS and chromatographic techniques || Bos taurus || Serum albumin,,mbpdb_core_standardized
,,,17,VY,2,True,True,9.05,9.05,9.05,9.05,=,exact_molar,sequence_level_core,True,True,1,1,,,,mbpdb_ace_000127 || MBPDB_Q9TVD0_VY_75-76,"1) 10.1016/j.idairyj.2016.01.009, 2) 10.1080/1475636031000138723","1) Release of angiotensin converting enzyme-inhibitory peptides during in vitro gastro-intestinal digestion of camel milk, 2) Characterization of New Milk-derived Inhibitors of Angiotensin Converting Enzyme In Vitro and In Vivo || Camelus dromedarius || Beta-casein",,mbpdb_core_standardized
,,,18,WL,2,True,True,10.0,10.0,10.0,10.0,=,exact_molar,sequence_level_core,True,True,1,1,,,,mbpdb_ace_000246 || MBPDB_P00711_WL_123-124_137-138,10.1016/j.idairyj.2015.09.004,Tryptophan-containing dipeptides are bioavailable and inhibit plasma human angiotensin-converting enzyme in vivo || Bos taurus || Alpha-lactalbumin,,mbpdb_core_standardized
,,,19,WY,2,True,True,38.3,38.3,38.3,38.3,=,exact_molar,sequence_level_core,True,True,1,1,,,,mbpdb_ace_000081 || MBPDB_P02754_WY_35-36,10.1021/jf063427j,ACE-Inhibitory and Radical-Scavenging Activity of Peptides Derived from β-Lactoglobulin f(19-25) Interactions with Ascorbic Acid || Bos taurus || Beta-lactoglobulin,,mbpdb_core_standardized
,,,20,YL,2,True,True,122.1,122.1,122.1,122.1,=,exact_molar,sequence_level_core,True,True,1,1,,,,mbpdb_ace_000301 || MBPDB_P02662_YL_106-107_109-110,10.1515/bchm3.1996.377.4.259,Synthetic Peptides Corresponding to α-Lactalbumin and β-Lactoglobulin Sequences with Angiotensin-l-Converting Enzyme Inhibitory Activity || Bos taurus || Alpha-S1-casein,,mbpdb_core_standardized
,,,21,YP,2,True,True,720.0,720.0,720.0,720.0,=,exact_molar,sequence_level_core,True,True,1,1,,,,mbpdb_ace_000009 || MBPDB_P24627_YP_185-186,"1) 10.3168/jds.S0022-0302(99)75364-6, 2) 10.1016/j.foodchem.2014.01.056, 3) 10.3168/jds.2019-17976","1) Purification and Characterization of an Antihypertensive Peptide from a Yogurt-Like Product Fermented by Lactobacillus helveticus CPN4, 2) Characterisation of the hydrolytic specificity of Aspergillus niger derived prolyl endoproteinase on bovine β-casein and determination of ACE inhibitory activity, 3) Characterization of casein-derived peptide bioactivity: Differential effects on angiotensin-converting enzyme inhibition and cytokine and nitric oxide production || Bos taurus || Lactotransferrin",,mbpdb_core_standardized
,,,22,YY,2,True,True,9.0,9.0,9.0,9.0,=,exact_molar,sequence_level_core,True,True,1,1,,,,mbpdb_ace_000300 || MBPDB_P02662_YY_180-181,10.1080/1475636031000138723,Characterization of New Milk-derived Inhibitors of Angiotensin Converting Enzyme In Vitro and In Vivo || Bos taurus || Alpha-S1-casein,,mbpdb_core_standardized
,,,23,ASP,3,True,True,242.3,242.3,242.3,242.3,=,exact_molar,sequence_level_core,True,True,1,1,,,,"mbpdb_ace_000331 || MBPDB_P02668 Genetic Variant B,F2,G1,G2,J_ASP_169-171_169-171_169-171_169-171_169-171",10.3168/jds.2008-1671,"Short communication: Bovine κ-casein variants result in different angiotensin I converting enzyme (ACE) inhibitory peptides || Bos taurus || Kappa-casein Genetic Variant B,F2,G1,G2,J",,mbpdb_core_standardized
,,,24,GAW,3,True,True,240.0,240.0,240.0,240.0,=,exact_molar,sequence_level_core,True,True,1,1,,,,mbpdb_ace_000319 || MBPDB_P02662_GAW_177-179,10.1016/j.idairyj.2006.07.004,Purification of angiotensin I-converting enzyme inhibitory peptides and antihypertensive effect of milk produced by protease-facilitated lactic fermentation || Bos taurus || Alpha-S1-casein,,mbpdb_core_standardized
,,,25,GTW,3,True,True,464.4,464.4,464.4,464.4,=,exact_molar,sequence_level_core,True,True,1,1,,,,mbpdb_ace_000096 || MBPDB_P02754_GTW_33-35,10.1016/j.idairyj.2006.07.004,Purification of angiotensin I-converting enzyme inhibitory peptides and antihypertensive effect of milk produced by protease-facilitated lactic fermentation || Bos taurus || Beta-lactoglobulin,,mbpdb_core_standardized
