exclusion_reason,count,source_name
not_exact_continuous,70,merged_short23_tiered_standardized
nonpositive_ic50,37,merged_short23_tiered_standardized
out_of_length_range,276,biopep_core_standardized
nonpositive_ic50,95,biopep_core_standardized
out_of_length_range,184,mbpdb_core_standardized
out_of_length_range,84,ferm_strict_core_standardized
missing_ic50,2213,ahtpdb_clean_um_standardized
out_of_length_range,1503,ahtpdb_clean_um_standardized
not_exact_continuous,538,ahtpdb_clean_um_standardized
sequence_invalid,36,ahtpdb_clean_um_standardized
nonpositive_ic50,7,ahtpdb_clean_um_standardized
