iter	Passed	Remaining
0	149	44572
1	152	22703
2	155	15368
3	158	11705
4	161	9535
5	164	8075
6	167	7010
7	170	6209
8	173	5595
9	176	5114
10	179	4706
11	181	4366
12	184	4074
13	187	3825
14	190	3612
15	192	3423
16	195	3257
17	198	3105
18	200	2969
19	203	2849
20	206	2740
21	209	2643
22	212	2556
23	214	2471
24	217	2394
25	220	2328
26	223	2262
27	226	2198
28	227	2123
29	229	2068
30	232	2016
31	235	1968
32	237	1923
33	240	1881
34	243	1841
35	245	1802
36	248	1766
37	251	1732
38	253	1698
39	256	1667
40	259	1636
41	261	1607
42	264	1579
43	266	1552
44	269	1527
45	272	1503
46	275	1481
47	277	1457
48	280	1434
49	282	1413
50	285	1392
51	287	1371
52	290	1352
53	292	1333
54	295	1315
55	297	1297
56	300	1280
57	302	1263
58	305	1247
59	307	1231
60	310	1217
61	313	1202
62	315	1187
63	318	1173
64	320	1159
65	323	1145
66	325	1133
67	328	1121
68	331	1108
69	333	1095
70	336	1084
71	338	1072
72	341	1062
73	344	1051
74	346	1040
75	349	1029
76	351	1019
77	354	1008
78	356	998
79	359	988
80	361	978
81	364	969
82	366	959
83	369	949
84	372	941
85	374	933
86	377	924
87	380	915
88	382	907
89	385	898
90	387	890
91	390	882
92	393	874
93	395	867
94	398	860
95	401	852
96	404	845
97	406	838
98	409	831
99	412	824
100	415	817
101	417	811
102	420	804
103	423	797
104	426	791
105	428	785
106	431	778
107	434	772
108	437	766
109	439	759
110	442	753
111	445	747
112	447	740
113	450	735
114	452	728
115	455	722
116	457	716
117	460	710
118	463	704
119	465	698
120	468	693
121	470	686
122	473	681
123	475	675
124	478	669
125	481	664
126	483	659
127	486	654
128	489	649
129	492	643
130	495	638
131	497	633
132	500	628
133	502	622
134	505	617
135	508	612
136	510	607
137	513	602
138	515	597
139	518	592
140	520	587
141	523	582
142	526	577
143	528	572
144	531	567
145	533	562
146	536	557
147	538	553
148	541	548
149	543	543
150	546	538
151	548	534
152	551	529
153	553	524
154	556	520
155	558	515
156	561	511
157	563	506
158	566	502
159	568	497
160	571	493
161	573	488
162	576	484
163	578	480
164	581	475
165	583	471
166	586	467
167	588	462
168	591	458
169	593	454
170	596	449
171	598	445
172	601	441
173	604	437
174	606	433
175	609	429
176	611	425
177	614	421
178	616	417
179	619	413
180	621	408
181	624	404
182	627	400
183	629	396
184	632	393
185	634	389
186	637	385
187	640	381
188	642	377
189	645	373
190	647	369
191	650	365
192	652	361
193	654	357
194	657	353
195	659	350
196	662	346
197	665	342
198	667	338
199	670	335
200	672	331
201	675	327
202	678	324
203	680	320
204	683	316
205	685	312
206	687	309
207	690	305
208	693	301
209	695	298
210	698	294
211	700	290
212	703	287
213	705	283
214	708	280
215	711	276
216	713	272
217	716	269
218	718	265
219	721	262
220	724	258
221	726	255
222	729	251
223	732	248
224	735	245
225	738	241
226	740	238
227	743	234
228	745	231
229	748	227
230	750	224
231	753	220
232	755	217
233	758	213
234	760	210
235	763	207
236	765	203
237	768	200
238	771	196
239	773	193
240	776	190
241	778	186
242	781	183
243	784	179
244	786	176
245	789	173
246	792	169
247	794	166
248	797	163
249	800	160
250	802	156
251	805	153
252	807	150
253	810	146
254	813	143
255	816	140
256	818	136
257	821	133
258	824	130
259	827	127
260	830	124
261	832	120
262	835	117
263	838	114
264	841	111
265	843	107
266	846	104
267	849	101
268	852	98
269	854	94
270	857	91
271	860	88
272	863	85
273	866	82
274	868	78
275	871	75
276	874	72
277	877	69
278	880	66
279	882	63
280	885	59
281	887	56
282	890	53
283	893	50
284	895	47
285	898	43
286	901	40
287	903	37
288	906	34
289	909	31
290	911	28
291	914	25
292	916	21
293	919	18
294	922	15
295	925	12
296	927	9
297	930	6
298	932	3
299	935	0
